row  column  (images_25_2_757.edf Zn-K*images_25_2_757.edf Ar-K**2.3)
5  33  1.18646e+07
5  34  2.62042e+07
5  35  1.38517e+07
5  36  2.56866e+07
5  37  2.30614e+07
5  38  4.95363e+07
5  39  2.27399e+07
5  40  4.67385e+07
5  41  4.22384e+07
5  42  5.06218e+07
5  43  1.66657e+07
5  44  2.37151e+07
5  45  4.27432e+07
5  46  3.83848e+07
5  47  4.4829e+07
5  48  4.50955e+07
5  49  6.06693e+07
5  50  8.05781e+07
6  0  2.71686e+07
6  1  7.13378e+07
6  2  6.62257e+07
6  3  6.238e+07
6  4  5.49018e+07
6  5  6.7014e+07
6  6  7.15251e+07
6  7  8.37069e+07
6  8  5.33081e+07
6  9  4.68688e+07
6  10  5.51597e+07
6  11  4.03874e+07
6  12  8.62686e+07
6  13  1.9654e+08
6  14  8.46207e+07
6  15  6.31732e+07
6  16  3.23938e+07
6  17  2.09376e+07
6  18  1.44012e+08
6  19  1.0955e+08
6  20  3.61605e+07
6  21  2.51098e+07
6  22  5.71631e+06
6  23  2.37401e+07
6  24  3.09041e+07
6  25  3.25036e+07
6  26  1.09449e+07
6  27  1.0553e+07
6  28  2.39879e+07
6  29  2.83802e+07
6  30  2.34321e+07
6  31  8.74492e+06
6  32  8.52696e+06
6  33  1.8863e+07
6  34  2.93964e+07
6  35  1.8238e+07
6  36  2.76271e+07
6  37  5.43574e+07
6  38  4.18894e+07
6  39  3.68098e+07
6  40  3.66748e+07
6  41  6.07216e+07
6  42  5.85739e+07
6  43  2.55512e+07
6  44  4.71714e+07
6  45  3.38269e+07
6  46  5.03673e+07
6  47  5.36258e+07
6  48  3.34117e+07
6  49  2.83797e+07
6  50  5.5013e+07
7  0  4.13664e+07
7  1  5.94339e+07
7  2  8.00581e+07
7  3  7.76496e+07
7  4  4.56423e+07
7  5  5.92336e+07
7  6  6.95673e+07
7  7  8.55885e+07
7  8  5.06665e+07
7  9  7.26212e+07
7  10  7.35465e+07
7  11  6.10253e+07
7  12  1.37015e+08
7  13  2.71945e+08
7  14  8.63207e+07
7  15  5.74563e+07
7  16  5.07384e+07
7  17  3.5849e+07
7  18  1.71102e+08
7  19  7.21524e+07
7  20  4.36987e+07
7  21  4.03403e+07
