row  column  (images_30.edf Mn-K*images_30.edf Ar-K**2.3)
0  0  1.13333e+07
0  1  2.30091e+07
0  2  2.06495e+07
0  3  2.72259e+07
0  4  2.41843e+07
0  5  2.23701e+07
0  6  2.7984e+07
0  7  2.49476e+07
0  8  3.21228e+07
0  9  2.69334e+07
0  10  2.19978e+07
0  11  3.50695e+07
0  12  2.92487e+07
0  13  1.80375e+07
0  14  2.52685e+07
0  15  1.87336e+07
0  16  3.79667e+07
0  17  2.84043e+07
0  18  2.80027e+07
0  19  2.43024e+07
0  20  2.34424e+07
0  21  1.99674e+07
0  22  2.77067e+07
0  23  2.26414e+07
0  24  1.32777e+07
0  25  1.32492e+07
0  26  1.61212e+07
0  27  2.2087e+07
0  28  2.46872e+07
0  29  2.06487e+07
0  30  2.08094e+07
0  31  1.47102e+07
0  32  1.8991e+07
0  33  2.68165e+07
0  34  2.32979e+07
0  35  2.34644e+07
0  36  2.2732e+07
0  37  2.07205e+07
0  38  1.52093e+07
0  39  2.55195e+07
0  40  1.4881e+07
0  41  2.95053e+07
0  42  3.03428e+07
0  43  2.55832e+07
0  44  9.96657e+06
0  45  1.38828e+07
0  46  1.84162e+07
0  47  2.23924e+07
0  48  1.84595e+07
0  49  1.07661e+07
0  50  1.85574e+07
1  0  1.12398e+07
1  1  1.6658e+07
1  2  2.53417e+07
1  3  2.21843e+07
1  4  2.71528e+07
1  5  2.66947e+07
1  6  1.81756e+07
1  7  3.35813e+07
1  8  3.17407e+07
1  9  2.4403e+07
1  10  2.46681e+07
1  11  2.99846e+07
1  12  2.02093e+07
1  13  2.16871e+07
1  14  2.95864e+07
1  15  1.9038e+07
1  16  2.61615e+07
1  17  2.07336e+07
1  18  2.13466e+07
1  19  2.66964e+07
1  20  1.98335e+07
1  21  1.94284e+07
1  22  1.4144e+07
1  23  1.68827e+07
1  24  1.8498e+07
1  25  2.36783e+07
1  26  2.06313e+07
1  27  1.54045e+07
1  28  1.78207e+07
1  29  2.18401e+07
1  30  2.82774e+07
1  31  2.55634e+07
1  32  1.76174e+07
1  33  2.09149e+07
1  34  1.44001e+07
1  35  2.73002e+07
1  36  2.01498e+07
1  37  2.31202e+07
1  38  2.69132e+07
1  39  3.03709e+07
1  40  8.76403e+06
1  41  3.12727e+07
1  42  1.30135e+07
1  43  1.2039e+07
1  44  3.03602e+07
1  45  1.07879e+07
1  46  9.98809e+06
1  47  2.13516e+07
1  48  1.81972e+07
1  49  1.42054e+07
1  50  2.44543e+07
2  0  1.9483e+07
2  1  2.27462e+07
2  2  1.68293e+07
2  3  1.41624e+07
2  4  1.40056e+07
2  5  3.37272e+07
2  6  2.09793e+07
2  7  1.98668e+07
2  8  1.54596e+07
2  9  3.36189e+07
2  10  2.95357e+07
2  11  3.87956e+07
2  12  3.26937e+07
2  13  2.43414e+07
2  14  1.92175e+07
2  15  1.15799e+07
2  16  2.35346e+07
2  17  3.28729e+07
2  18  1.39389e+07
2  19  3.59963e+07
2  20  2.48263e+07
2  21  3.58971e+07
2  22  1.62328e+07
