row  column  (images_30.edf Ca-K*images_30.edf Ar-K**2.3)
0  0  3.34318e+08
0  1  2.58177e+08
0  2  2.61338e+08
0  3  2.9922e+08
0  4  1.71709e+08
0  5  1.0158e+08
0  6  1.28466e+08
0  7  7.24244e+07
0  8  1.24351e+08
0  9  1.35876e+08
0  10  1.71405e+08
0  11  2.17362e+08
0  12  2.5658e+08
0  13  3.73588e+08
0  14  4.43021e+08
0  15  5.68534e+08
0  16  7.65402e+08
0  17  9.04131e+08
0  18  1.05401e+09
0  19  9.28247e+08
0  20  9.32823e+08
0  21  1.07007e+09
0  22  1.25062e+09
0  23  1.35918e+09
0  24  1.36071e+09
0  25  1.37282e+09
0  26  1.45958e+09
0  27  1.39624e+09
0  28  1.2049e+09
0  29  1.208e+09
0  30  1.1381e+09
0  31  1.21601e+09
0  32  1.30448e+09
0  33  1.2772e+09
0  34  1.34955e+09
0  35  1.44414e+09
0  36  1.31389e+09
0  37  1.24014e+09
0  38  1.17245e+09
0  39  1.12674e+09
0  40  1.30629e+09
0  41  1.13717e+09
0  42  1.07542e+09
0  43  1.28976e+09
0  44  1.16552e+09
0  45  1.39441e+09
0  46  1.76428e+09
0  47  1.91567e+09
0  48  1.78175e+09
0  49  1.94081e+09
0  50  2.07861e+09
1  0  3.79567e+08
1  1  3.31185e+08
1  2  3.65725e+08
1  3  2.65837e+08
1  4  1.52791e+08
1  5  1.35465e+08
1  6  1.10836e+08
1  7  1.24499e+08
1  8  1.63272e+08
1  9  1.32772e+08
1  10  1.87136e+08
1  11  2.56354e+08
1  12  3.24978e+08
1  13  4.69349e+08
1  14  5.85296e+08
1  15  7.41251e+08
1  16  8.38648e+08
1  17  9.39494e+08
1  18  1.07049e+09
1  19  1.11982e+09
1  20  8.75172e+08
1  21  1.0481e+09
1  22  1.11729e+09
1  23  1.43432e+09
1  24  1.4823e+09
1  25  1.41752e+09
1  26  1.48956e+09
1  27  1.32908e+09
1  28  1.09681e+09
1  29  1.20013e+09
1  30  1.14934e+09
1  31  1.17662e+09
1  32  1.12511e+09
1  33  1.40211e+09
1  34  1.52593e+09
1  35  1.39197e+09
1  36  1.08321e+09
1  37  1.13257e+09
1  38  1.03399e+09
1  39  1.15327e+09
1  40  1.39559e+09
1  41  1.2419e+09
1  42  1.22494e+09
1  43  1.29748e+09
1  44  1.25822e+09
1  45  1.53582e+09
1  46  2.19194e+09
1  47  1.97741e+09
1  48  1.81e+09
1  49  1.87538e+09
1  50  2.04971e+09
2  0  4.18169e+08
2  1  4.24334e+08
2  2  4.07097e+08
2  3  3.48198e+08
2  4  1.98048e+08
2  5  1.33893e+08
2  6  1.29306e+08
2  7  1.3123e+08
2  8  1.89359e+08
2  9  1.72248e+08
2  10  2.66567e+08
2  11  2.8745e+08
2  12  3.88469e+08
2  13  4.92551e+08
2  14  6.419e+08
2  15  6.6355e+08
2  16  8.21328e+08
2  17  9.85564e+08
2  18  9.81075e+08
2  19  1.1462e+09
2  20  9.24995e+08
2  21  9.90812e+08
2  22  1.14522e+09
2  23  1.21862e+09
2  24  1.38362e+09
2  25  1.23642e+09
2  26  1.2971e+09
2  27  1.44244e+09
2  28  1.19616e+09
2  29  1.32572e+09
2  30  1.27907e+09
2  31  1.12059e+09
2  32  1.26228e+09
2  33  1.37238e+09
2  34  1.63894e+09
2  35  1.29088e+09
2  36  1.42897e+09
2  37  1.23367e+09
2  38  9.21335e+08
2  39  1.10297e+09
2  40  1.27914e+09
2  41  1.18635e+09
2  42  1.39634e+09
2  43  1.72524e+09
2  44  1.54539e+09
2  45  1.61356e+09
2  46  2.07678e+09
2  47  1.99224e+09
2  48  1.90254e+09
2  49  1.98542e+09
2  50  2.02084e+09
3  0  5.45512e+08
3  1  5.6192e+08
3  2  5.55167e+08
3  3  4.87916e+08
3  4  1.98181e+08
3  5  1.60233e+08
3  6  1.64541e+08
3  7  1.58705e+08
3  8  1.6991e+08
3  9  2.16895e+08
3  10  2.4621e+08
3  11  3.28758e+08
3  12  4.27593e+08
3  13  6.39619e+08
3  14  7.74452e+08
3  15  8.17393e+08
3  16  8.26882e+08
3  17  1.15192e+09
3  18  1.12479e+09
3  19  1.24123e+09
3  20  8.78231e+08
3  21  9.57409e+08
3  22  1.14037e+09
3  23  1.29986e+09
3  24  1.46759e+09
3  25  1.4404e+09
3  26  1.42852e+09
3  27  1.4213e+09
3  28  1.18169e+09
3  29  1.41392e+09
3  30  1.22781e+09
3  31  1.30753e+09
3  32  1.28863e+09
3  33  1.18982e+09
3  34  1.33566e+09
3  35  1.48421e+09
3  36  1.39082e+09
3  37  1.28663e+09
3  38  1.03819e+09
3  39  1.25936e+09
3  40  1.52831e+09
3  41  1.56049e+09
3  42  1.62228e+09
3  43  1.6895e+09
3  44  1.65065e+09
3  45  1.73687e+09
3  46  2.00443e+09
3  47  1.97201e+09
3  48  1.6955e+09
3  49  2.19797e+09
3  50  2.00349e+09
4  0  6.53759e+08
4  1  6.22838e+08
4  2  5.82831e+08
4  3  5.25888e+08
4  4  2.45728e+08
4  5  1.85618e+08
4  6  2.08332e+08
4  7  2.20288e+08
4  8  2.65971e+08
4  9  2.6879e+08
4  10  3.22348e+08
4  11  4.42475e+08
4  12  5.08042e+08
4  13  7.16932e+08
4  14  9.27116e+08
4  15  9.213e+08
4  16  9.90122e+08
4  17  1.08707e+09
4  18  1.29356e+09
4  19  1.24047e+09
4  20  8.7463e+08
4  21  9.82894e+08
4  22  1.19555e+09
4  23  1.31768e+09
4  24  1.40536e+09
4  25  1.37502e+09
4  26  1.46255e+09
4  27  1.36137e+09
4  28  1.36479e+09
4  29  1.36729e+09
4  30  1.34672e+09
4  31  1.31801e+09
4  32  1.25982e+09
4  33  1.29879e+09
4  34  1.22944e+09
4  35  1.43794e+09
4  36  1.48355e+09
4  37  1.23166e+09
4  38  1.16797e+09
4  39  1.06123e+09
4  40  1.41996e+09
4  41  1.55688e+09
4  42  1.69669e+09
4  43  1.95756e+09
4  44  1.71369e+09
4  45  2.01904e+09
4  46  1.71549e+09
4  47  1.90194e+09
4  48  1.95331e+09
4  49  2.38314e+09
4  50  2.21478e+09
5  0  6.69696e+08
5  1  6.71602e+08
5  2  5.5076e+08
5  3  4.82918e+08
5  4  3.01297e+08
5  5  2.22609e+08
5  6  2.15704e+08
5  7  2.3634e+08
5  8  2.73281e+08
5  9  2.80503e+08
5  10  4.03027e+08
5  11  5.05411e+08
5  12  5.88856e+08
5  13  7.80732e+08
5  14  9.74491e+08
5  15  9.61131e+08
5  16  8.85423e+08
5  17  1.12244e+09
5  18  1.32562e+09
5  19  1.31914e+09
5  20  8.90136e+08
5  21  9.63155e+08
5  22  1.24947e+09
5  23  1.48296e+09
