row  column  (images_12_26nov.edf S_K*images_12_26nov.edf Ar_K**2.3)
5  18  1.77117e+08
5  19  1.93389e+08
5  20  2.56368e+08
5  21  2.89902e+08
5  22  1.49507e+08
5  23  2.17157e+08
5  24  1.76152e+08
5  25  2.28594e+08
5  26  2.37379e+08
5  27  2.40595e+08
5  28  3.2898e+08
5  29  1.51016e+08
5  30  2.71652e+08
5  31  2.04443e+08
5  32  1.44315e+08
5  33  2.24808e+08
5  34  2.20343e+08
5  35  2.35384e+08
5  36  1.41329e+08
5  37  7.85741e+07
5  38  7.08767e+07
5  39  1.20223e+08
5  40  1.46875e+08
5  41  2.50007e+08
5  42  2.55438e+08
5  43  3.16413e+08
5  44  3.95152e+08
5  45  4.49744e+08
5  46  4.47324e+08
5  47  3.88406e+08
5  48  3.17437e+08
5  49  3.75281e+08
5  50  4.21758e+08
6  0  0
6  1  0
6  2  0
6  3  0
6  4  1.51302e+08
6  5  1.87768e+08
6  6  1.03732e+08
6  7  1.27026e+08
6  8  1.02053e+08
6  9  1.6294e+08
6  10  2.06823e+08
6  11  1.84353e+08
6  12  1.21743e+08
6  13  1.31839e+08
6  14  1.97938e+08
6  15  1.75962e+08
6  16  1.37408e+08
6  17  1.96827e+08
6  18  1.79395e+08
6  19  1.42359e+08
6  20  1.81858e+08
6  21  2.97549e+08
6  22  1.35767e+08
6  23  1.58123e+08
6  24  1.57449e+08
6  25  1.78152e+08
6  26  1.82581e+08
6  27  2.09015e+08
6  28  1.74279e+08
6  29  1.9919e+08
6  30  1.35392e+08
6  31  1.84934e+08
6  32  1.84861e+08
6  33  2.44725e+08
6  34  2.07524e+08
6  35  2.49923e+08
6  36  1.46972e+08
6  37  8.03184e+07
6  38  1.15152e+08
6  39  1.69507e+08
6  40  1.67588e+08
6  41  2.15963e+08
6  42  2.80032e+08
6  43  3.80459e+08
6  44  4.62927e+08
6  45  3.94811e+08
6  46  4.42255e+08
6  47  4.9069e+08
6  48  4.44744e+08
6  49  4.30959e+08
6  50  4.23127e+08
7  0  0
7  1  0
7  2  0
7  3  1.20215e+08
7  4  2.42914e+08
7  5  1.35166e+08
7  6  5.30543e+07
7  7  2.48903e+08
7  8  1.46464e+08
7  9  2.3787e+08
7  10  1.30398e+08
7  11  9.22679e+07
7  12  1.73006e+08
7  13  1.62718e+08
7  14  1.64424e+08
7  15  1.46517e+08
7  16  2.09089e+08
7  17  1.74177e+08
7  18  1.98577e+08
7  19  1.42907e+08
7  20  2.10885e+08
7  21  2.61757e+08
7  22  1.60942e+08
7  23  2.0561e+08
7  24  1.27008e+08
7  25  1.57817e+08
7  26  2.16484e+08
7  27  1.98557e+08
7  28  2.23629e+08
7  29  2.30786e+08
7  30  1.14445e+08
7  31  1.66832e+08
7  32  1.82361e+08
7  33  1.97595e+08
7  34  2.67707e+08
7  35  2.12366e+08
7  36  1.49217e+08
7  37  9.98038e+07
7  38  1.44929e+08
7  39  1.56826e+08
7  40  2.11245e+08
7  41  3.22751e+08
7  42  3.1083e+08
7  43  3.79738e+08
7  44  4.93864e+08
7  45  4.44729e+08
7  46  4.86826e+08
7  47  3.89098e+08
7  48  4.58585e+08
7  49  4.65764e+08
7  50  4.42416e+08
8  0  0
8  1  0
8  2  0
8  3  7.83464e+07
8  4  2.40071e+08
8  5  1.92297e+08
8  6  1.37815e+08
8  7  1.589e+08
8  8  1.6884e+08
8  9  2.71907e+08
8  10  1.82069e+08
8  11  1.12852e+08
8  12  1.31183e+08
