row  column  (images_12_26nov.edf Cu_K*images_12_26nov.edf Ar_K**2.3)
7  27  0
7  28  0
7  29  1.29321e+07
7  30  0
7  31  6.58307e+07
7  32  6.16742e+07
7  33  0
7  34  0
7  35  0
7  36  0
7  37  0
7  38  0
7  39  0
7  40  0
7  41  0
7  42  0
7  43  1.62325e+07
7  44  2.01078e+07
7  45  0
7  46  4.42361e+07
7  47  0
7  48  4.90857e+06
7  49  0
7  50  4.44117e+07
8  0  1.73031e+07
8  1  4.34297e+07
8  2  0
8  3  0
8  4  0
8  5  4.25793e+06
8  6  0
8  7  0
8  8  6.10305e+07
8  9  0
8  10  0
8  11  0
8  12  0
8  13  0
8  14  0
8  15  0
8  16  0
8  17  0
8  18  0
8  19  0
8  20  0
8  21  1.33548e+07
8  22  0
8  23  0
8  24  0
8  25  2.52546e+07
8  26  0
8  27  4.38324e+07
8  28  5.58546e+07
8  29  4.60513e+07
8  30  0
8  31  3.86036e+06
8  32  8.21665e+07
8  33  0
8  34  5.88118e+06
8  35  0
8  36  0
8  37  2.45484e+07
8  38  0
8  39  4.5264e+06
8  40  0
8  41  9.41339e+07
8  42  0
8  43  0
8  44  0
8  45  0
8  46  0
8  47  0
8  48  0
8  49  0
8  50  4.98866e+07
9  0  0
9  1  0
9  2  0
9  3  0
9  4  0
9  5  1.04064e+07
9  6  1.32876e+07
9  7  0
9  8  0
9  9  0
9  10  4.53844e+07
9  11  6.4354e+07
9  12  0
9  13  0
9  14  8.9028e+06
9  15  0
9  16  3.89039e+07
9  17  3.53132e+07
9  18  3.8355e+07
9  19  0
9  20  0
9  21  0
9  22  1.36249e+07
9  23  1.62892e+07
9  24  0
9  25  5.32832e+07
9  26  0
9  27  0
9  28  0
9  29  0
9  30  0
9  31  6.4499e+06
9  32  2.80376e+07
9  33  2.40037e+07
9  34  1.57733e+07
9  35  0
9  36  0
9  37  7.94342e+07
9  38  0
9  39  0
9  40  0
9  41  4.2012e+07
9  42  0
9  43  4.34837e+07
9  44  6.89638e+07
9  45  0
9  46  5.0342e+07
9  47  0
9  48  6.11499e+06
9  49  5.02881e+07
9  50  9.91151e+06
10  0  0
10  1  0
10  2  0
10  3  5.23653e+07
10  4  4.02912e+07
10  5  0
10  6  0
10  7  0
10  8  9.91279e+07
10  9  0
10  10  2.11637e+07
10  11  2.97068e+07
10  12  0
10  13  0
10  14  0
10  15  0
10  16  3.80212e+07
10  17  0
10  18  0
10  19  0
10  20  0
10  21  1.32007e+07
10  22  4.19651e+06
10  23  2.74272e+07
10  24  0
10  25  0
10  26  3.66274e+07
10  27  7.88865e+06
10  28  0
10  29  0
10  30  0
10  31  1.85118e+07
10  32  0
10  33  0
10  34  0
10  35  1.82567e+07
10  36  4.72398e+07
10  37  0
10  38  7.53363e+07
10  39  2.25264e+06
10  40  0
10  41  0
10  42  0
10  43  0
10  44  0
10  45  0
10  46  3.31205e+07
10  47  0
10  48  6.04093e+07
10  49  0
10  50  4.01912e+06
11  0  0
11  1  0
11  2  0
11  3  0
11  4  4.87588e+06
11  5  1.74877e+07
11  6  1.45089e+07
11  7  0
11  8  0
11  9  0
11  10  0
11  11  1.04846e+07
11  12  0
11  13  0
11  14  0
11  15  2.83967e+06
11  16  0
11  17  0
11  18  4.97405e+06
11  19  0
11  20  0
11  21  9.89306e+07
11  22  1.1313e+07
11  23  3.49664e+07
11  24  1.022e+07
11  25  5.70446e+07
11  26  1.21412e+07
11  27  0
11  28  0
11  29  1.37281e+07
11  30  6.00135e+06
11  31  5.97614e+06
11  32  0
11  33  2.99398e+07
11  34  0
11  35  2.52892e+07
11  36  0
11  37  0
11  38  3.36504e+06
11  39  7.1253e+07
11  40  5.18181e+07
11  41  0
11  42  9.15904e+07
11  43  0
11  44  0
11  45  0
11  46  5.05895e+07
11  47  6.58165e+06
11  48  3.71036e+07
11  49  1.03478e+08
11  50  0
12  0  0
12  1  9.24574e+06
12  2  0
12  3  0
12  4  0
12  5  0
12  6  3.95158e+07
12  7  0
12  8  0
12  9  1.02988e+07
12  10  0
12  11  2.30569e+07
12  12  2.63181e+07
12  13  0
12  14  0
12  15  1.60513e+07
12  16  0
12  17  2.64375e+07
12  18  1.15959e+06
12  19  0
