row  column  (images_12_26nov.edf Mn_K*images_12_26nov.edf Ar_K**2.3)
5  8  2.14163e+08
5  9  1.02987e+08
5  10  1.44134e+08
5  11  1.71522e+08
5  12  1.31223e+08
5  13  1.62924e+08
5  14  9.03354e+07
5  15  1.40078e+08
5  16  1.1687e+08
5  17  6.27978e+07
5  18  1.16055e+08
5  19  1.40498e+08
5  20  1.61341e+08
5  21  1.045e+08
5  22  1.29261e+08
5  23  1.17913e+08
5  24  2.07514e+08
5  25  9.51902e+07
5  26  1.33882e+08
5  27  1.11879e+08
5  28  9.69442e+07
5  29  1.06689e+08
5  30  1.17773e+08
5  31  8.44586e+07
5  32  8.94564e+07
5  33  1.87046e+08
5  34  4.75425e+07
5  35  1.00375e+08
5  36  1.30417e+08
5  37  9.53935e+07
5  38  1.33643e+08
5  39  1.54592e+08
5  40  8.52348e+07
5  41  8.66005e+07
5  42  2.19737e+08
5  43  1.36022e+08
5  44  1.37086e+08
5  45  1.54712e+08
5  46  5.20411e+07
5  47  9.2006e+07
5  48  1.91501e+08
5  49  1.51503e+08
5  50  1.1865e+08
6  0  1.63346e+08
6  1  1.22937e+08
6  2  1.23483e+08
6  3  6.53425e+07
6  4  1.08266e+08
6  5  4.1802e+07
6  6  1.32491e+08
6  7  5.75961e+07
6  8  1.41456e+08
6  9  1.24996e+08
6  10  1.01114e+08
6  11  8.67719e+07
6  12  1.1266e+08
6  13  1.43117e+08
6  14  9.0308e+07
6  15  1.50171e+08
6  16  8.67683e+07
6  17  1.7275e+08
6  18  1.77063e+08
6  19  6.93613e+07
6  20  1.63253e+08
6  21  1.22753e+08
6  22  1.55467e+08
6  23  1.31803e+08
6  24  9.34073e+07
6  25  1.12368e+08
6  26  2.02839e+08
6  27  1.44824e+08
6  28  9.3068e+07
6  29  1.54063e+08
6  30  1.30297e+08
6  31  7.38919e+07
6  32  1.17773e+08
6  33  1.11054e+08
6  34  8.44219e+07
6  35  7.30284e+07
6  36  1.20665e+08
6  37  1.31818e+08
6  38  1.4278e+08
6  39  1.47821e+08
6  40  2.29844e+08
6  41  1.58292e+08
6  42  7.27521e+07
6  43  1.2576e+08
6  44  1.59364e+08
6  45  1.21712e+08
6  46  0
6  47  1.23523e+08
6  48  1.32153e+08
6  49  7.93445e+07
6  50  1.1056e+08
7  0  1.28798e+08
7  1  2.12717e+08
7  2  1.7968e+08
7  3  4.34504e+07
7  4  8.59324e+07
7  5  5.07404e+07
7  6  1.26579e+08
7  7  1.35824e+08
7  8  1.19102e+08
7  9  3.76267e+07
7  10  5.54477e+07
7  11  1.39011e+08
7  12  1.16411e+08
7  13  9.96134e+07
7  14  1.32737e+08
7  15  1.49888e+08
7  16  1.07772e+08
7  17  1.38917e+08
7  18  1.00276e+08
7  19  1.81018e+08
7  20  1.07262e+08
7  21  1.35341e+08
7  22  8.67651e+07
7  23  1.45592e+08
7  24  1.24252e+08
7  25  1.02666e+08
7  26  1.27038e+08
7  27  1.23066e+08
7  28  1.07978e+08
7  29  1.03934e+08
7  30  6.7049e+07
7  31  9.98208e+07
7  32  1.04308e+08
7  33  1.56898e+08
7  34  1.4617e+08
7  35  1.38546e+08
7  36  9.54635e+07
7  37  1.63019e+08
7  38  1.41289e+08
7  39  1.52192e+08
7  40  1.68693e+08
7  41  1.27399e+08
7  42  4.94557e+07
7  43  1.82696e+08
7  44  1.40543e+08
7  45  1.51679e+08
7  46  1.34915e+08
7  47  1.64812e+08
7  48  1.72717e+08
7  49  8.50644e+07
7  50  9.64024e+07
8  0  1.56754e+08
8  1  1.77344e+08
8  2  1.3824e+08
8  3  1.01833e+08
8  4  1.16088e+08
8  5  5.90503e+07
8  6  1.83343e+08
8  7  1.24246e+08
8  8  1.08477e+08
8  9  7.23995e+07
8  10  6.56418e+07
8  11  1.00553e+08
8  12  1.89157e+08
8  13  1.01489e+08
8  14  1.33992e+08
8  15  2.20364e+08
8  16  1.11154e+08
8  17  1.92437e+08
8  18  1.26674e+08
8  19  1.29782e+08
8  20  1.64874e+08
8  21  8.64993e+07
8  22  1.47256e+08
8  23  1.33989e+08
8  24  1.51084e+08
8  25  7.73535e+07
8  26  1.90637e+08
8  27  1.62656e+08
8  28  4.32046e+07
8  29  1.08791e+08
8  30  1.17749e+08
8  31  1.0367e+08
8  32  1.05833e+08
8  33  5.27594e+07
8  34  1.23036e+08
8  35  1.05736e+08
8  36  1.23677e+08
8  37  8.79829e+07
8  38  1.93514e+08
8  39  1.36087e+08
8  40  1.06536e+08
8  41  1.46057e+08
8  42  1.26727e+08
8  43  1.33169e+08
8  44  1.44939e+08
8  45  7.23448e+07
8  46  1.50064e+08
8  47  1.63538e+08
8  48  8.56152e+07
8  49  1.3047e+08
8  50  9.92411e+07
9  0  1.52584e+08
9  1  1.67081e+08
9  2  1.04814e+08
9  3  1.71119e+08
9  4  7.33165e+07
9  5  9.73018e+07
9  6  1.96132e+08
9  7  1.77564e+08
9  8  1.17803e+08
9  9  4.13698e+07
9  10  7.95561e+07
9  11  1.76228e+08
9  12  1.4815e+08
9  13  7.57195e+07
9  14  1.26352e+08
9  15  8.66266e+07
9  16  1.02571e+08
9  17  8.10895e+07
9  18  1.07393e+08
9  19  9.28995e+07
9  20  1.76868e+08
9  21  1.46271e+08
9  22  1.40477e+08
