row  column  (images_12_26nov.edf Ca_K*images_12_26nov.edf Ar_K**2.3)
5  8  5.43364e+09
5  9  6.82578e+09
5  10  6.71224e+09
5  11  6.06459e+09
5  12  5.10917e+09
5  13  5.1863e+09
5  14  5.13363e+09
5  15  5.29383e+09
5  16  5.42839e+09
5  17  6.02166e+09
5  18  5.75752e+09
5  19  6.05222e+09
5  20  6.65869e+09
5  21  6.71145e+09
5  22  5.79291e+09
5  23  5.79358e+09
5  24  6.46486e+09
5  25  6.53892e+09
5  26  6.78415e+09
5  27  6.47303e+09
5  28  7.38558e+09
5  29  6.74189e+09
5  30  6.8348e+09
5  31  6.4916e+09
5  32  5.54042e+09
5  33  5.54409e+09
5  34  5.44534e+09
5  35  6.56613e+09
5  36  6.84038e+09
5  37  5.08732e+09
5  38  4.73188e+09
5  39  4.97293e+09
5  40  4.62275e+09
5  41  6.18643e+09
5  42  7.05063e+09
5  43  7.17724e+09
5  44  6.58254e+09
5  45  7.39669e+09
5  46  8.35233e+09
5  47  9.50013e+09
5  48  9.24654e+09
5  49  9.62626e+09
5  50  1.00794e+10
6  0  1.4395e+09
6  1  1.87321e+09
6  2  3.0889e+09
6  3  4.80214e+09
6  4  6.90349e+09
6  5  6.83252e+09
6  6  5.13874e+09
6  7  5.12171e+09
6  8  5.39569e+09
6  9  6.54837e+09
6  10  7.32941e+09
6  11  5.82768e+09
6  12  5.05357e+09
6  13  5.08353e+09
6  14  5.05235e+09
6  15  5.13988e+09
6  16  4.99232e+09
6  17  6.2871e+09
6  18  5.81981e+09
6  19  6.11341e+09
6  20  6.6937e+09
6  21  7.19768e+09
6  22  5.75943e+09
6  23  5.93887e+09
6  24  6.05209e+09
6  25  6.26713e+09
6  26  6.32575e+09
6  27  5.73989e+09
6  28  6.6511e+09
6  29  6.99957e+09
6  30  6.98188e+09
6  31  6.74305e+09
6  32  5.73969e+09
6  33  5.45478e+09
6  34  5.71522e+09
6  35  6.09301e+09
6  36  6.44519e+09
6  37  5.10594e+09
6  38  4.88634e+09
6  39  5.19799e+09
6  40  4.54125e+09
6  41  5.84119e+09
6  42  6.97037e+09
6  43  7.65203e+09
6  44  7.06512e+09
6  45  6.82406e+09
6  46  8.65923e+09
6  47  9.43172e+09
6  48  9.50853e+09
6  49  9.91596e+09
6  50  9.68583e+09
7  0  1.35296e+09
7  1  2.01205e+09
7  2  3.24806e+09
7  3  5.16414e+09
7  4  7.55512e+09
7  5  5.82171e+09
7  6  4.56794e+09
7  7  5.74008e+09
7  8  5.76379e+09
7  9  7.00887e+09
7  10  6.32234e+09
7  11  5.59257e+09
7  12  5.13736e+09
7  13  5.18014e+09
7  14  5.19072e+09
7  15  4.91499e+09
7  16  5.42571e+09
7  17  6.29274e+09
7  18  6.07406e+09
7  19  5.71167e+09
7  20  6.6468e+09
7  21  6.41983e+09
7  22  6.08129e+09
7  23  6.53811e+09
7  24  5.67496e+09
7  25  5.57037e+09
7  26  6.01187e+09
7  27  6.02846e+09
7  28  6.86979e+09
7  29  7.18329e+09
7  30  6.93304e+09
7  31  6.548e+09
7  32  4.99281e+09
7  33  5.57177e+09
7  34  5.903e+09
7  35  6.15155e+09
7  36  5.72665e+09
7  37  4.75213e+09
7  38  5.34645e+09
7  39  4.88967e+09
7  40  5.33364e+09
7  41  5.92599e+09
7  42  6.75617e+09
7  43  7.22481e+09
7  44  6.7387e+09
7  45  7.38408e+09
7  46  8.1007e+09
7  47  8.2172e+09
7  48  9.29338e+09
7  49  8.94558e+09
7  50  1.04927e+10
8  0  1.15887e+09
8  1  1.6183e+09
8  2  2.52252e+09
8  3  4.68185e+09
8  4  6.76144e+09
8  5  6.87431e+09
8  6  4.94197e+09
8  7  5.51165e+09
8  8  5.45298e+09
8  9  7.27269e+09
8  10  6.81612e+09
8  11  5.51433e+09
8  12  5.17415e+09
8  13  5.20939e+09
8  14  5.52574e+09
8  15  5.54167e+09
8  16  5.24423e+09
8  17  6.40335e+09
8  18  6.08631e+09
8  19  5.68932e+09
8  20  5.92376e+09
8  21  6.64225e+09
8  22  7.31313e+09
8  23  7.17809e+09
8  24  5.96691e+09
8  25  5.5792e+09
8  26  5.61725e+09
8  27  5.30129e+09
8  28  6.39538e+09
8  29  6.80425e+09
8  30  6.63637e+09
8  31  7.03278e+09
8  32  5.12972e+09
8  33  4.83526e+09
8  34  5.90044e+09
8  35  5.37627e+09
8  36  5.70188e+09
8  37  4.81648e+09
8  38  5.12394e+09
8  39  5.30513e+09
8  40  5.31173e+09
8  41  5.85648e+09
8  42  6.74329e+09
8  43  7.21329e+09
8  44  6.28188e+09
8  45  6.84223e+09
8  46  7.64039e+09
8  47  7.93657e+09
8  48  9.18854e+09
8  49  8.4215e+09
8  50  9.79306e+09
9  0  1.09059e+09
9  1  1.47937e+09
9  2  2.27323e+09
9  3  3.34766e+09
9  4  6.02326e+09
9  5  8.02468e+09
9  6  5.80957e+09
9  7  4.92788e+09
9  8  5.42438e+09
9  9  6.71591e+09
9  10  7.74506e+09
9  11  5.95788e+09
9  12  5.22833e+09
9  13  5.19192e+09
9  14  5.21126e+09
9  15  5.11675e+09
9  16  5.46309e+09
9  17  5.66516e+09
9  18  5.6741e+09
9  19  5.70988e+09
9  20  6.17546e+09
9  21  6.72497e+09
9  22  6.78732e+09
9  23  7.45968e+09
9  24  6.94458e+09
9  25  5.7417e+09
9  26  5.62937e+09
9  27  5.27575e+09
9  28  5.53911e+09
9  29  7.2887e+09
9  30  6.33454e+09
9  31  6.86463e+09
9  32  5.99201e+09
9  33  4.59887e+09
9  34  5.71249e+09
9  35  5.0505e+09
9  36  5.72936e+09
9  37  5.19344e+09
9  38  4.96455e+09
9  39  6.09858e+09
9  40  5.27565e+09
9  41  6.14451e+09
9  42  6.96416e+09
9  43  6.86998e+09
9  44  6.51114e+09
9  45  6.89299e+09
9  46  7.73959e+09
9  47  7.77704e+09
9  48  8.82405e+09
9  49  8.27279e+09
9  50  9.05029e+09
10  0  9.89048e+08
10  1  1.40746e+09
10  2  1.99388e+09
10  3  3.42616e+09
10  4  5.61281e+09
10  5  6.98507e+09
10  6  6.16316e+09
10  7  4.87079e+09
10  8  5.61087e+09
10  9  6.74667e+09
10  10  8.5974e+09
10  11  6.82531e+09
10  12  5.86993e+09
10  13  5.28697e+09
10  14  5.12518e+09
10  15  5.6073e+09
10  16  5.10355e+09
10  17  5.80989e+09
10  18  5.75488e+09
10  19  5.69081e+09
10  20  6.28474e+09
10  21  6.37037e+09
10  22  6.60867e+09
10  23  7.94615e+09
10  24  8.49183e+09
10  25  5.97231e+09
10  26  5.38449e+09
10  27  5.15699e+09
10  28  4.97071e+09
10  29  6.24043e+09
10  30  6.93792e+09
10  31  6.60869e+09
10  32  5.96353e+09
10  33  5.00951e+09
10  34  5.36203e+09
10  35  5.72522e+09
10  36  5.9995e+09
10  37  5.36659e+09
10  38  5.37865e+09
10  39  5.7851e+09
10  40  6.17181e+09
10  41  5.74838e+09
10  42  6.73398e+09
10  43  7.59362e+09
10  44  6.69261e+09
10  45  6.79885e+09
10  46  6.72155e+09
10  47  7.04447e+09
10  48  7.69e+09
10  49  8.54583e+09
10  50  8.28643e+09
11  0  1.08006e+09
11  1  1.39124e+09
11  2  2.16509e+09
11  3  3.50402e+09
11  4  5.78472e+09
11  5  7.52321e+09
11  6  5.47478e+09
11  7  5.00069e+09
11  8  5.8992e+09
11  9  7.33748e+09
11  10  8.38468e+09
11  11  6.94522e+09
11  12  5.75907e+09
11  13  5.73024e+09
11  14  5.73677e+09
11  15  5.3003e+09
11  16  5.22474e+09
11  17  5.53526e+09
11  18  5.71474e+09
11  19  5.40722e+09
11  20  5.76115e+09
11  21  6.06198e+09
11  22  6.68958e+09
11  23  7.83912e+09
11  24  7.3888e+09
11  25  6.43323e+09
11  26  5.60415e+09
11  27  4.84989e+09
11  28  4.96141e+09
11  29  6.98175e+09
11  30  6.79547e+09
11  31  6.54876e+09
11  32  5.06556e+09
11  33  4.8155e+09
11  34  5.21354e+09
11  35  5.93178e+09
11  36  5.81263e+09
11  37  4.89722e+09
11  38  5.98525e+09
11  39  6.18066e+09
11  40  6.31641e+09
11  41  5.85408e+09
11  42  6.93288e+09
11  43  6.3668e+09
11  44  6.53891e+09
11  45  6.75128e+09
11  46  7.34518e+09
11  47  7.72369e+09
11  48  7.71125e+09
11  49  8.22471e+09
11  50  9.11561e+09
12  0  1.02247e+09
12  1  1.38264e+09
12  2  1.93728e+09
12  3  2.93718e+09
12  4  5.0538e+09
12  5  7.14981e+09
12  6  5.73071e+09
12  7  4.92911e+09
12  8  5.60351e+09
12  9  8.14117e+09
12  10  8.03952e+09
12  11  7.24557e+09
12  12  5.9943e+09
12  13  6.21318e+09
12  14  5.91854e+09
12  15  5.52036e+09
12  16  5.08948e+09
12  17  6.16241e+09
12  18  5.75183e+09
12  19  5.42419e+09
12  20  5.75918e+09
12  21  5.69024e+09
