row  column  (images_9.edf Ca_K*images_9.edf Ar_K**2.3)
0  0  4.5383e+09
0  1  4.08937e+09
0  2  4.07461e+09
0  3  3.535e+09
0  4  3.56479e+09
0  5  3.29112e+09
0  6  2.75994e+09
0  7  2.80668e+09
0  8  2.966e+09
0  9  2.90027e+09
0  10  2.74557e+09
0  11  2.49996e+09
0  12  2.76063e+09
0  13  2.73896e+09
0  14  2.72379e+09
0  15  2.51552e+09
0  16  2.77601e+09
0  17  3.00124e+09
0  18  3.16719e+09
0  19  3.50288e+09
0  20  3.53259e+09
0  21  3.49743e+09
0  22  3.97837e+09
0  23  3.26311e+09
0  24  3.54304e+09
0  25  3.51269e+09
0  26  4.07374e+09
0  27  4.22747e+09
0  28  3.38312e+09
0  29  3.30693e+09
0  30  3.16818e+09
0  31  3.2224e+09
0  32  3.30485e+09
0  33  4.08884e+09
0  34  4.43928e+09
0  35  4.8015e+09
0  36  5.46479e+09
0  37  5.67262e+09
0  38  5.95093e+09
0  39  6.43128e+09
0  40  7.2931e+09
0  41  6.25393e+09
0  42  5.79147e+09
0  43  5.96461e+09
0  44  6.31568e+09
0  45  5.51324e+09
0  46  5.58014e+09
0  47  5.59041e+09
0  48  5.55752e+09
0  49  6.09531e+09
0  50  5.99987e+09
1  0  5.07044e+09
1  1  4.29122e+09
1  2  4.00229e+09
1  3  3.54282e+09
1  4  3.54429e+09
1  5  3.24451e+09
1  6  3.46037e+09
1  7  3.04957e+09
1  8  3.04451e+09
1  9  2.99958e+09
1  10  2.97141e+09
1  11  2.71155e+09
1  12  2.76569e+09
1  13  2.70413e+09
1  14  2.90012e+09
1  15  2.66971e+09
1  16  2.47244e+09
1  17  2.96159e+09
1  18  3.16736e+09
1  19  3.72931e+09
1  20  3.61545e+09
1  21  3.44685e+09
1  22  3.71819e+09
1  23  3.43341e+09
1  24  3.83848e+09
1  25  3.77498e+09
1  26  3.99999e+09
1  27  3.6382e+09
1  28  3.42178e+09
1  29  3.17666e+09
1  30  3.24932e+09
1  31  3.53893e+09
1  32  3.26153e+09
1  33  3.99828e+09
1  34  4.887e+09
1  35  5.06016e+09
1  36  5.83633e+09
1  37  5.75451e+09
1  38  5.41086e+09
1  39  6.52206e+09
1  40  6.45422e+09
1  41  6.45968e+09
1  42  5.70929e+09
1  43  5.69094e+09
1  44  5.94997e+09
1  45  5.66515e+09
1  46  5.81247e+09
1  47  5.80512e+09
1  48  5.86787e+09
1  49  5.69342e+09
1  50  5.87241e+09
2  0  5.17044e+09
2  1  4.72402e+09
2  2  3.91821e+09
2  3  3.7685e+09
2  4  3.75617e+09
2  5  3.43462e+09
2  6  3.61201e+09
2  7  3.1508e+09
2  8  3.46469e+09
2  9  3.2989e+09
2  10  3.31352e+09
2  11  2.84133e+09
2  12  2.922e+09
2  13  2.79517e+09
2  14  2.76969e+09
2  15  2.75606e+09
2  16  2.55455e+09
2  17  2.64891e+09
2  18  2.98895e+09
2  19  3.31899e+09
2  20  3.46386e+09
2  21  3.38544e+09
2  22  3.45799e+09
2  23  2.95616e+09
2  24  4.04956e+09
2  25  4.06084e+09
2  26  3.98249e+09
2  27  3.76572e+09
2  28  3.29118e+09
2  29  3.29734e+09
2  30  3.68794e+09
2  31  3.35653e+09
2  32  3.29843e+09
2  33  4.18428e+09
2  34  4.52563e+09
2  35  4.76031e+09
2  36  5.20639e+09
2  37  5.4378e+09
2  38  5.47091e+09
2  39  6.18621e+09
2  40  6.1126e+09
2  41  5.5524e+09
2  42  5.32374e+09
2  43  5.54949e+09
2  44  5.12848e+09
2  45  5.72281e+09
