row  column  (images_9.edf S_K*images_9.edf Ar_K**2.3)
6  17  4.93904e+07
6  18  1.23864e+08
6  19  9.96144e+07
6  20  0
6  21  1.37148e+08
6  22  0
6  23  8.47706e+07
6  24  0
6  25  0
6  26  1.99281e+07
6  27  0
6  28  0
6  29  3.32309e+07
6  30  0
6  31  0
6  32  0
6  33  0
6  34  0
6  35  9.23139e+07
6  36  9.75864e+07
6  37  9.69752e+07
6  38  0
6  39  7.82548e+07
6  40  1.10577e+08
6  41  1.172e+08
6  42  1.27236e+08
6  43  7.38415e+07
6  44  0
6  45  6.95088e+07
6  46  7.6616e+07
6  47  8.81836e+07
6  48  9.55481e+07
6  49  8.78307e+07
6  50  3.29631e+07
7  0  8.1913e+07
7  1  3.41138e+07
7  2  0
7  3  0
7  4  4.04759e+07
7  5  0
7  6  6.39798e+07
7  7  4.81609e+07
7  8  9.28116e+07
7  9  8.04983e+07
7  10  0
7  11  6.3179e+07
7  12  8.18282e+07
7  13  8.60032e+07
7  14  8.26921e+07
7  15  0
7  16  4.39991e+07
7  17  0
7  18  1.94047e+07
7  19  6.35411e+07
7  20  1.16342e+08
7  21  7.49176e+07
7  22  1.02757e+08
7  23  8.90414e+07
7  24  0
7  25  6.03898e+07
7  26  0
7  27  0
7  28  0
7  29  0
7  30  0
7  31  3.55449e+07
7  32  0
7  33  0
7  34  6.41894e+07
7  35  6.39924e+07
7  36  9.11445e+07
7  37  4.59469e+07
7  38  1.31012e+08
7  39  8.69621e+07
7  40  1.18775e+08
7  41  9.13785e+07
7  42  9.42449e+07
7  43  6.53298e+07
7  44  6.59687e+07
7  45  1.00446e+08
7  46  4.48513e+07
7  47  3.71153e+07
7  48  1.11808e+08
7  49  1.14672e+08
7  50  1.14727e+08
8  0  1.31426e+08
8  1  2.33222e+07
8  2  1.403e+07
8  3  3.93632e+07
8  4  0
8  5  5.97937e+07
8  6  5.48575e+07
8  7  5.79674e+07
8  8  6.38169e+07
8  9  0
8  10  6.20048e+07
8  11  0
8  12  5.60461e+07
8  13  5.48087e+07
8  14  0
8  15  3.99826e+07
8  16  0
8  17  6.87997e+07
8  18  8.49111e+07
8  19  9.32499e+07
8  20  4.99199e+07
8  21  5.85208e+07
8  22  5.44486e+07
8  23  1.04154e+08
8  24  6.58471e+07
8  25  0
8  26  0
8  27  4.17264e+07
8  28  4.0948e+07
8  29  3.83355e+07
8  30  0
8  31  0
8  32  3.40483e+07
8  33  0
8  34  5.47547e+07
8  35  7.67776e+07
8  36  7.57824e+07
8  37  6.4711e+07
8  38  8.34987e+07
8  39  7.02904e+07
8  40  1.91601e+07
8  41  9.49957e+07
8  42  8.98759e+07
8  43  8.17569e+07
8  44  7.9502e+07
8  45  0
8  46  6.72271e+07
8  47  6.63229e+07
8  48  1.26256e+08
8  49  1.28125e+08
8  50  4.20829e+07
9  0  6.26304e+07
9  1  4.89004e+07
9  2  0
9  3  0
9  4  3.32955e+07
9  5  6.1229e+07
9  6  4.64292e+07
9  7  5.47008e+07
9  8  9.78939e+07
9  9  5.36616e+07
9  10  4.09893e+07
9  11  5.57395e+07
9  12  9.03843e+07
9  13  1.01627e+08
9  14  8.32428e+07
9  15  4.86944e+07
9  16  3.91744e+07
9  17  7.86934e+07
9  18  0
9  19  9.49168e+07
9  20  6.44466e+07
9  21  8.64498e+07
9  22  5.6597e+07
9  23  5.64533e+07
9  24  6.81206e+07
9  25  6.01751e+07
9  26  5.5169e+07
9  27  0
9  28  0
9  29  5.17276e+07
9  30  3.42537e+07
9  31  3.76037e+07
9  32  6.4345e+07
9  33  8.51017e+07
9  34  0
9  35  1.00969e+08
9  36  7.31604e+07
9  37  1.21031e+08
9  38  5.53377e+07
9  39  0
9  40  1.33363e+08
9  41  7.06862e+07
9  42  7.90058e+07
9  43  6.79798e+07
9  44  5.02364e+07
9  45  6.27258e+07
9  46  7.55257e+07
9  47  9.99836e+07
9  48  1.21978e+08
9  49  1.39666e+08
9  50  8.42566e+07
10  0  4.25114e+07
10  1  2.24333e+07
10  2  0
10  3  0
10  4  3.39889e+07
10  5  4.17659e+07
10  6  6.162e+07
10  7  9.55687e+07
10  8  5.2607e+07
10  9  6.43194e+07
10  10  6.35295e+07
10  11  3.71173e+07
10  12  4.54935e+07
10  13  8.669e+07
10  14  8.52717e+07
10  15  5.62793e+07
10  16  4.57451e+07
10  17  9.09484e+07
10  18  3.10692e+07
10  19  1.01774e+08
10  20  6.73513e+07
10  21  9.30007e+07
10  22  7.27363e+07
10  23  7.85579e+07
10  24  6.04538e+07
10  25  5.47147e+07
10  26  4.10542e+07
10  27  0
10  28  6.97474e+07
10  29  0
10  30  4.90398e+07
10  31  6.582e+07
10  32  4.30732e+07
10  33  5.30251e+07
10  34  5.15702e+07
10  35  0
10  36  4.25364e+07
10  37  9.44863e+07
10  38  7.29529e+07
10  39  9.46917e+07
10  40  7.92998e+07
10  41  6.71642e+07
10  42  1.21753e+08
10  43  1.03546e+08
10  44  1.03044e+08
10  45  6.13871e+07
10  46  1.00392e+08
10  47  6.13533e+07
10  48  7.53835e+07
10  49  1.42335e+08
10  50  1.45166e+08
11  0  4.03433e+07
11  1  5.10755e+07
11  2  0
11  3  0
11  4  0
11  5  3.99359e+07
11  6  1.00454e+08
11  7  9.13826e+07
11  8  6.16508e+07
11  9  1.13698e+08
11  10  5.28417e+07
11  11  7.61384e+07
11  12  5.1322e+07
11  13  6.39746e+07
11  14  9.25158e+07
11  15  4.89451e+07
11  16  2.92458e+07
