row  column  (images_9.edf Fe_K*images_9.edf Ar_K**2.3)
0  0  3.65683e+08
0  1  3.65069e+08
0  2  4.50405e+08
0  3  3.73707e+08
0  4  4.5444e+08
0  5  4.20604e+08
0  6  3.47334e+08
0  7  4.34995e+08
0  8  4.07387e+08
0  9  3.55722e+08
0  10  3.0337e+08
0  11  3.6109e+08
0  12  4.22553e+08
0  13  3.83601e+08
0  14  4.03536e+08
0  15  3.88636e+08
0  16  4.17907e+08
0  17  3.30082e+08
0  18  4.08658e+08
0  19  3.96495e+08
0  20  3.94476e+08
0  21  4.18977e+08
0  22  4.04849e+08
0  23  3.48845e+08
0  24  3.8359e+08
0  25  4.13139e+08
0  26  5.09942e+08
0  27  5.08733e+08
0  28  4.22178e+08
0  29  3.72121e+08
0  30  5.35385e+08
0  31  4.07385e+08
0  32  3.77615e+08
0  33  3.92384e+08
0  34  4.58255e+08
0  35  4.42868e+08
0  36  5.30392e+08
0  37  4.69213e+08
0  38  4.2484e+08
0  39  4.39546e+08
0  40  4.61565e+08
0  41  4.71888e+08
0  42  4.16497e+08
0  43  4.83073e+08
0  44  4.62524e+08
0  45  3.85337e+08
0  46  4.99341e+08
0  47  4.96786e+08
0  48  5.9895e+08
0  49  7.06472e+08
0  50  6.73308e+08
1  0  4.13777e+08
1  1  4.34291e+08
1  2  4.17566e+08
1  3  3.93664e+08
1  4  4.05817e+08
1  5  4.7006e+08
1  6  4.80188e+08
1  7  4.36756e+08
1  8  4.05191e+08
1  9  3.64239e+08
1  10  3.09461e+08
1  11  4.31584e+08
1  12  4.07639e+08
1  13  3.83536e+08
1  14  3.77221e+08
1  15  3.53913e+08
1  16  3.42334e+08
1  17  3.85364e+08
1  18  3.45936e+08
1  19  4.42977e+08
1  20  5.16547e+08
1  21  3.86331e+08
1  22  4.12427e+08
1  23  3.95509e+08
1  24  4.65241e+08
1  25  4.20582e+08
1  26  4.79959e+08
1  27  4.15059e+08
1  28  4.0638e+08
1  29  4.05013e+08
1  30  4.20493e+08
1  31  4.13554e+08
1  32  3.97335e+08
1  33  4.05338e+08
1  34  4.60963e+08
1  35  3.77116e+08
1  36  3.86553e+08
1  37  4.37615e+08
1  38  4.04891e+08
1  39  4.64473e+08
1  40  3.90308e+08
1  41  4.82687e+08
1  42  4.28098e+08
1  43  4.22993e+08
1  44  5.62056e+08
1  45  4.64403e+08
1  46  6.24924e+08
1  47  5.40728e+08
1  48  6.62476e+08
1  49  6.53049e+08
1  50  7.17738e+08
2  0  4.43811e+08
2  1  4.31537e+08
2  2  3.90986e+08
2  3  3.88681e+08
2  4  3.79085e+08
2  5  4.48978e+08
2  6  4.99557e+08
2  7  5.20825e+08
2  8  4.47676e+08
2  9  4.31586e+08
2  10  3.86683e+08
2  11  3.09712e+08
2  12  4.039e+08
2  13  3.75364e+08
2  14  3.806e+08
2  15  3.87079e+08
2  16  4.06576e+08
2  17  3.73103e+08
2  18  3.59245e+08
2  19  3.71815e+08
2  20  4.42765e+08
2  21  3.97629e+08
2  22  2.92522e+08
2  23  3.27718e+08
2  24  4.90993e+08
2  25  4.21509e+08
2  26  3.9277e+08
2  27  4.09433e+08
2  28  4.15945e+08
2  29  3.79817e+08
