row  column  (images_9.edf P_K*images_9.edf Ar_K**2.3)
8  7  0
8  8  0
8  9  0
8  10  0
8  11  0
8  12  0
8  13  0
8  14  0
8  15  0
8  16  0
8  17  0
8  18  0
8  19  0
8  20  0
8  21  0
8  22  0
8  23  0
8  24  0
8  25  0
8  26  0
8  27  0
8  28  0
8  29  0
8  30  3.82348e+06
8  31  0
8  32  0
8  33  0
8  34  0
8  35  0
8  36  0
8  37  3.63552e+07
8  38  0
8  39  0
8  40  5.15771e+07
8  41  4.41698e+07
8  42  6.65394e+07
8  43  4.84496e+07
8  44  0
8  45  0
8  46  0
8  47  0
8  48  5.35277e+07
8  49  9.16596e+07
8  50  3.79998e+07
9  0  0
9  1  0
9  2  0
9  3  0
9  4  0
9  5  0
9  6  0
9  7  0
9  8  4.32646e+07
9  9  0
9  10  0
9  11  0
9  12  0
9  13  0
9  14  0
9  15  0
9  16  0
9  17  0
9  18  0
9  19  0
9  20  0
9  21  0
9  22  0
9  23  0
9  24  0
9  25  0
9  26  0
9  27  0
9  28  3.58798e+07
9  29  0
9  30  7.00416e+06
9  31  0
9  32  0
9  33  0
9  34  0
9  35  0
9  36  0
9  37  0
9  38  0
9  39  0
9  40  6.5491e+07
9  41  0
9  42  0
9  43  0
9  44  8.68788e+06
9  45  4.90125e+07
9  46  0
9  47  4.35212e+07
9  48  7.26668e+07
9  49  8.7856e+07
9  50  1.04628e+08
10  0  0
10  1  0
10  2  0
10  3  0
10  4  0
10  5  0
10  6  0
10  7  0
10  8  0
10  9  0
10  10  0
10  11  4.25389e+07
10  12  2.41567e+07
10  13  0
10  14  0
10  15  0
10  16  0
10  17  0
10  18  0
10  19  0
10  20  0
10  21  0
10  22  0
10  23  0
10  24  0
10  25  0
10  26  0
10  27  0
10  28  4.77694e+07
10  29  0
10  30  0
10  31  2.98439e+07
10  32  0
10  33  0
10  34  0
10  35  0
10  36  0
10  37  5.07363e+07
10  38  3.93473e+07
10  39  4.39363e+07
10  40  4.93771e+07
10  41  5.29473e+07
10  42  7.58294e+07
10  43  6.59824e+07
10  44  9.79698e+07
10  45  0
10  46  0
10  47  0
10  48  4.90381e+07
10  49  8.3633e+07
10  50  8.81137e+07
11  0  0
11  1  0
11  2  0
11  3  0
11  4  0
11  5  0
11  6  0
11  7  0
11  8  4.36486e+07
11  9  3.84557e+07
11  10  0
11  11  0
11  12  0
11  13  0
11  14  0
11  15  0
11  16  0
11  17  0
11  18  0
11  19  0
11  20  0
11  21  0
11  22  0
11  23  0
11  24  0
11  25  0
11  26  0
11  27  3.00269e+07
11  28  2.92418e+07
11  29  5.59076e+07
11  30  2.74485e+07
11  31  3.46736e+07
11  32  0
11  33  0
11  34  0
11  35  0
11  36  0
11  37  2.95883e+07
11  38  3.62696e+07
11  39  0
11  40  0
11  41  6.06429e+07
11  42  0
11  43  0
11  44  0
11  45  0
11  46  0
11  47  0
11  48  0
11  49  2.54584e+07
11  50  9.70099e+07
12  0  0
12  1  0
12  2  0
12  3  0
12  4  0
12  5  0
12  6  0
12  7  0
12  8  2.9711e+07
12  9  0
12  10  0
12  11  0
12  12  0
12  13  0
12  14  0
12  15  4.73963e+07
12  16  0
12  17  0
12  18  0
12  19  2.59662e+07
12  20  0
12  21  0
12  22  0
12  23  0
12  24  0
12  25  0
12  26  0
12  27  0
12  28  0
12  29  0
12  30  7.80851e+06
12  31  0
12  32  0
12  33  0
12  34  0
12  35  0
12  36  0
12  37  3.82413e+07
12  38  8.42962e+06
12  39  0
12  40  4.25873e+07
12  41  2.51977e+07
12  42  6.74972e+07
12  43  6.78245e+07
12  44  4.27979e+07
12  45  0
12  46  0
12  47  4.52955e+07
12  48  0
12  49  7.59714e+07
12  50  1.09138e+08
13  0  0
13  1  0
13  2  0
13  3  0
13  4  0
13  5  0
13  6  0
13  7  0
13  8  0
13  9  0
13  10  3.91863e+07
13  11  0
13  12  0
13  13  0
13  14  0
13  15  0
13  16  0
13  17  0
13  18  0
13  19  0
13  20  0
13  21  0
13  22  0
13  23  0
13  24  0
13  25  0
13  26  3.48291e+07
13  27  3.40112e+07
13  28  6.02207e+07
13  29  4.90953e+07
13  30  0
13  31  0
13  32  0
13  33  0
13  34  0
13  35  0
13  36  0
13  37  0
13  38  2.94313e+07
13  39  4.05182e+07
13  40  0
13  41  7.31372e+07
13  42  7.53795e+07
13  43  4.01231e+07
13  44  7.18729e+07
13  45  0
13  46  0
13  47  0
13  48  3.45924e+07
13  49  5.75827e+07
13  50  4.62031e+07
14  0  0
14  1  0
14  2  0
14  3  0
14  4  0
14  5  0
14  6  0
14  7  0
14  8  0
14  9  0
14  10  2.84526e+07
14  11  0
14  12  0
14  13  0
14  14  0
14  15  0
14  16  0
14  17  0
14  18  0
14  19  0
14  20  3.49312e+07
14  21  4.18249e+07
14  22  0
14  23  0
14  24  0
14  25  0
14  26  0
14  27  4.23157e+07
14  28  2.59736e+07
14  29  4.67892e+07
14  30  1.31788e+07
14  31  7.78311e+07
14  32  0
14  33  1.59185e+07
14  34  0
14  35  0
14  36  0
14  37  3.51743e+07
14  38  0
14  39  0
