row  column  (images_9.edf Cu_K*images_9.edf Ar_K**2.3)
7  2  6.686e+06
7  3  0
7  4  0
7  5  3.35097e+06
7  6  1.25934e+07
7  7  0
7  8  0
7  9  5.58072e+07
7  10  0
7  11  0
7  12  2.35602e+07
7  13  0
7  14  1.80985e+07
7  15  1.98062e+07
7  16  0
7  17  6.14217e+07
7  18  0
7  19  1.55495e+07
7  20  0
7  21  0
7  22  0
7  23  9.11964e+07
7  24  0
7  25  0
7  26  0
7  27  0
7  28  1.25643e+06
7  29  0
7  30  0
7  31  5.79576e+07
7  32  0
7  33  2.58908e+06
7  34  0
7  35  0
7  36  7.03172e+07
7  37  1.26639e+07
7  38  0
7  39  1.32275e+07
7  40  1.74032e+07
7  41  1.17766e+07
7  42  0
7  43  1.91971e+07
7  44  0
7  45  1.79208e+06
7  46  0
7  47  0
7  48  2.28917e+07
7  49  0
7  50  0
8  0  0
8  1  3.02628e+07
8  2  2.53255e+07
8  3  3.04027e+07
8  4  0
8  5  0
8  6  7.01734e+07
8  7  0
8  8  6.19669e+07
8  9  3.08889e+07
8  10  0
8  11  0
8  12  1.59908e+07
8  13  1.45121e+07
8  14  0
8  15  0
8  16  0
8  17  0
8  18  0
8  19  3.66414e+07
8  20  0
8  21  4.29218e+06
8  22  3.47086e+07
8  23  2.16574e+07
8  24  3.50028e+07
8  25  0
8  26  0
8  27  0
8  28  0
8  29  1.06387e+07
8  30  0
8  31  0
8  32  0
8  33  5.25046e+06
8  34  2.38848e+07
8  35  0
8  36  0
8  37  511428
8  38  0
8  39  0
8  40  0
8  41  384989
8  42  0
8  43  0
8  44  7.88655e+06
8  45  0
8  46  0
8  47  5.96531e+07
8  48  7.38337e+07
8  49  0
8  50  0
9  0  3.13466e+07
9  1  1.82268e+07
9  2  0
9  3  5.87103e+07
9  4  0
9  5  0
9  6  0
9  7  0
9  8  5.19135e+07
9  9  1.12846e+07
9  10  3.90236e+07
9  11  0
9  12  9.27684e+06
9  13  1.84617e+07
9  14  0
9  15  2.51953e+07
9  16  6.43879e+06
9  17  3.24006e+06
9  18  0
9  19  0
9  20  0
9  21  3.2368e+07
9  22  0
9  23  0
9  24  0
9  25  9.85252e+06
9  26  0
9  27  0
9  28  6.17161e+06
9  29  4.48441e+07
9  30  0
9  31  0
9  32  4.79173e+07
9  33  3.21259e+06
9  34  1.9372e+07
9  35  0
9  36  3.15067e+07
9  37  0
9  38  3.50881e+07
9  39  0
9  40  0
9  41  0
9  42  0
9  43  4.21671e+07
9  44  0
9  45  0
9  46  7.57795e+06
9  47  2.75063e+07
9  48  5.79362e+07
9  49  0
9  50  6.56529e+06
10  0  9.68601e+07
10  1  3.18533e+07
10  2  1.84481e+07
10  3  3.6578e+07
10  4  1.34903e+06
10  5  3.79915e+07
10  6  1.06945e+07
10  7  0
10  8  3.27911e+07
10  9  4.40415e+07
10  10  0
10  11  2.98219e+06
10  12  0
10  13  4.09685e+06
10  14  0
10  15  3.84517e+07
10  16  0
10  17  0
10  18  0
10  19  3.2245e+07
10  20  0
10  21  6.30264e+06
10  22  0
10  23  1.0064e+07
10  24  0
10  25  0
10  26  0
10  27  5.25496e+06
