row  column  (images_35.edf Fe-K*images_35.edf Ar-K**2.3)
0  0  1.34368e+08
0  1  1.98541e+08
0  2  4.44264e+08
0  3  2.28559e+08
0  4  2.07521e+08
0  5  2.03503e+08
0  6  1.8552e+08
0  7  1.57274e+08
0  8  1.35347e+08
0  9  1.56366e+08
0  10  2.22072e+08
0  11  1.55348e+08
0  12  1.90641e+08
0  13  1.53396e+08
0  14  1.97657e+08
0  15  1.63981e+08
0  16  1.64703e+08
0  17  5.54256e+08
0  18  3.52724e+08
0  19  1.65558e+08
0  20  1.60438e+08
0  21  1.46803e+08
0  22  1.57793e+08
0  23  1.531e+08
0  24  1.36038e+08
0  25  1.17811e+08
0  26  1.62185e+08
0  27  2.59935e+08
0  28  1.4439e+08
0  29  1.64563e+08
0  30  1.53995e+08
0  31  1.43147e+08
0  32  1.7749e+08
0  33  1.71407e+08
0  34  2.09781e+08
0  35  2.78594e+08
0  36  3.35537e+08
0  37  2.24798e+08
0  38  1.99393e+08
0  39  1.69609e+08
0  40  1.37324e+08
0  41  1.16866e+08
0  42  1.63571e+08
0  43  1.3549e+08
0  44  1.0001e+08
0  45  8.50819e+07
0  46  1.97907e+08
0  47  1.8641e+08
0  48  1.70646e+08
0  49  1.51887e+08
0  50  1.1545e+08
1  0  1.38415e+08
1  1  2.32776e+08
1  2  3.10739e+08
1  3  1.94948e+08
1  4  1.79694e+08
1  5  1.8981e+08
1  6  1.885e+08
1  7  1.77215e+08
1  8  1.83754e+08
1  9  1.69858e+08
1  10  1.76487e+08
1  11  1.50353e+08
1  12  1.6839e+08
1  13  2.19015e+08
1  14  2.1223e+08
1  15  1.6608e+08
1  16  1.75465e+08
1  17  4.58752e+08
1  18  3.63515e+08
1  19  1.89611e+08
1  20  1.22093e+08
1  21  2.08485e+08
1  22  1.7816e+08
1  23  1.19686e+08
1  24  1.19039e+08
1  25  1.27063e+08
1  26  1.56304e+08
1  27  2.08993e+08
1  28  1.46396e+08
1  29  1.68144e+08
1  30  1.46291e+08
1  31  1.66731e+08
1  32  1.34681e+08
1  33  1.75898e+08
1  34  1.97594e+08
1  35  2.6698e+08
1  36  2.65708e+08
1  37  2.35844e+08
1  38  2.20166e+08
1  39  1.73945e+08
1  40  1.43728e+08
1  41  1.5044e+08
1  42  1.53415e+08
1  43  1.06667e+08
1  44  9.95142e+07
1  45  1.20908e+08
1  46  2.34565e+08
1  47  1.64265e+08
1  48  1.57476e+08
1  49  1.25313e+08
1  50  8.5866e+07
2  0  1.7343e+08
2  1  2.19616e+08
2  2  3.00497e+08
2  3  1.65934e+08
2  4  1.61466e+08
2  5  1.66009e+08
2  6  1.8463e+08
2  7  1.39149e+08
2  8  1.63004e+08
2  9  1.69571e+08
2  10  1.49363e+08
2  11  1.44888e+08
2  12  1.73086e+08
2  13  2.05512e+08
2  14  1.71305e+08
2  15  1.78204e+08
2  16  2.18566e+08
2  17  3.4024e+08
2  18  2.49641e+08
2  19  1.51069e+08
2  20  1.45968e+08
2  21  2.06157e+08
2  22  1.59579e+08
2  23  1.32356e+08
2  24  9.62936e+07
2  25  1.4997e+08
2  26  1.3287e+08
2  27  2.01578e+08
2  28  1.35298e+08
2  29  1.71809e+08
2  30  1.42388e+08
2  31  1.51153e+08
2  32  1.51314e+08
2  33  1.6406e+08
2  34  1.8582e+08
2  35  2.64347e+08
2  36  3.18632e+08
2  37  2.32387e+08
2  38  2.63694e+08
2  39  1.77152e+08
2  40  1.62426e+08
2  41  1.16688e+08
2  42  1.38522e+08
2  43  1.36734e+08
2  44  1.00072e+08
2  45  1.07632e+08
2  46  2.15428e+08
2  47  1.39257e+08
2  48  1.55569e+08
2  49  9.07571e+07
2  50  9.54884e+07
3  0  1.44667e+08
3  1  2.01796e+08
3  2  2.0277e+08
3  3  1.83329e+08
3  4  1.58214e+08
3  5  1.70017e+08
3  6  1.43804e+08
3  7  1.57728e+08
3  8  1.54299e+08
3  9  2.07574e+08
3  10  1.50786e+08
3  11  1.40678e+08
3  12  1.54566e+08
3  13  1.89729e+08
3  14  1.60606e+08
3  15  1.66046e+08
3  16  2.38904e+08
3  17  2.90686e+08
3  18  1.776e+08
3  19  1.47266e+08
3  20  1.25374e+08
3  21  1.42592e+08
3  22  1.27854e+08
3  23  1.16193e+08
3  24  1.17574e+08
3  25  1.02504e+08
3  26  1.37383e+08
3  27  1.8352e+08
