row  column  (images_27.edf Mn-K*images_27.edf Ar-K**2.3)
0  0  1.34463e+07
0  1  1.92415e+07
0  2  1.70872e+07
0  3  2.48199e+07
0  4  1.7518e+07
0  5  1.65402e+07
0  6  2.77981e+07
0  7  1.91272e+07
0  8  2.31869e+07
0  9  1.45764e+07
0  10  1.41339e+07
0  11  2.70679e+07
0  12  1.22479e+07
0  13  2.34024e+07
0  14  1.12938e+07
0  15  1.78071e+07
0  16  2.26746e+07
0  17  2.03633e+07
0  18  1.21802e+07
0  19  2.08414e+07
0  20  1.92061e+07
0  21  1.32528e+07
0  22  2.62671e+07
0  23  2.74264e+07
0  24  2.81603e+07
0  25  1.79022e+07
0  26  1.46965e+07
0  27  2.16854e+07
0  28  2.02024e+07
0  29  1.50254e+07
0  30  1.03576e+07
0  31  2.08115e+07
0  32  1.89154e+07
0  33  1.24862e+07
0  34  1.93821e+07
0  35  1.34222e+07
0  36  1.1525e+07
0  37  1.46036e+07
0  38  2.02029e+07
0  39  1.154e+07
0  40  2.17373e+07
0  41  1.63363e+07
0  42  1.10953e+07
0  43  2.11304e+07
0  44  2.17543e+07
0  45  1.40756e+07
0  46  1.50751e+07
0  47  2.88392e+07
0  48  1.96447e+07
0  49  1.76484e+07
0  50  1.91849e+07
1  0  1.11241e+07
1  1  1.64007e+07
1  2  1.68851e+07
1  3  6.95147e+06
1  4  1.25595e+07
1  5  1.11051e+07
1  6  2.35009e+07
1  7  1.83187e+07
1  8  3.83859e+07
1  9  1.10914e+07
1  10  9.65838e+06
1  11  1.5425e+07
1  12  1.52828e+07
1  13  1.63778e+07
1  14  1.89828e+07
1  15  1.56597e+07
1  16  1.85716e+07
1  17  1.64593e+07
1  18  2.25403e+07
1  19  1.57689e+07
1  20  2.01213e+07
1  21  2.04006e+07
1  22  1.21986e+07
1  23  1.38214e+07
1  24  1.22215e+07
1  25  2.14294e+07
1  26  1.63274e+07
1  27  1.66933e+07
1  28  2.37823e+07
1  29  2.13884e+07
1  30  1.83684e+07
1  31  2.57812e+07
1  32  1.19484e+07
1  33  1.14796e+07
1  34  2.32363e+07
1  35  1.84089e+07
1  36  1.4679e+07
1  37  1.72944e+07
1  38  2.58768e+07
1  39  7.2333e+06
1  40  1.8407e+07
1  41  1.9829e+07
1  42  1.75314e+07
1  43  1.90145e+07
1  44  1.43861e+07
1  45  2.06157e+07
1  46  3.05279e+07
1  47  2.38291e+07
1  48  2.26509e+07
1  49  2.25917e+07
1  50  1.89002e+07
2  0  1.69397e+07
2  1  1.66378e+07
2  2  1.27679e+07
2  3  1.56984e+07
2  4  1.84512e+07
2  5  2.47889e+07
2  6  1.86503e+07
2  7  1.70814e+07
2  8  8.105e+06
2  9  1.72716e+07
2  10  1.88207e+07
2  11  1.56077e+07
2  12  2.13441e+07
2  13  1.92105e+07
2  14  1.83043e+07
2  15  2.95549e+07
2  16  1.88128e+07
2  17  2.02564e+07
2  18  2.42398e+07
2  19  1.61284e+07
2  20  1.75657e+07
2  21  1.75852e+07
2  22  1.9839e+07
2  23  1.89339e+07
2  24  2.14844e+07
2  25  7.24188e+06
2  26  2.11815e+07
2  27  2.06056e+07
2  28  1.8745e+07
2  29  1.79234e+07
2  30  2.5115e+07
2  31  1.38423e+07
2  32  1.40535e+07
2  33  2.26457e+07
2  34  1.50076e+07
2  35  1.57674e+07
2  36  1.26925e+07
2  37  1.46135e+07
2  38  1.6209e+07
2  39  9.56404e+06
2  40  1.09232e+07
2  41  1.12025e+07
2  42  1.73993e+07
2  43  2.27146e+07
2  44  1.69928e+07
2  45  1.68027e+07
2  46  1.41217e+07
2  47  1.82836e+07
2  48  2.5299e+07
2  49  1.84927e+07
2  50  1.78934e+07
3  0  4.80193e+06
3  1  2.04817e+07
3  2  1.53555e+07
3  3  2.04691e+07
3  4  1.74791e+07
3  5  1.67327e+07
3  6  2.6953e+07
3  7  2.93767e+07
3  8  2.03277e+07
3  9  1.6654e+07
3  10  2.02738e+07
3  11  1.26501e+07
3  12  1.7246e+07
3  13  1.99293e+07
3  14  1.87733e+07
3  15  2.66809e+07
3  16  1.95941e+07
3  17  1.75239e+07
3  18  1.44622e+07
3  19  2.30857e+07
3  20  1.08191e+07
3  21  1.98309e+07
3  22  1.88799e+07
3  23  3.6336e+07
3  24  2.23312e+07
3  25  1.96811e+07
3  26  2.39328e+07
3  27  2.18385e+07
3  28  1.90202e+07
3  29  2.50937e+07
3  30  1.44357e+07
3  31  3.76151e+07
3  32  1.80007e+07
3  33  2.32692e+07
3  34  1.44341e+07
3  35  2.20544e+07
3  36  1.46266e+07
3  37  2.04132e+07
3  38  9.33373e+06
3  39  1.05654e+07
3  40  1.84068e+07
3  41  1.5642e+07
3  42  2.14421e+07
3  43  2.06295e+07
3  44  1.14239e+07
3  45  2.9273e+07
3  46  2.31737e+07
3  47  2.28676e+07
3  48  1.73944e+07
3  49  1.97531e+07
3  50  2.11881e+07
4  0  1.6998e+07
4  1  7.77428e+06
4  2  2.05637e+07
4  3  1.78823e+07
