row  column  (images_27.edf Zn-K*images_27.edf Ar-K**2.3)
0  0  6.56238e+07
0  1  5.44041e+07
0  2  4.92624e+07
0  3  3.91894e+07
0  4  5.03889e+07
0  5  3.8168e+07
0  6  1.34536e+07
0  7  2.47247e+07
0  8  2.87189e+07
0  9  2.87636e+07
0  10  3.89562e+07
0  11  3.24698e+07
0  12  2.55405e+07
0  13  3.69278e+07
0  14  3.8103e+07
0  15  3.16359e+07
0  16  2.5559e+07
0  17  2.80678e+07
0  18  4.66135e+07
0  19  3.73617e+07
0  20  3.19538e+07
0  21  2.4604e+07
0  22  2.01147e+07
0  23  2.3893e+07
0  24  1.65813e+07
0  25  9.16501e+06
0  26  3.93834e+07
0  27  3.44575e+07
0  28  3.834e+07
0  29  3.52876e+07
0  30  4.39553e+07
0  31  3.56053e+07
0  32  4.6873e+07
0  33  2.9427e+07
0  34  2.63484e+07
0  35  5.28352e+07
0  36  7.51654e+07
0  37  5.38475e+07
0  38  7.85755e+07
0  39  6.65643e+07
0  40  7.42737e+07
0  41  5.32638e+07
0  42  6.26207e+07
0  43  5.88151e+07
0  44  4.26926e+07
0  45  6.51963e+07
0  46  5.8896e+07
0  47  3.35751e+07
0  48  5.98273e+07
0  49  3.83623e+07
0  50  4.44657e+07
1  0  5.86385e+07
1  1  5.24702e+07
1  2  4.00892e+07
1  3  4.29623e+07
1  4  4.94282e+07
1  5  1.25938e+07
1  6  1.44838e+07
1  7  3.38047e+07
1  8  3.26648e+07
1  9  3.59546e+07
1  10  3.25118e+07
1  11  3.38843e+07
1  12  2.58505e+07
1  13  3.15008e+07
1  14  3.91773e+07
1  15  2.57187e+07
1  16  5.62163e+07
1  17  3.05953e+07
1  18  3.67205e+07
1  19  3.04567e+07
1  20  2.37932e+07
1  21  1.06421e+07
1  22  9.68339e+06
1  23  9.57365e+06
1  24  1.09322e+07
1  25  1.84224e+07
1  26  4.02731e+07
1  27  4.67086e+07
1  28  2.24397e+07
1  29  2.55568e+07
1  30  4.36759e+07
1  31  5.12047e+07
1  32  3.52469e+07
1  33  4.27111e+07
1  34  7.11028e+07
1  35  5.59724e+07
1  36  4.33575e+07
1  37  5.16743e+07
1  38  4.31778e+07
1  39  3.94911e+07
1  40  6.72907e+07
1  41  4.60269e+07
1  42  5.02822e+07
1  43  7.56373e+07
1  44  5.58689e+07
1  45  6.0349e+07
1  46  5.34111e+07
1  47  4.46996e+07
1  48  2.68613e+07
1  49  5.33895e+07
1  50  3.17001e+07
2  0  6.72362e+07
2  1  4.52104e+07
2  2  4.19006e+07
2  3  3.55523e+07
2  4  3.16447e+07
2  5  2.93064e+07
2  6  2.6453e+06
2  7  1.23072e+07
2  8  3.07693e+07
2  9  1.2642e+07
2  10  2.69072e+07
2  11  3.64255e+07
2  12  1.64196e+07
2  13  2.98808e+07
2  14  1.6976e+07
2  15  3.77516e+07
2  16  2.09146e+07
2  17  4.01999e+07
2  18  2.99049e+07
2  19  3.50506e+07
2  20  2.66466e+07
2  21  2.93988e+07
2  22  1.87167e+07
2  23  7.4877e+06
2  24  0
2  25  1.6166e+07
2  26  3.68188e+07
2  27  5.482e+07
2  28  3.75304e+07
2  29  2.20357e+07
2  30  5.08747e+07
2  31  4.37004e+07
2  32  3.34919e+07
2  33  4.93523e+07
2  34  6.10213e+07
2  35  7.77386e+07
2  36  6.81526e+07
2  37  6.98784e+07
2  38  6.6911e+07
2  39  5.78083e+07
2  40  6.46619e+07
2  41  4.83944e+07
2  42  5.17513e+07
2  43  3.86055e+07
2  44  5.15188e+07
2  45  3.55837e+07
2  46  4.96185e+07
2  47  2.70895e+07
2  48  2.91164e+07
2  49  2.34782e+07
2  50  1.9987e+07
3  0  5.71054e+07
3  1  5.67016e+07
3  2  4.00543e+07
3  3  3.40108e+07
3  4  1.35108e+07
3  5  2.03393e+07
3  6  1.82865e+07
3  7  2.09659e+07
3  8  4.80512e+07
3  9  3.3111e+07
3  10  2.9198e+07
3  11  4.11407e+07
3  12  3.60396e+07
3  13  4.02321e+07
3  14  1.67955e+07
3  15  2.09898e+07
3  16  4.53709e+07
3  17  2.90028e+07
3  18  3.18989e+07
3  19  3.10856e+07
3  20  2.99192e+07
3  21  2.62899e+07
3  22  9.09205e+06
3  23  1.99394e+07
3  24  1.00076e+07
3  25  1.07065e+07
3  26  4.15571e+07
3  27  3.46749e+07
3  28  2.47197e+07
3  29  3.61381e+07
3  30  3.23622e+07
3  31  3.69567e+07
3  32  5.25966e+07
3  33  6.82843e+07
3  34  8.22044e+07
3  35  8.14116e+07
3  36  6.72423e+07
3  37  7.81412e+07
3  38  8.38284e+07
3  39  7.58172e+07
3  40  7.02053e+07
3  41  5.35356e+07
3  42  6.1834e+07
3  43  3.79137e+07
3  44  6.40789e+07
3  45  4.91709e+07
3  46  3.49211e+07
3  47  3.59607e+07
3  48  1.59581e+07
3  49  1.90605e+07
3  50  2.22138e+06
4  0  4.22192e+07
4  1  5.92237e+07
4  2  3.79149e+07
4  3  3.65827e+07
4  4  2.6413e+07
4  5  1.33866e+07
4  6  8.57126e+06
4  7  1.7168e+07
4  8  4.0071e+07
4  9  1.84418e+07
4  10  3.63134e+07
4  11  4.07679e+07
4  12  4.53426e+07
4  13  4.24108e+07
4  14  4.07933e+07
4  15  2.21989e+07
4  16  3.12816e+07
4  17  4.22965e+07
4  18  2.6647e+07
4  19  2.30308e+07
4  20  3.31268e+07
4  21  2.0817e+07
4  22  8.60465e+06
4  23  2.10542e+07
4  24  1.69708e+07
4  25  2.06527e+07
4  26  3.62317e+07
4  27  4.60641e+07
4  28  3.16473e+07
4  29  4.31207e+07
4  30  3.44181e+07
4  31  4.77222e+07
4  32  5.70899e+07
4  33  7.78444e+07
4  34  8.71081e+07
4  35  7.84e+07
4  36  7.05242e+07
4  37  6.84952e+07
4  38  7.47067e+07
4  39  6.05362e+07
4  40  7.28593e+07
4  41  7.15512e+07
4  42  3.40522e+07
4  43  7.44726e+07
4  44  4.34178e+07
4  45  2.32048e+07
4  46  2.76651e+07
4  47  2.50909e+07
4  48  3.27039e+07
4  49  2.64342e+07
4  50  0
5  0  5.3734e+07
5  1  6.10972e+07
5  2  4.75263e+07
5  3  2.95535e+07
5  4  3.74786e+07
5  5  1.20381e+07
5  6  7.60239e+06
5  7  2.55682e+07
5  8  4.04546e+07
5  9  3.60888e+07
5  10  3.49081e+07
5  11  5.11052e+07
5  12  4.41412e+07
5  13  4.64832e+07
5  14  3.25465e+07
5  15  2.19219e+07
5  16  3.24743e+07
5  17  3.54096e+07
5  18  3.77673e+07
5  19  2.31824e+07
5  20  2.74358e+07
