row  column  (images_1_region2.edf S-K*images_1_region2.edf Ar-K**2.3)
4  35  2.01939e+06
4  36  4.04275e+06
4  37  4.84918e+06
4  38  6.47752e+06
4  39  2.45425e+06
4  40  7.16997e+06
4  41  7.41642e+06
4  42  1.10964e+07
4  43  7.43622e+06
4  44  8.62735e+06
4  45  9.48771e+06
4  46  6.95914e+06
4  47  8.87594e+06
4  48  3.85272e+06
4  49  1.52065e+07
4  50  2.89545e+06
4  51  7.75677e+06
4  52  1.62408e+07
4  53  9.93226e+06
4  54  9.72846e+06
4  55  5.79784e+06
4  56  8.66625e+06
4  57  3.99944e+06
4  58  477030
4  59  8.28525e+06
4  60  6.35145e+06
4  61  1.33753e+06
4  62  2.89074e+06
4  63  0
4  64  20004.5
4  65  2.18083e+06
4  66  1.73287e+06
4  67  1.07623e+06
5  0  0
5  1  39621.9
5  2  0
5  3  0
5  4  158141
5  5  876512
5  6  154890
5  7  843778
5  8  0
5  9  1.59331e+06
5  10  0
5  11  744508
5  12  6.46921e+06
5  13  5.82988e+06
5  14  992596
5  15  5.97387e+06
5  16  1.36966e+06
5  17  2.79084e+06
5  18  1.45373e+06
5  19  2.15255e+06
5  20  3.87314e+06
5  21  2.83944e+06
5  22  128031
5  23  1.6792e+06
5  24  640938
5  25  6.10236e+06
5  26  1.97964e+06
5  27  998317
5  28  1.39498e+06
5  29  9.79038e+06
5  30  1.29983e+06
5  31  1.09931e+07
5  32  7.84157e+06
5  33  4.62328e+06
5  34  9.86338e+06
5  35  6.75645e+06
5  36  8.21781e+06
5  37  7.39935e+06
5  38  4.58005e+06
5  39  1.01353e+07
5  40  1.22411e+07
5  41  8.89721e+06
5  42  8.05213e+06
5  43  3.27794e+06
5  44  1.03868e+07
5  45  9.22521e+06
5  46  7.88278e+06
5  47  1.04724e+07
5  48  1.07619e+07
5  49  1.02594e+07
5  50  4.51818e+06
5  51  1.82647e+07
5  52  9.28273e+06
5  53  8.45455e+06
5  54  9.94082e+06
5  55  1.02018e+07
5  56  1.04831e+07
5  57  3.42246e+06
5  58  5.94139e+06
5  59  5.52019e+06
5  60  1.29455e+06
5  61  631625
5  62  374659
5  63  0
5  64  1.67693e+06
5  65  0
5  66  3.16187e+06
5  67  2.35482e+06
6  0  0
6  1  0
6  2  0
6  3  1.87008e+06
6  4  662737
6  5  457657
6  6  461804
6  7  0
6  8  489351
6  9  2.20051e+06
6  10  704590
6  11  3.63661e+06
6  12  0
6  13  2.40889e+06
6  14  3.64944e+06
6  15  3.40663e+06
6  16  1.57118e+06
6  17  1.88257e+06
6  18  1.20695e+06
6  19  5.03983e+06
6  20  7.24692e+06
6  21  635748
6  22  4.11995e+06
6  23  2.15632e+06
6  24  1.1155e+06
6  25  0
6  26  2.25317e+06
6  27  3.13265e+06
6  28  8.96414e+06
6  29  1.91509e+06
6  30  0
6  31  9.45326e+06
6  32  6.87461e+06
6  33  3.84023e+06
6  34  3.90293e+06
6  35  7.92145e+06
6  36  6.78572e+06
6  37  2.71976e+06
6  38  3.81667e+06
6  39  1.44524e+07
6  40  7.64263e+06
6  41  5.03747e+06
6  42  1.68427e+07
6  43  7.19067e+06
6  44  1.33863e+07
6  45  1.9638e+07
6  46  3.84576e+06
6  47  8.47505e+06
6  48  1.76161e+07
6  49  1.10599e+07
6  50  4.6475e+06
6  51  1.32652e+07
6  52  9.96174e+06
6  53  2.67539e+06
6  54  2.09536e+07
6  55  1.10521e+07
6  56  3.91777e+06
6  57  1.28586e+07
6  58  7.98376e+06
6  59  5.13276e+06
6  60  2.28187e+06
6  61  4.18587e+06
6  62  2.00639e+06
6  63  357397
6  64  4.32584e+06
6  65  0
6  66  3.03593e+06
6  67  2.92366e+06
7  0  6.17212e+06
7  1  3.90355e+06
7  2  17730.9
7  3  594419
7  4  1.07177e+06
7  5  1.87352e+06
7  6  781219
7  7  2.26922e+06
7  8  0
7  9  0
7  10  3.60669e+06
7  11  2.63284e+06
7  12  2.8183e+06
7  13  0
7  14  3.68469e+06
7  15  3.77832e+06
7  16  2.63626e+06
7  17  1.92197e+06
7  18  3.59981e+06
7  19  8.81172e+06
7  20  5.12896e+06
7  21  2.52729e+06
7  22  3.80785e+06
7  23  2.99893e+06
7  24  6.92321e+06
7  25  8.87841e+06
7  26  0
7  27  3.56474e+06
7  28  0
7  29  6.04791e+06
7  30  6.8734e+06
7  31  5.30134e+06
7  32  5.63878e+06
7  33  9.24388e+06
7  34  0
7  35  744595
7  36  3.87043e+06
7  37  5.09682e+06
7  38  3.8315e+06
7  39  1.30793e+07
7  40  1.16773e+07
7  41  1.00509e+07
7  42  8.63401e+06
7  43  1.05075e+07
7  44  7.85914e+06
7  45  1.15896e+07
7  46  6.95113e+06
7  47  1.19577e+07
7  48  1.2606e+07
7  49  9.6483e+06
7  50  1.27188e+07
7  51  1.22804e+07
7  52  1.72891e+07
7  53  1.16503e+07
7  54  1.23002e+07
7  55  1.56681e+07
7  56  1.06355e+07
7  57  7.61393e+06
7  58  5.3135e+06
7  59  1.31221e+07
7  60  7.27287e+06
7  61  5.70747e+06
7  62  0
7  63  5.67487e+06
7  64  0
7  65  3.82496e+06
7  66  2.70883e+06
7  67  0
8  0  0
8  1  0
8  2  2.45279e+06
8  3  1.63961e+06
8  4  1.9346e+06
8  5  2.14229e+06
8  6  1.60336e+06
8  7  732968
8  8  2.80618e+06
8  9  907464
8  10  2.07479e+06
8  11  2.12694e+06
8  12  0
8  13  848255
8  14  1.86732e+06
8  15  886316
8  16  3.27772e+06
8  17  3.48619e+06
8  18  627232
8  19  2.42597e+06
8  20  1.10579e+07
8  21  7.95112e+06
8  22  3.3175e+06
8  23  3.3083e+06
8  24  0
8  25  2.35128e+06
8  26  4.72625e+06
8  27  6.5783e+06
8  28  1.60512e+06
8  29  5.34271e+06
8  30  6.6394e+06
8  31  4.9133e+06
8  32  1.11378e+07
8  33  5.0063e+06
8  34  3.66503e+06
8  35  6.75715e+06
8  36  5.70238e+06
8  37  8.69371e+06
8  38  4.98038e+06
8  39  1.12909e+07
8  40  7.39297e+06
8  41  9.96916e+06
8  42  2.1209e+07
8  43  2.15066e+07
8  44  1.95631e+07
8  45  1.13854e+07
8  46  1.06732e+07
8  47  1.00329e+07
8  48  1.20678e+07
8  49  8.15031e+06
8  50  8.51388e+06
8  51  2.11055e+07
8  52  1.56836e+07
8  53  1.04512e+07
8  54  4.57697e+06
8  55  9.20211e+06
8  56  1.20104e+07
8  57  2.8187e+06
8  58  9.76093e+06
8  59  1.1395e+07
8  60  5.4365e+06
8  61  290419
8  62  4.15026e+06
8  63  1.54703e+06
8  64  0
8  65  0
8  66  2.7488e+06
8  67  0
9  0  1.8674e+06
9  1  1.65103e+06
9  2  0
9  3  865848
9  4  0
9  5  2.35376e+06
9  6  2.73421e+06
9  7  557433
9  8  3.64739e+06
9  9  1.89741e+06
9  10  1.03128e+06
9  11  461255
9  12  4.84492e+06
9  13  1.46499e+06
9  14  4.16699e+06
9  15  2.76591e+06
9  16  6.13475e+06
9  17  7.6151e+06
9  18  1.17934e+07
9  19  1.05207e+07
9  20  8.33626e+06
9  21  6.28847e+06
9  22  8.97035e+06
9  23  5.53441e+06
9  24  8.93991e+06
9  25  2.71343e+06
9  26  3.23029e+06
9  27  2.61797e+06
9  28  2.46148e+06
9  29  5.41359e+06
9  30  3.16582e+06
9  31  4.1621e+06
9  32  1.66543e+06
9  33  5.35871e+06
9  34  1.01136e+07
9  35  8.64931e+06
9  36  1.86272e+07
9  37  1.04721e+07
9  38  1.27157e+07
9  39  1.03813e+07
9  40  1.06348e+07
9  41  8.39489e+06
9  42  1.32912e+07
9  43  1.13694e+07
9  44  1.65933e+07
9  45  9.46135e+06
9  46  6.40332e+06
9  47  1.07184e+07
9  48  1.13061e+07
9  49  7.73098e+06
9  50  7.10639e+06
9  51  6.23721e+06
9  52  1.31377e+07
9  53  2.20468e+07
9  54  1.01944e+07
9  55  1.51984e+07
9  56  7.04324e+06
9  57  9.0955e+06
9  58  1.43788e+07
9  59  1.14874e+07
9  60  8.3252e+06
9  61  3.53247e+06
9  62  2.27293e+06
9  63  0
9  64  644990
9  65  2.98796e+06
9  66  0
9  67  1878.11
10  0  328297
10  1  0
10  2  1.10858e+06
10  3  533968
10  4  354353
10  5  132081
10  6  1.21224e+06
10  7  2.79924e+06
10  8  78396.7
10  9  1.46888e+06
10  10  2.70156e+06
10  11  1.09818e+06
10  12  1.89793e+06
10  13  5.6671e+06
10  14  4.29159e+06
10  15  0
10  16  3.65682e+06
10  17  6.32996e+06
10  18  4.51042e+06
10  19  3.84523e+06
10  20  1.60067e+07
10  21  3.19132e+06
10  22  7.00163e+06
10  23  4.28565e+06
10  24  4.95323e+06
10  25  459301
10  26  7.39584e+06
10  27  8.66329e+06
10  28  5.6977e+06
10  29  5.36416e+06
10  30  3.77714e+06
10  31  5.45131e+06
10  32  7.59948e+06
10  33  2.97283e+06
10  34  6.12775e+06
10  35  9.28625e+06
10  36  6.92134e+06
10  37  5.53949e+06
10  38  1.26021e+07
10  39  1.24141e+07
10  40  1.06437e+07
10  41  1.06428e+07
10  42  2.00263e+07
10  43  1.66233e+07
10  44  1.3209e+07
10  45  1.63538e+07
10  46  1.6377e+07
10  47  1.22846e+07
10  48  5.39017e+06
10  49  1.78709e+07
10  50  1.9085e+07
10  51  1.59348e+07
10  52  7.82942e+06
10  53  6.22916e+06
10  54  4.0677e+06
10  55  1.55784e+07
10  56  1.17614e+07
10  57  6.83072e+06
10  58  7.90405e+06
10  59  1.11266e+07
10  60  524954
10  61  5.69574e+06
10  62  6.10835e+06
10  63  6.45604e+06
10  64  2.67121e+06
10  65  4.4039e+06
10  66  130769
10  67  0
11  0  0
11  1  5.65695e+06
11  2  0
11  3  5.34153e+06
11  4  2.73255e+06
11  5  85504.9
11  6  0
11  7  2.10795e+06
11  8  2.3369e+06
11  9  1.79298e+06
11  10  3.23132e+06
11  11  1.18529e+06
11  12  0
11  13  3.7447e+06
11  14  4.07488e+06
11  15  2.28484e+06
11  16  2.24117e+06
11  17  5.75544e+06
11  18  1.11494e+07
11  19  8.86974e+06
11  20  7.23036e+06
11  21  7.63293e+06
11  22  6.40497e+06
11  23  2.78918e+06
11  24  7.06296e+06
11  25  0
11  26  5.39897e+06
11  27  2.75845e+06
11  28  4.24366e+06
11  29  4.03309e+06
11  30  7.23197e+06
11  31  8.89372e+06
11  32  7.03051e+06
11  33  4.06424e+06
11  34  5.1699e+06
11  35  1.02179e+06
11  36  8.23864e+06
11  37  8.35832e+06
11  38  1.09625e+07
11  39  7.58816e+06
11  40  2.19042e+07
11  41  1.59906e+07
11  42  8.02107e+06
11  43  1.42865e+07
11  44  1.27336e+07
11  45  1.59001e+07
11  46  1.33302e+07
11  47  1.27782e+07
11  48  9.02807e+06
11  49  2.1842e+07
11  50  6.00472e+06
11  51  9.78061e+06
11  52  1.10789e+07
11  53  7.99927e+06
11  54  1.28297e+07
11  55  1.48825e+07
11  56  1.49524e+07
11  57  1.45524e+07
11  58  8.23093e+06
11  59  7.04115e+06
11  60  4.27662e+06
11  61  6.58108e+06
11  62  1.00026e+06
11  63  1.12994e+06
11  64  193862
11  65  2.01451e+06
11  66  0
11  67  1.24902e+06
12  0  343895
12  1  191182
12  2  0
12  3  0
12  4  657591
12  5  2.50688e+06
12  6  0
12  7  1.93893e+06
12  8  6.62031e+06
12  9  4.13753e+06
12  10  656861
12  11  2.45686e+06
12  12  3.76755e+06
12  13  9.0498e+06
12  14  3.02522e+06
12  15  4.35007e+06
12  16  3.98004e+06
12  17  1.09029e+06
12  18  9.46999e+06
12  19  6.91416e+06
12  20  4.38076e+06
12  21  6.49843e+06
12  22  4.31546e+06
12  23  4.75706e+06
12  24  7.23555e+06
12  25  4.14708e+06
12  26  851879
12  27  3.78395e+06
