row  column  (images_1_region2.edf Ca-K*images_1_region2.edf Ar-K**2.3)
4  54  7.16026e+08
4  55  7.62783e+08
4  56  7.04387e+08
4  57  5.54126e+08
4  58  6.03379e+08
4  59  5.9952e+08
4  60  5.00801e+08
4  61  3.81977e+08
4  62  3.12106e+08
4  63  2.42529e+08
4  64  2.2986e+08
4  65  2.16377e+08
4  66  1.51086e+08
4  67  1.49617e+08
5  0  9.30709e+07
5  1  9.96828e+07
5  2  9.9056e+07
5  3  1.24756e+08
5  4  1.29846e+08
5  5  1.28337e+08
5  6  1.51844e+08
5  7  1.84209e+08
5  8  1.77955e+08
5  9  1.95951e+08
5  10  2.1685e+08
5  11  2.35845e+08
5  12  2.30357e+08
5  13  2.61711e+08
5  14  2.65414e+08
5  15  3.26832e+08
5  16  3.12975e+08
5  17  3.29787e+08
5  18  3.87525e+08
5  19  4.14909e+08
5  20  4.02009e+08
5  21  3.59118e+08
5  22  3.84693e+08
5  23  4.6203e+08
5  24  4.91788e+08
5  25  4.21091e+08
5  26  4.49177e+08
5  27  4.151e+08
5  28  4.65395e+08
5  29  5.12426e+08
5  30  5.53733e+08
5  31  5.74909e+08
5  32  5.74825e+08
5  33  5.36738e+08
5  34  6.27306e+08
5  35  5.83159e+08
5  36  6.11211e+08
5  37  6.56835e+08
5  38  6.93478e+08
5  39  7.70593e+08
5  40  7.32069e+08
5  41  7.60089e+08
5  42  7.60584e+08
5  43  7.97283e+08
5  44  7.45146e+08
5  45  7.90927e+08
5  46  7.28273e+08
5  47  7.65332e+08
5  48  8.28068e+08
5  49  7.28021e+08
5  50  8.06522e+08
5  51  8.14131e+08
5  52  8.0522e+08
5  53  7.51531e+08
5  54  7.52566e+08
5  55  8.29611e+08
5  56  7.57826e+08
5  57  7.76323e+08
5  58  7.15828e+08
5  59  6.3755e+08
5  60  4.72144e+08
5  61  4.08787e+08
5  62  3.56754e+08
5  63  3.128e+08
5  64  2.25251e+08
5  65  1.86765e+08
5  66  1.91035e+08
5  67  1.65452e+08
6  0  8.38279e+07
6  1  1.05156e+08
6  2  1.17134e+08
6  3  1.3272e+08
6  4  1.22136e+08
6  5  1.45903e+08
6  6  1.87628e+08
6  7  1.90107e+08
6  8  2.07553e+08
6  9  2.14995e+08
6  10  2.59624e+08
6  11  2.54163e+08
6  12  2.73015e+08
6  13  2.84458e+08
6  14  3.01209e+08
6  15  3.37024e+08
6  16  3.47264e+08
6  17  3.95704e+08
6  18  4.30455e+08
6  19  4.56229e+08
6  20  4.56244e+08
6  21  4.1801e+08
6  22  4.24149e+08
6  23  4.21925e+08
6  24  4.65065e+08
6  25  4.4223e+08
6  26  4.71237e+08
6  27  4.74091e+08
6  28  5.24034e+08
6  29  5.30811e+08
6  30  5.17534e+08
6  31  5.66601e+08
6  32  5.97503e+08
6  33  5.71174e+08
6  34  6.00722e+08
6  35  6.53204e+08
6  36  6.66263e+08
6  37  7.18306e+08
6  38  7.12948e+08
6  39  8.28214e+08
6  40  7.40882e+08
6  41  8.19076e+08
6  42  8.73976e+08
6  43  8.43954e+08
6  44  7.85324e+08
6  45  8.59778e+08
6  46  7.48832e+08
6  47  7.64112e+08
6  48  8.11214e+08
6  49  7.6711e+08
6  50  8.26042e+08
6  51  8.68331e+08
6  52  8.56788e+08
6  53  7.65944e+08
6  54  9.32345e+08
6  55  8.85793e+08
6  56  8.15972e+08
6  57  8.00054e+08
6  58  7.591e+08
6  59  6.44567e+08
6  60  5.06161e+08
6  61  4.13397e+08
6  62  3.19888e+08
6  63  2.99224e+08
6  64  2.40191e+08
6  65  2.12072e+08
6  66  1.93919e+08
6  67  1.84007e+08
7  0  1.215e+08
7  1  1.00178e+08
7  2  1.0808e+08
7  3  1.18762e+08
7  4  1.50253e+08
7  5  1.3975e+08
7  6  1.83521e+08
7  7  2.11296e+08
7  8  2.16925e+08
7  9  2.56584e+08
7  10  2.64637e+08
7  11  2.66596e+08
7  12  2.61784e+08
7  13  2.86178e+08
7  14  3.2322e+08
7  15  3.68979e+08
7  16  3.63537e+08
7  17  3.99537e+08
7  18  4.95211e+08
7  19  4.85015e+08
7  20  5.16272e+08
7  21  4.26716e+08
7  22  4.86664e+08
7  23  4.61273e+08
7  24  5.07279e+08
7  25  5.17146e+08
7  26  5.16811e+08
7  27  5.46535e+08
7  28  5.95504e+08
7  29  5.96704e+08
7  30  6.12475e+08
7  31  6.00721e+08
7  32  5.69365e+08
7  33  6.53007e+08
7  34  6.4004e+08
7  35  6.2084e+08
7  36  7.26209e+08
7  37  7.74254e+08
7  38  8.16212e+08
7  39  8.27352e+08
7  40  8.49054e+08
7  41  8.21615e+08
7  42  9.05578e+08
7  43  9.6891e+08
7  44  8.44903e+08
7  45  8.99462e+08
7  46  9.07368e+08
7  47  8.97514e+08
7  48  8.81275e+08
7  49  9.26449e+08
7  50  9.31514e+08
7  51  8.63741e+08
7  52  9.24823e+08
7  53  8.24028e+08
7  54  8.42312e+08
7  55  9.13193e+08
7  56  8.67014e+08
7  57  7.66682e+08
7  58  7.91499e+08
7  59  8.20159e+08
7  60  6.09802e+08
7  61  5.05647e+08
7  62  3.85075e+08
7  63  3.29253e+08
7  64  2.71532e+08
7  65  2.16229e+08
7  66  2.12795e+08
7  67  2.04947e+08
8  0  1.05759e+08
8  1  9.32965e+07
8  2  1.24501e+08
8  3  1.40833e+08
8  4  1.60549e+08
8  5  1.5092e+08
8  6  1.74028e+08
8  7  2.14443e+08
8  8  2.66847e+08
8  9  2.96661e+08
8  10  2.74273e+08
8  11  3.02099e+08
8  12  3.12896e+08
8  13  3.1268e+08
8  14  3.11372e+08
8  15  3.9152e+08
8  16  4.12994e+08
8  17  4.63341e+08
8  18  5.93232e+08
8  19  5.12306e+08
8  20  5.41959e+08
8  21  4.9687e+08
8  22  4.74258e+08
8  23  5.28767e+08
8  24  5.41082e+08
8  25  5.92194e+08
8  26  5.92889e+08
8  27  5.70018e+08
8  28  5.75811e+08
8  29  5.68635e+08
8  30  6.39155e+08
8  31  6.71141e+08
8  32  7.03979e+08
8  33  6.46257e+08
8  34  7.11706e+08
8  35  7.09883e+08
8  36  7.55205e+08
8  37  7.66701e+08
8  38  8.08871e+08
8  39  8.96519e+08
8  40  8.74631e+08
8  41  9.26923e+08
8  42  1.12647e+09
8  43  1.04856e+09
8  44  1.04093e+09
8  45  8.70121e+08
8  46  9.17092e+08
8  47  8.56539e+08
8  48  9.31867e+08
8  49  8.74477e+08
8  50  8.31972e+08
8  51  9.30951e+08
8  52  9.39789e+08
8  53  9.42619e+08
8  54  8.78719e+08
8  55  9.59253e+08
8  56  8.98702e+08
8  57  8.29756e+08
8  58  8.1971e+08
8  59  7.6383e+08
8  60  6.14321e+08
8  61  4.59493e+08
8  62  4.1597e+08
8  63  2.98791e+08
8  64  2.97493e+08
8  65  2.45606e+08
8  66  2.55061e+08
8  67  2.05985e+08
9  0  1.02569e+08
9  1  1.2681e+08
9  2  1.22088e+08
9  3  1.33845e+08
9  4  1.41606e+08
9  5  1.79854e+08
9  6  1.99274e+08
9  7  2.23525e+08
9  8  2.49834e+08
9  9  2.81291e+08
9  10  2.9972e+08
9  11  2.82052e+08
9  12  3.29445e+08
9  13  3.72498e+08
9  14  4.20637e+08
9  15  4.38147e+08
9  16  4.56802e+08
9  17  4.92453e+08
9  18  5.38405e+08
9  19  5.48543e+08
9  20  5.8722e+08
9  21  5.22836e+08
9  22  5.56178e+08
9  23  5.54896e+08
9  24  5.60478e+08
9  25  5.79968e+08
9  26  6.24662e+08
9  27  5.88986e+08
9  28  6.74583e+08
9  29  6.77737e+08
9  30  6.77056e+08
9  31  6.02872e+08
9  32  6.65793e+08
9  33  7.74827e+08
9  34  6.82666e+08
9  35  7.63983e+08
9  36  8.16491e+08
9  37  8.06496e+08
9  38  8.86069e+08
9  39  9.73562e+08
9  40  8.7691e+08
9  41  9.46833e+08
9  42  9.75393e+08
9  43  1.05498e+09
9  44  9.93944e+08
9  45  9.54343e+08
9  46  8.41978e+08
9  47  9.29286e+08
9  48  9.51488e+08
9  49  9.08295e+08
9  50  9.08521e+08
9  51  8.60058e+08
9  52  8.65829e+08
9  53  9.74604e+08
9  54  8.95452e+08
9  55  9.23957e+08
9  56  8.46222e+08
9  57  8.89612e+08
9  58  8.86971e+08
9  59  7.98026e+08
9  60  6.63308e+08
9  61  5.95233e+08
9  62  4.87123e+08
9  63  3.56209e+08
9  64  3.175e+08
9  65  2.82054e+08
9  66  2.50045e+08
9  67  2.09945e+08
10  0  1.20331e+08
10  1  1.23146e+08
10  2  1.34747e+08
10  3  1.50391e+08
10  4  1.64966e+08
10  5  2.10302e+08
10  6  2.07819e+08
10  7  2.877e+08
10  8  3.15874e+08
10  9  3.02223e+08
10  10  3.37195e+08
10  11  3.37609e+08
10  12  3.98838e+08
10  13  3.59946e+08
10  14  4.09538e+08
10  15  4.52753e+08
10  16  5.61216e+08
10  17  5.11156e+08
10  18  5.91141e+08
10  19  6.00769e+08
10  20  6.22872e+08
10  21  5.93786e+08
10  22  5.80706e+08
10  23  6.0841e+08
10  24  5.93182e+08
10  25  6.5462e+08
10  26  6.79024e+08
10  27  7.20156e+08
10  28  6.9503e+08
10  29  6.44699e+08
10  30  6.955e+08
10  31  7.57459e+08
10  32  7.73529e+08
10  33  7.77263e+08
10  34  7.55569e+08
10  35  8.26327e+08
10  36  8.34122e+08
10  37  8.45731e+08
10  38  8.9871e+08
10  39  1.08777e+09
10  40  1.05576e+09
10  41  1.0471e+09
10  42  1.13e+09
10  43  1.18106e+09
10  44  1.12363e+09
10  45  9.44625e+08
10  46  9.3966e+08
10  47  9.55076e+08
10  48  9.2398e+08
10  49  9.05619e+08
10  50  9.16686e+08
10  51  9.27805e+08
10  52  9.95459e+08
10  53  9.05925e+08
10  54  1.03739e+09
10  55  1.01538e+09
10  56  8.53076e+08
10  57  8.88853e+08
10  58  8.16372e+08
10  59  7.48403e+08
10  60  6.13064e+08
10  61  5.07487e+08
10  62  4.0949e+08
10  63  3.45927e+08
10  64  3.12424e+08
10  65  2.89739e+08
10  66  2.59669e+08
10  67  2.11307e+08
11  0  1.19146e+08
11  1  1.45633e+08
11  2  1.42991e+08
11  3  1.69993e+08
11  4  1.76571e+08
11  5  1.89048e+08
11  6  2.43059e+08
11  7  2.82106e+08
11  8  3.04314e+08
11  9  3.3179e+08
11  10  3.44449e+08
11  11  3.77309e+08
11  12  4.08701e+08
11  13  3.72728e+08
11  14  4.51619e+08
11  15  4.45598e+08
11  16  4.97102e+08
11  17  5.76132e+08
11  18  6.43059e+08
11  19  7.04355e+08
11  20  6.79405e+08
11  21  5.87018e+08
11  22  6.64062e+08
11  23  6.50893e+08
11  24  6.38094e+08
11  25  6.56296e+08
11  26  6.433e+08
11  27  7.10804e+08
11  28  6.58402e+08
11  29  7.26274e+08
11  30  7.57897e+08
11  31  7.01088e+08
11  32  8.63093e+08
11  33  7.84518e+08
11  34  7.56721e+08
11  35  7.34485e+08
11  36  8.28907e+08
11  37  9.7597e+08
11  38  9.22595e+08
11  39  9.23391e+08
11  40  1.05637e+09
11  41  1.05492e+09
11  42  1.03887e+09
11  43  1.06905e+09
11  44  1.10094e+09
11  45  1.04086e+09
11  46  9.77282e+08
11  47  9.92992e+08
11  48  9.67996e+08
11  49  1.05311e+09
11  50  8.95596e+08
11  51  9.79072e+08
11  52  9.76384e+08
11  53  1.01161e+09
11  54  1.02431e+09
11  55  9.46855e+08
11  56  9.46051e+08
11  57  8.98837e+08
11  58  8.42923e+08
11  59  7.4697e+08
11  60  6.28033e+08
11  61  5.73624e+08
11  62  4.29716e+08
11  63  3.80968e+08
11  64  3.17218e+08
11  65  3.20333e+08
11  66  2.76406e+08
11  67  2.30081e+08
12  0  1.3682e+08
12  1  1.28805e+08
12  2  1.57662e+08
12  3  1.8196e+08
12  4  2.11092e+08
12  5  2.1826e+08
12  6  2.62722e+08
12  7  3.19472e+08
12  8  3.35395e+08
12  9  3.74914e+08
12  10  4.17161e+08
12  11  3.84446e+08
12  12  4.28826e+08
12  13  4.47562e+08
12  14  5.03083e+08
12  15  5.38912e+08
12  16  5.71127e+08
12  17  5.95838e+08
12  18  6.64308e+08
12  19  7.20877e+08
12  20  7.42977e+08
12  21  6.89944e+08
12  22  6.01673e+08
12  23  6.51361e+08
12  24  6.41361e+08
12  25  6.84141e+08
12  26  7.75287e+08
12  27  7.2249e+08
12  28  8.01685e+08
12  29  6.62162e+08
12  30  7.39535e+08
12  31  8.74875e+08
12  32  9.03071e+08
12  33  8.05223e+08
12  34  8.35051e+08
12  35  8.7181e+08
12  36  8.48988e+08
12  37  9.37505e+08
12  38  8.64711e+08
12  39  1.0216e+09
12  40  1.01637e+09
12  41  1.01546e+09
12  42  1.06623e+09
12  43  1.22791e+09
12  44  1.21259e+09
12  45  1.11079e+09
12  46  1.03766e+09
12  47  9.83795e+08
12  48  1.03872e+09
12  49  1.00667e+09
12  50  9.85292e+08
12  51  1.01942e+09
12  52  9.3692e+08
12  53  9.6656e+08
12  54  9.33799e+08
12  55  9.87967e+08
12  56  9.62804e+08
12  57  1.03424e+09
12  58  8.55602e+08
12  59  8.00324e+08
12  60  7.33232e+08
12  61  5.72571e+08
12  62  5.02953e+08
12  63  3.90379e+08
12  64  3.40646e+08
12  65  3.3564e+08
12  66  2.96285e+08
12  67  2.81325e+08
13  0  1.35898e+08
13  1  1.40454e+08
13  2  1.68828e+08
13  3  1.97376e+08
13  4  2.14644e+08
13  5  2.26688e+08
13  6  3.14609e+08
13  7  2.95453e+08
13  8  3.63932e+08
13  9  3.62161e+08
13  10  4.06304e+08
13  11  4.66472e+08
13  12  5.01068e+08
13  13  4.92128e+08
13  14  5.54336e+08
13  15  5.71455e+08
13  16  5.79045e+08
13  17  6.99103e+08
13  18  7.15853e+08
13  19  7.71792e+08
13  20  7.43149e+08
13  21  7.08949e+08
13  22  6.50611e+08
13  23  6.61699e+08
13  24  8.33673e+08
13  25  7.39925e+08
13  26  8.11652e+08
13  27  7.9591e+08
13  28  8.55915e+08
13  29  7.4437e+08
13  30  7.66756e+08
13  31  8.08406e+08
13  32  8.91183e+08
13  33  8.80435e+08
13  34  9.37053e+08
13  35  8.46372e+08
13  36  8.5419e+08
13  37  9.69075e+08
13  38  1.01492e+09
13  39  1.075e+09
13  40  1.09967e+09
13  41  1.01813e+09
13  42  1.15886e+09
13  43  1.07351e+09
13  44  1.11561e+09
13  45  1.05715e+09
13  46  1.0442e+09
13  47  1.07048e+09
13  48  1.03811e+09
13  49  1.03721e+09
13  50  9.78591e+08
13  51  9.03541e+08
13  52  1.00724e+09
13  53  9.53352e+08
13  54  9.41481e+08
13  55  8.84261e+08
13  56  9.33465e+08
13  57  8.95183e+08
13  58  9.59031e+08
13  59  7.94602e+08
13  60  6.06257e+08
13  61  5.03444e+08
13  62  4.93607e+08
13  63  4.14418e+08
13  64  3.40318e+08
13  65  2.85471e+08
13  66  3.09948e+08
13  67  2.70328e+08
14  0  1.75969e+08
14  1  1.76637e+08
14  2  1.99178e+08
14  3  1.88381e+08
14  4  2.26528e+08
14  5  2.38582e+08
14  6  2.99487e+08
14  7  3.59336e+08
14  8  3.90109e+08
14  9  4.15429e+08
14  10  4.71344e+08
14  11  4.80614e+08
14  12  5.29758e+08
14  13  5.12254e+08
14  14  5.74303e+08
14  15  5.20452e+08
14  16  6.0381e+08
14  17  7.5896e+08
14  18  7.27287e+08
14  19  8.07034e+08
14  20  8.19643e+08
14  21  7.40523e+08
14  22  7.555e+08
14  23  7.53553e+08
14  24  7.60926e+08
14  25  7.95027e+08
14  26  7.84909e+08
14  27  7.89789e+08
14  28  8.39528e+08
14  29  8.19911e+08
14  30  8.22862e+08
14  31  8.4386e+08
14  32  8.48974e+08
14  33  9.21518e+08
14  34  9.47587e+08
14  35  9.24785e+08
14  36  9.12618e+08
14  37  9.35973e+08
14  38  1.03863e+09
14  39  1.19288e+09
14  40  1.11326e+09
14  41  1.1291e+09
14  42  1.18603e+09
14  43  1.08255e+09
14  44  1.2236e+09
14  45  1.0623e+09
14  46  1.04175e+09
14  47  9.57094e+08
14  48  1.0338e+09
14  49  1.14204e+09
14  50  1.00412e+09
14  51  1.00477e+09
14  52  9.90939e+08
14  53  9.40938e+08
14  54  1.00907e+09
14  55  9.50138e+08
14  56  9.45173e+08
14  57  9.84478e+08
14  58  8.3972e+08
14  59  7.81682e+08
14  60  7.29257e+08
14  61  5.546e+08
14  62  4.74005e+08
14  63  4.045e+08
14  64  3.44237e+08
14  65  3.32737e+08
14  66  3.08883e+08
14  67  2.99679e+08
15  0  1.71533e+08
15  1  1.6861e+08
15  2  1.89223e+08
15  3  1.96039e+08
15  4  2.4477e+08
15  5  2.81415e+08
15  6  3.06639e+08
15  7  3.6388e+08
15  8  4.38901e+08
15  9  5.10081e+08
15  10  4.50616e+08
15  11  4.71382e+08
15  12  5.24346e+08
15  13  5.90863e+08
15  14  6.33584e+08
15  15  6.3254e+08
15  16  7.52027e+08
15  17  7.73002e+08
15  18  8.3925e+08
15  19  1.01062e+09
15  20  8.85402e+08
15  21  7.10491e+08
15  22  7.94999e+08
15  23  8.28279e+08
15  24  8.07032e+08
15  25  8.68221e+08
15  26  9.13239e+08
15  27  8.65548e+08
15  28  8.48039e+08
15  29  9.12404e+08
15  30  8.39908e+08
15  31  8.79863e+08
15  32  9.2134e+08
15  33  9.31916e+08
15  34  9.8257e+08
15  35  9.31747e+08
15  36  9.40327e+08
15  37  1.04654e+09
15  38  1.04978e+09
15  39  1.0607e+09
15  40  1.01956e+09
15  41  1.16808e+09
15  42  1.09911e+09
15  43  1.17659e+09
15  44  1.09885e+09
15  45  1.10075e+09
15  46  1.21463e+09
15  47  1.084e+09
15  48  9.99534e+08
15  49  1.056e+09
15  50  8.90096e+08
15  51  8.99519e+08
15  52  1.05087e+09
15  53  9.7513e+08
15  54  9.72541e+08
15  55  9.71446e+08
15  56  1.04179e+09
15  57  9.0913e+08
15  58  8.60881e+08
15  59  8.00747e+08
15  60  7.359e+08
15  61  5.27595e+08
15  62  4.72531e+08
15  63  3.9456e+08
15  64  3.843e+08
15  65  3.27585e+08
15  66  2.63133e+08
15  67  2.83138e+08
16  0  1.78716e+08
16  1  1.81058e+08
16  2  2.25905e+08
16  3  2.41551e+08
16  4  2.61845e+08
16  5  2.88683e+08
16  6  3.48245e+08
16  7  4.6526e+08
16  8  4.84591e+08
16  9  5.14826e+08
16  10  5.03917e+08
16  11  5.38088e+08
16  12  6.17494e+08
16  13  5.78834e+08
16  14  6.26033e+08
16  15  6.47363e+08
16  16  7.57561e+08
16  17  7.82368e+08
16  18  8.86751e+08
16  19  9.0199e+08
16  20  8.39599e+08
16  21  8.39674e+08
16  22  7.86383e+08
16  23  8.40502e+08
16  24  9.00579e+08
16  25  8.36137e+08
16  26  9.11854e+08
16  27  9.65657e+08
16  28  8.74656e+08
16  29  8.78398e+08
16  30  9.00991e+08
16  31  8.62656e+08
16  32  9.81801e+08
16  33  9.34295e+08
16  34  1.01814e+09
16  35  9.28035e+08
16  36  9.11723e+08
16  37  8.87511e+08
16  38  9.64659e+08
16  39  1.005e+09
16  40  1.0353e+09
16  41  1.0318e+09
16  42  1.10762e+09
16  43  1.14295e+09
16  44  1.15648e+09
16  45  1.0111e+09
16  46  1.19967e+09
16  47  1.12304e+09
16  48  1.13467e+09
16  49  9.78165e+08
16  50  1.07467e+09
16  51  9.89166e+08
16  52  1.01574e+09
16  53  9.77576e+08
16  54  9.86184e+08
16  55  1.05379e+09
16  56  9.10479e+08
16  57  9.23332e+08
16  58  8.51598e+08
16  59  8.67527e+08
16  60  7.32585e+08
16  61  6.29582e+08
16  62  5.34548e+08
16  63  4.91587e+08
16  64  3.36744e+08
16  65  3.52256e+08
16  66  3.41281e+08
16  67  3.11617e+08
17  0  1.80915e+08
17  1  2.21703e+08
