row  column  (images_1_region2.edf P-K*images_1_region2.edf Ar-K**2.3)
5  67  407426
6  0  0
6  1  0
6  2  0
6  3  0
6  4  0
6  5  354667
6  6  0
6  7  0
6  8  0
6  9  1.31097e+06
6  10  0
6  11  0
6  12  0
6  13  0
6  14  0
6  15  2.95461e+06
6  16  63822.4
6  17  1.24791e+06
6  18  1.2327e+06
6  19  1.47303e+06
6  20  617538
6  21  0
6  22  775247
6  23  0
6  24  0
6  25  1.36238e+06
6  26  0
6  27  0
6  28  1.9885e+06
6  29  0
6  30  0
6  31  2.5803e+06
6  32  0
6  33  0
6  34  722565
6  35  0
6  36  0
6  37  0
6  38  708994
6  39  3.92919e+06
6  40  300392
6  41  0
6  42  4.52215e+06
6  43  1.18462e+06
6  44  2.2596e+06
6  45  7.18864e+06
6  46  2.00836e+06
6  47  2.25432e+06
6  48  4.87279e+06
6  49  2.58961e+06
6  50  5.48189e+06
6  51  6.09601e+06
6  52  2.20808e+06
6  53  1.02098e+06
6  54  7.25465e+06
6  55  8.67522e+06
6  56  0
6  57  3.35679e+06
6  58  2.58228e+06
6  59  511559
6  60  0
6  61  736003
6  62  1.44851e+06
6  63  0
6  64  0
6  65  0
6  66  0
6  67  0
7  0  2.34225e+06
7  1  710372
7  2  0
7  3  0
7  4  0
7  5  1.14113e+06
7  6  0
7  7  238499
7  8  892657
7  9  0
7  10  0
7  11  419519
7  12  0
7  13  0
7  14  789122
7  15  2.20027e+06
7  16  175045
7  17  1.35148e+06
7  18  354390
7  19  514604
7  20  767005
7  21  0
7  22  0
7  23  1.00453e+06
7  24  0
7  25  0
7  26  0
7  27  0
7  28  0
7  29  0
7  30  0
7  31  0
7  32  0
7  33  0
7  34  0
7  35  0
7  36  1.33248e+06
7  37  1.91563e+06
7  38  0
7  39  0
7  40  852385
7  41  668336
7  42  3.70768e+06
7  43  4.0093e+06
7  44  0
7  45  2.80343e+06
7  46  807508
7  47  1.42901e+06
7  48  1.11371e+07
7  49  9.46804e+06
7  50  4.53999e+06
7  51  197730
7  52  7.58944e+06
7  53  0
7  54  1.14129e+06
7  55  1.29198e+06
7  56  5.05018e+06
7  57  0
7  58  2.90865e+06
7  59  4.99533e+06
7  60  0
7  61  980890
7  62  0
7  63  1.57455e+06
7  64  0
7  65  0
7  66  778433
7  67  0
8  0  0
8  1  0
8  2  781833
8  3  972297
8  4  0
8  5  0
8  6  532895
8  7  65126.7
8  8  0
8  9  0
8  10  0
8  11  0
8  12  0
8  13  0
8  14  0
8  15  0
8  16  0
8  17  916013
8  18  0
8  19  0
8  20  1.54283e+06
8  21  652350
8  22  0
8  23  2.21201e+06
8  24  0
8  25  0
8  26  0
8  27  0
8  28  0
8  29  1.16886e+06
8  30  0
8  31  0
8  32  0
8  33  0
8  34  1.15831e+06
8  35  0
8  36  2.92781e+06
8  37  1.18527e+06
8  38  0
8  39  0
8  40  3.76075e+06
8  41  5.03735e+06
8  42  2.07732e+06
8  43  1.9903e+06
8  44  3.6763e+06
8  45  3.51928e+06
8  46  2.12077e+06
8  47  4.21632e+06
8  48  0
8  49  1.49797e+06
8  50  2.38111e+06
8  51  3.44232e+06
8  52  456555
8  53  1.26757e+06
8  54  3.73517e+06
8  55  1.42153e+06
8  56  4.19536e+06
8  57  0
8  58  2.36181e+06
8  59  967411
8  60  0
8  61  0
8  62  0
8  63  859577
8  64  0
8  65  0
8  66  541578
8  67  0
9  0  34773.7
9  1  111602
9  2  0
9  3  0
9  4  0
9  5  562250
9  6  361765
9  7  0
9  8  1.46241e+06
9  9  699699
9  10  282102
9  11  0
9  12  251210
9  13  0
9  14  1.82171e+06
9  15  2.77284e+06
9  16  2.85099e+06
9  17  2.09862e+06
9  18  1.94852e+06
9  19  0
9  20  0
9  21  2.10834e+06
9  22  0
9  23  400510
9  24  0
9  25  645362
9  26  0
9  27  0
9  28  0
9  29  0
9  30  0
9  31  0
9  32  2.15707e+06
9  33  0
9  34  213401
9  35  924109
9  36  3.66443e+06
9  37  0
9  38  2.6921e+06
9  39  0
9  40  3.17585e+06
9  41  4.05111e+06
9  42  0
9  43  2.55218e+06
9  44  4.12439e+06
9  45  6.58824e+06
9  46  936764
9  47  2.87609e+06
9  48  5.13074e+06
9  49  775373
9  50  2.94292e+06
9  51  0
9  52  2.82375e+06
9  53  5.54482e+06
9  54  1.92006e+06
9  55  3.32603e+06
