row  column  (images_1_region2.edf Mn-K*images_1_region2.edf Ar-K**2.3)
4  12  5.05125e+06
4  13  7.88449e+06
4  14  4.59413e+06
4  15  4.2794e+06
4  16  399463
4  17  6.37892e+06
4  18  6.42762e+06
4  19  8.01519e+06
4  20  1.85304e+06
4  21  5.40314e+06
4  22  4.23376e+06
4  23  0
4  24  5.29208e+06
4  25  5.94616e+06
4  26  4.77315e+06
4  27  0
4  28  0
4  29  0
4  30  1.55011e+07
4  31  0
4  32  1.06853e+07
4  33  6.85734e+06
4  34  1.06217e+07
4  35  6.65115e+06
4  36  5.5914e+06
4  37  6.3425e+06
4  38  7.89527e+06
4  39  0
4  40  1.02836e+07
4  41  1.26896e+07
4  42  7.25426e+06
4  43  3.8609e+06
4  44  0
4  45  4.60644e+06
4  46  6.36696e+06
4  47  1.34122e+07
4  48  0
4  49  4.79015e+06
4  50  1.11814e+07
4  51  7.06944e+06
4  52  1.55877e+07
4  53  6.21365e+06
4  54  0
4  55  5.34716e+06
4  56  4.89602e+06
4  57  0
4  58  9.75505e+06
4  59  811438
4  60  641626
4  61  1.30024e+07
4  62  0
4  63  8.85856e+06
4  64  1.27524e+06
4  65  480789
4  66  1.42819e+06
4  67  1.87555e+07
5  0  4.4865e+06
5  1  1.14749e+06
5  2  2.33266e+06
5  3  7.25399e+06
5  4  2.12794e+06
5  5  3.10121e+06
5  6  1.64938e+06
5  7  4.68935e+06
5  8  6.68934e+06
5  9  0
5  10  4.39207e+06
5  11  7.46479e+06
5  12  4.97604e+06
5  13  0
5  14  1.6544e+06
5  15  3.45607e+06
5  16  3.79331e+06
5  17  5.51102e+06
5  18  0
5  19  1.03676e+07
5  20  5.17873e+06
5  21  6.01114e+06
5  22  1.04547e+07
5  23  1.1555e+07
5  24  1.15826e+07
5  25  2.76848e+06
5  26  1.39845e+07
5  27  7.37182e+06
5  28  1.29506e+07
5  29  2.6699e+06
5  30  3.72504e+06
5  31  0
5  32  2.49637e+06
5  33  7.50294e+06
5  34  0
5  35  1.2106e+07
5  36  6.02873e+06
5  37  6.93311e+06
5  38  5.90223e+06
5  39  1.09304e+07
5  40  932717
5  41  1.20353e+07
5  42  3.87417e+06
5  43  2.74705e+06
5  44  9.91083e+06
5  45  4.4111e+06
5  46  3.69503e+06
5  47  7.72476e+06
5  48  1.18889e+07
5  49  8.52391e+06
5  50  1.45847e+07
5  51  1.31857e+07
5  52  0
5  53  6.03081e+06
5  54  5.73666e+06
5  55  0
5  56  0
5  57  9.38021e+06
5  58  5.45964e+06
5  59  7.8361e+06
5  60  4.09369e+06
5  61  9.28862e+06
5  62  3.54608e+06
5  63  1.10644e+07
5  64  7.74414e+06
5  65  0
5  66  1.08493e+07
5  67  8.91106e+06
6  0  8.28923e+06
6  1  316775
6  2  1.92146e+06
6  3  5.94501e+06
6  4  4.67711e+06
6  5  4.92513e+06
6  6  9.40322e+06
6  7  7.14975e+06
6  8  2.88761e+06
6  9  6.59156e+06
6  10  5.49957e+06
6  11  1.02229e+07
6  12  1.17191e+07
6  13  1.62475e+06
6  14  2.43259e+06
6  15  2.98009e+06
6  16  1.00661e+07
6  17  9.33051e+06
6  18  0
6  19  3.00496e+06
6  20  3.06866e+06
6  21  5.7317e+06
6  22  6.6185e+06
6  23  3.98612e+06
6  24  1.03163e+07
6  25  0
6  26  7.46898e+06
6  27  0
6  28  0
6  29  5.39302e+06
6  30  3.84589e+06
6  31  7.47863e+06
6  32  0
6  33  3.52112e+06
6  34  5.72087e+06
6  35  0
6  36  9.3969e+06
6  37  6.06513e+06
6  38  7.20087e+06
6  39  1.52807e+07
6  40  8.14043e+06
6  41  7.93095e+06
6  42  4.58318e+06
6  43  1.17945e+07
6  44  6.7924e+06
6  45  0
6  46  8.3338e+06
6  47  0
6  48  0
6  49  6.5169e+06
6  50  5.47662e+06
6  51  5.16799e+06
6  52  0
6  53  1.5105e+07
6  54  1.41208e+06
6  55  6.68555e+06
6  56  0
6  57  6.28371e+06
6  58  0
6  59  6.77046e+06
6  60  1.0527e+07
6  61  1.00759e+07
6  62  9.13654e+06
6  63  1.27754e+07
6  64  2.57204e+06
6  65  8.91854e+06
6  66  0
6  67  2.60398e+06
7  0  0
7  1  3.42921e+06
7  2  5.02617e+06
7  3  0
7  4  3.87259e+06
7  5  4.04109e+06
7  6  5.17545e+06
7  7  5.48105e+06
7  8  1.55265e+06
7  9  7.5485e+06
7  10  465114
7  11  2.00011e+06
7  12  1.06402e+07
7  13  6.67401e+06
7  14  0
7  15  0
7  16  3.551e+06
7  17  987949
7  18  9.47116e+06
7  19  2.70244e+06
7  20  9.4194e+06
7  21  1.02814e+07
7  22  4.26301e+06
7  23  6.40644e+06
7  24  6.97126e+06
7  25  8.40539e+06
7  26  9.7195e+06
7  27  0
7  28  5.18053e+06
7  29  2.30785e+06
7  30  6.84553e+06
7  31  3.17611e+06
7  32  3.3892e+06
7  33  1.76405e+06
7  34  1.09902e+07
7  35  0
7  36  1.32495e+06
7  37  4.91564e+06
7  38  9.44013e+06
7  39  0
7  40  6.28967e+06
7  41  1.05085e+07
7  42  0
7  43  7.61945e+06
7  44  6.41638e+06
7  45  6.38042e+06
7  46  2.64038e+06
7  47  4.85907e+06
7  48  9.90195e+06
7  49  7.0282e+06
7  50  1.2787e+07
7  51  1.39205e+07
7  52  0
7  53  0
7  54  0
7  55  0
7  56  1.1463e+07
7  57  3.07804e+06
7  58  1.26461e+07
7  59  7.27153e+06
7  60  0
7  61  8.64767e+06
7  62  7.72357e+06
7  63  0
7  64  0
7  65  197739
7  66  1.11844e+07
7  67  0
8  0  1.16227e+07
8  1  8.99365e+06
8  2  2.8318e+06
8  3  8.10381e+06
8  4  2.35659e+06
8  5  170307
8  6  0
8  7  9.67023e+06
8  8  3.71986e+06
8  9  9.88218e+06
8  10  526970
8  11  1.63756e+06
8  12  2.65435e+06
8  13  5.91248e+06
8  14  3.09841e+06
8  15  5.80938e+06
8  16  4.77037e+06
8  17  1.26428e+07
8  18  7.80702e+06
8  19  6.39749e+06
8  20  0
8  21  8.17322e+06
8  22  5.55671e+06
8  23  9.44916e+06
8  24  1.02783e+07
8  25  6.94533e+06
8  26  7.97408e+06
8  27  1.09866e+07
8  28  6.92013e+06
8  29  3.21017e+06
8  30  0
8  31  1.02659e+07
8  32  4.63261e+06
8  33  1.07564e+07
8  34  1.79125e+06
8  35  0
8  36  0
8  37  2.01976e+07
8  38  9.22226e+06
8  39  8.40668e+06
8  40  1.33655e+06
8  41  0
8  42  1.81091e+07
8  43  0
8  44  3.96327e+06
8  45  1.03412e+07
8  46  6.39186e+06
8  47  5.34443e+06
8  48  4.19899e+06
8  49  8.01362e+06
8  50  5.79901e+06
8  51  3.61153e+06
8  52  1.05196e+07
8  53  1.34673e+07
8  54  1.23293e+07
8  55  0
8  56  658281
8  57  4.59358e+06
8  58  7.08744e+06
8  59  4.43931e+06
8  60  9.36919e+06
8  61  7.16061e+06
8  62  1.03134e+07
8  63  7.75206e+06
8  64  6.64031e+06
8  65  4.03571e+06
8  66  4.14154e+06
8  67  0
9  0  3.62825e+06
9  1  0
9  2  5.08284e+06
9  3  4.01002e+06
9  4  4.26103e+06
9  5  3.96642e+06
9  6  6.94082e+06
9  7  7.31679e+06
9  8  2.96321e+06
9  9  7.58767e+06
9  10  5.17095e+06
9  11  3.42592e+06
9  12  2.78887e+06
9  13  6.2616e+06
9  14  9.52281e+06
9  15  2.21794e+06
9  16  0
9  17  1.01963e+07
9  18  1.01267e+07
9  19  8.13358e+06
9  20  3.61984e+06
9  21  7.31132e+06
9  22  0
9  23  9.70411e+06
9  24  1.4897e+06
9  25  4.32143e+06
9  26  4.04174e+06
9  27  4.30465e+06
9  28  1.31897e+07
9  29  2.6935e+06
9  30  5.20038e+06
9  31  3.42146e+06
9  32  2.15929e+07
9  33  8.05799e+06
9  34  0
9  35  0
9  36  0
9  37  4.84782e+06
9  38  1.29179e+07
9  39  8.82293e+06
9  40  6.60661e+06
9  41  7.077e+06
9  42  9.11939e+06
9  43  1.24447e+07
9  44  0
9  45  1.06363e+07
9  46  9.40574e+06
9  47  1.84834e+07
9  48  0
9  49  1.14448e+07
9  50  8.8301e+06
9  51  3.99504e+06
9  52  0
9  53  0
9  54  4.86314e+06
9  55  6.78681e+06
9  56  1.05001e+07
9  57  1.10284e+07
9  58  0
9  59  6.04357e+06
9  60  8.30287e+06
9  61  8.7302e+06
9  62  4.5572e+06
9  63  6.51187e+06
9  64  1.38198e+07
9  65  0
9  66  7.47146e+06
9  67  0
10  0  3.54752e+06
10  1  7.81897e+06
10  2  0
10  3  2.8052e+06
10  4  2.25931e+06
10  5  1.359e+06
10  6  4.28803e+06
10  7  7.72429e+06
10  8  831275
10  9  4.88677e+06
10  10  6.71559e+06
10  11  1.79775e+06
10  12  1.04745e+07
10  13  9.6123e+06
10  14  0
10  15  8.09898e+06
10  16  3.49248e+06
10  17  5.38201e+06
10  18  1.23196e+07
10  19  74763.2
10  20  4.84873e+06
10  21  1.14116e+07
10  22  0
10  23  1.71307e+07
10  24  5.28594e+06
10  25  7.67486e+06
10  26  3.53855e+06
10  27  2.65839e+06
10  28  7.14954e+06
10  29  7.93243e+06
10  30  9.2234e+06
10  31  3.73188e+06
10  32  1.20486e+07
10  33  3.26709e+06
10  34  5.20658e+06
10  35  0
10  36  0
10  37  4.18931e+06
10  38  7.34185e+06
10  39  2.34376e+07
10  40  5.5282e+06
10  41  0
10  42  7.16979e+06
10  43  831489
10  44  6.6337e+06
10  45  4.67583e+06
10  46  5.37361e+06
10  47  6.15346e+06
10  48  9.0202e+06
10  49  6.1427e+06
10  50  5.84044e+06
10  51  0
10  52  114373
10  53  6.51959e+06
10  54  9.63129e+06
10  55  1.12166e+07
10  56  8.39971e+06
10  57  988519
10  58  0
10  59  2.86371e+06
10  60  8.81497e+06
10  61  6.72208e+06
10  62  0
10  63  605260
10  64  0
10  65  0
10  66  5.75666e+06
10  67  9.8075e+06
11  0  2.8759e+06
11  1  0
11  2  3.86099e+06
11  3  4.44181e+06
11  4  0
11  5  5.85455e+06
11  6  6.10069e+06
11  7  8.04966e+06
11  8  1.12829e+07
11  9  1.31881e+07
11  10  8.80653e+06
11  11  0
11  12  4.2499e+06
11  13  1.07194e+07
11  14  5.92636e+06
11  15  5.12026e+06
11  16  6.19335e+06
11  17  1.0141e+07
11  18  971834
11  19  1.57316e+06
11  20  6.14022e+06
11  21  7.32388e+06
11  22  7.36054e+06
11  23  7.44526e+06
11  24  0
11  25  8.80413e+06
11  26  4.45554e+06
11  27  4.2322e+06
11  28  6.86216e+06
11  29  8.04897e+06
11  30  6.33005e+06
11  31  2.8142e+06
11  32  0
11  33  1.05574e+07
11  34  1.57613e+06
11  35  8.99095e+06
11  36  3.95911e+06
11  37  1.07256e+07
11  38  832743
11  39  0
11  40  2.24451e+06
11  41  4.05204e+06
11  42  1.53442e+07
11  43  1.00903e+07
11  44  0
11  45  9.99562e+06
11  46  0
11  47  6.92672e+06
11  48  3.36103e+06
11  49  0
11  50  1.13698e+07
11  51  0
11  52  7.26304e+06
11  53  1.3093e+07
11  54  1.24861e+06
11  55  2.88491e+06
11  56  0
11  57  8.17195e+06
11  58  4.48608e+06
11  59  5.76924e+06
11  60  5.54043e+06
11  61  2.2274e+06
11  62  2.50683e+06
11  63  5.27638e+06
11  64  1.76736e+06
11  65  3.30449e+06
11  66  1.75539e+07
11  67  9.53174e+06
12  0  3.26347e+06
12  1  6.77772e+06
12  2  7.83221e+06
12  3  985291
12  4  8.44044e+06
12  5  1.57622e+06
12  6  8.45396e+06
12  7  0
12  8  4.77772e+06
12  9  1.83754e+06
12  10  7.71967e+06
12  11  2.56455e+06
12  12  4.43861e+06
12  13  653040
12  14  6.92536e+06
12  15  2.64688e+06
12  16  1.04502e+07
12  17  3.43115e+06
12  18  7.12422e+06
12  19  1.28451e+06
12  20  1.1887e+07
12  21  6.75473e+06
12  22  8.90544e+06
12  23  6.27142e+06
12  24  1.41733e+07
12  25  1.11043e+07
12  26  9.19958e+06
12  27  3.80491e+06
12  28  3.73207e+06
12  29  9.4183e+06
12  30  3.38624e+06
12  31  0
12  32  1.49558e+07
12  33  987217
12  34  1.04247e+07
12  35  4.48311e+06
12  36  7.38009e+06
12  37  5.07816e+06
12  38  8.98049e+06
12  39  6.82833e+06
12  40  6.94263e+06
12  41  0
12  42  1.30335e+07
12  43  0
12  44  0
12  45  0
12  46  6.20107e+06
12  47  1.02621e+07
12  48  7.26173e+06
12  49  6.41809e+06
12  50  1.11718e+07
12  51  2.02837e+06
12  52  7.23808e+06
12  53  7.25643e+06
12  54  3.11227e+06
12  55  7.70516e+06
12  56  8.5146e+06
12  57  504122
12  58  7.30904e+06
12  59  7.91527e+06
12  60  1.06683e+07
12  61  1.07779e+07
12  62  5.71644e+06
12  63  1.90473e+06
12  64  5.68088e+06
12  65  3.12429e+06
12  66  9.36077e+06
12  67  0
13  0  1.47134e+06
13  1  3.97495e+06
13  2  2.57199e+06
13  3  6.15587e+06
13  4  5.6449e+06
13  5  4.19779e+06
13  6  1.66655e+06
13  7  4.47515e+06
13  8  5.19846e+06
13  9  1.30339e+07
13  10  1.71149e+06
13  11  3.95532e+06
13  12  7.28507e+06
13  13  933627
13  14  402957
13  15  8.59525e+06
13  16  9.32217e+06
13  17  3.21912e+06
13  18  2.21354e+06
13  19  7.12652e+06
13  20  129248
13  21  8.07977e+06
13  22  8.68257e+06
13  23  2.39314e+06
13  24  4.94826e+06
13  25  5.25507e+06
13  26  1.21966e+06
