row  column  (images_1_region2.edf Fe-K*images_1_region2.edf Ar-K**2.3)
3  59  7.66604e+07
3  60  6.89902e+07
3  61  7.82616e+07
3  62  4.8224e+07
3  63  3.59951e+07
3  64  4.47519e+07
3  65  3.75067e+07
3  66  2.14637e+07
3  67  4.08963e+07
4  0  1.88752e+07
4  1  2.75682e+07
4  2  2.84144e+07
4  3  0
4  4  2.10514e+07
4  5  1.79289e+07
4  6  1.96517e+07
4  7  2.29069e+07
4  8  1.73227e+06
4  9  3.56083e+07
4  10  4.83462e+07
4  11  4.11092e+07
4  12  3.90513e+07
4  13  1.62314e+07
4  14  2.26257e+07
4  15  3.83313e+07
4  16  6.15927e+07
4  17  5.49109e+07
4  18  4.07605e+07
4  19  4.75915e+07
4  20  4.02707e+07
4  21  4.72656e+07
4  22  4.42733e+07
4  23  5.76369e+07
4  24  5.70109e+07
4  25  6.27212e+07
4  26  4.22374e+07
4  27  4.99007e+07
4  28  4.23528e+07
4  29  5.37213e+07
4  30  5.69227e+07
4  31  4.92636e+07
4  32  6.13527e+07
4  33  7.15056e+07
4  34  7.21096e+07
4  35  6.28398e+07
4  36  6.98302e+07
4  37  6.53321e+07
4  38  6.93248e+07
4  39  8.64362e+07
4  40  9.81612e+07
4  41  9.93886e+07
4  42  8.90408e+07
4  43  8.33212e+07
4  44  8.85583e+07
4  45  5.81696e+07
4  46  8.11216e+07
4  47  7.30322e+07
4  48  6.77415e+07
4  49  6.26133e+07
4  50  7.84222e+07
4  51  7.21775e+07
4  52  6.45149e+07
4  53  7.21455e+07
4  54  6.93738e+07
4  55  7.4655e+07
4  56  7.42427e+07
4  57  7.40019e+07
4  58  5.58395e+07
4  59  8.03055e+07
4  60  7.29514e+07
4  61  6.40849e+07
4  62  5.69412e+07
4  63  4.43228e+07
4  64  4.33465e+07
4  65  2.74502e+07
4  66  2.03581e+07
4  67  2.87456e+07
5  0  1.72698e+07
5  1  2.96577e+07
5  2  1.80076e+07
5  3  1.87823e+07
5  4  2.02057e+07
5  5  2.75763e+07
5  6  2.47261e+07
5  7  3.199e+07
5  8  4.15796e+07
5  9  2.49609e+07
5  10  3.51354e+07
5  11  4.54579e+07
5  12  3.28257e+07
5  13  3.25228e+07
5  14  3.08796e+07
5  15  5.1873e+07
5  16  5.08028e+07
5  17  4.54281e+07
5  18  5.06318e+07
5  19  4.53663e+07
5  20  3.90215e+07
5  21  4.44929e+07
5  22  5.25358e+07
5  23  6.0017e+07
5  24  5.83469e+07
5  25  5.00732e+07
5  26  6.24342e+07
5  27  6.22462e+07
5  28  4.37745e+07
5  29  5.03908e+07
5  30  5.16423e+07
5  31  6.21961e+07
5  32  5.99128e+07
5  33  6.46431e+07
5  34  6.79433e+07
5  35  7.06533e+07
5  36  5.89926e+07
5  37  6.59959e+07
5  38  7.15311e+07
5  39  9.55576e+07
5  40  9.78766e+07
5  41  9.97582e+07
5  42  8.99044e+07
5  43  9.17167e+07
5  44  8.04627e+07
5  45  7.90179e+07
5  46  7.18074e+07
5  47  7.24499e+07
5  48  7.55477e+07
5  49  6.22094e+07
5  50  7.5866e+07
5  51  7.37401e+07
5  52  8.78616e+07
5  53  8.35668e+07
5  54  8.40278e+07
5  55  8.13023e+07
5  56  7.7717e+07
5  57  8.91473e+07
5  58  8.68809e+07
5  59  8.14632e+07
5  60  7.27214e+07
5  61  6.15166e+07
5  62  6.2064e+07
5  63  4.94875e+07
5  64  4.31345e+07
5  65  4.73826e+07
5  66  3.1971e+07
5  67  3.35942e+07
6  0  1.48387e+07
6  1  2.32205e+07
6  2  2.43288e+07
6  3  2.04675e+07
6  4  2.21271e+07
6  5  2.55526e+07
6  6  3.76171e+07
6  7  4.06975e+07
6  8  3.88161e+07
6  9  3.92635e+07
6  10  5.78674e+07
6  11  5.2884e+07
6  12  4.89975e+07
6  13  3.68922e+07
6  14  3.01489e+07
6  15  4.9586e+07
6  16  4.8021e+07
6  17  6.24768e+07
6  18  4.74172e+07
6  19  5.02849e+07
6  20  4.77016e+07
6  21  6.2945e+07
6  22  6.30718e+07
6  23  6.93561e+07
6  24  4.76555e+07
6  25  3.11886e+07
6  26  5.26176e+07
6  27  4.9251e+07
6  28  5.32726e+07
6  29  5.68396e+07
6  30  4.79914e+07
6  31  6.24583e+07
6  32  6.66383e+07
6  33  6.88253e+07
6  34  7.03894e+07
6  35  6.61084e+07
6  36  6.11107e+07
6  37  7.62407e+07
6  38  7.93665e+07
6  39  9.2078e+07
6  40  9.37973e+07
6  41  1.13576e+08
6  42  1.18346e+08
6  43  9.30128e+07
6  44  9.05761e+07
6  45  9.00299e+07
6  46  8.17332e+07
6  47  6.86134e+07
6  48  8.28165e+07
6  49  6.47765e+07
6  50  8.69286e+07
6  51  7.40057e+07
6  52  9.03755e+07
6  53  8.83638e+07
6  54  8.63914e+07
6  55  8.68091e+07
6  56  7.77498e+07
6  57  9.36315e+07
6  58  9.12598e+07
6  59  6.61186e+07
6  60  7.07635e+07
6  61  5.55033e+07
6  62  3.37265e+07
6  63  5.3935e+07
6  64  4.8581e+07
6  65  3.2541e+07
6  66  2.80689e+07
6  67  2.51999e+07
7  0  2.98241e+07
7  1  1.84118e+07
7  2  2.69933e+07
7  3  1.95112e+07
