row  column  (images_10_7176.edf Cu_K*images_10_7176.edf Ar_K**2.3)
0  0  1.78975e+06
0  1  1.60723e+06
0  2  0
0  3  332074
0  4  0
0  5  220546
0  6  0
0  7  0
0  8  3.12213e+06
0  9  715669
0  10  4.42712e+06
0  11  5.85762e+06
0  12  0
0  13  1.21051e+06
0  14  4.24009e+06
0  15  4.6074e+06
0  16  1.72046e+06
0  17  1.04241e+07
0  18  1.50311e+06
0  19  0
0  20  4.61202e+06
0  21  0
0  22  1.08013e+06
0  23  8.19921e+06
0  24  3.72559e+06
0  25  5.26895e+06
0  26  4.30508e+06
0  27  6.3789e+06
0  28  4.22271e+06
0  29  7.26247e+06
0  30  1.04423e+07
0  31  1.46762e+07
0  32  9.54677e+06
0  33  1.51212e+07
0  34  7.18349e+06
0  35  1.32706e+07
0  36  8.9268e+06
0  37  8.54139e+06
0  38  4.3917e+06
0  39  1.21162e+07
0  40  1.14374e+07
0  41  1.66309e+07
0  42  1.22516e+07
0  43  8.0973e+06
0  44  1.26237e+07
0  45  1.42723e+07
0  46  9.35874e+06
0  47  5.76607e+06
0  48  1.36121e+07
0  49  8.28977e+06
0  50  9.54648e+06
0  51  1.04669e+07
0  52  1.60995e+07
0  53  8.41671e+06
0  54  1.41056e+07
0  55  1.02452e+07
0  56  4.67527e+06
0  57  8.43611e+06
0  58  5.01111e+06
0  59  6.20945e+06
0  60  1.14056e+07
0  61  9.11143e+06
0  62  9.52883e+06
0  63  1.10856e+07
0  64  1.99061e+06
0  65  1.04178e+07
0  66  5.46114e+06
0  67  1.04214e+07
0  68  9.7775e+06
0  69  9.46834e+06
0  70  9.93379e+06
0  71  4.39918e+06
0  72  5.23789e+06
0  73  1.48867e+07
0  74  4.541e+06
0  75  1.27672e+07
0  76  1.3037e+07
0  77  1.04354e+07
0  78  5.15765e+06
0  79  7.15379e+06
0  80  1.16648e+07
0  81  6.43388e+06
0  82  7.82286e+06
0  83  7.84863e+06
0  84  1.12336e+07
0  85  1.00327e+07
0  86  1.02105e+07
0  87  1.0398e+07
0  88  1.50858e+07
0  89  7.70533e+06
0  90  7.22222e+06
0  91  1.62275e+07
0  92  5.69855e+06
0  93  6.2004e+06
0  94  0
0  95  1.08994e+07
0  96  1.29695e+06
0  97  500737
0  98  5.96483e+06
0  99  1.09676e+07
0  100  8.93058e+06
1  0  0
1  1  3.68607e+06
1  2  0
1  3  1.41144e+06
1  4  2.32603e+06
1  5  5.05534e+06
1  6  0
1  7  0
1  8  0
1  9  0
1  10  745339
1  11  4.94789e+06
1  12  1.29856e+06
1  13  1.05771e+06
1  14  0
1  15  3.26407e+06
1  16  1.42791e+06
1  17  5.50539e+06
1  18  293637
1  19  7.59301e+06
1  20  268608
1  21  863942
1  22  0
1  23  6.81522e+06
1  24  9.49483e+06
1  25  2.97435e+06
1  26  0
1  27  586846
1  28  2.65519e+06
1  29  8.64773e+06
1  30  1.39264e+07
1  31  1.05784e+07
1  32  8.36485e+06
1  33  6.92514e+06
