row  column  (images_10_7176.edf Fe_K*images_10_7176.edf Ar_K**2.3)
0  0  9.02275e+06
0  1  1.1933e+07
0  2  9.7155e+06
0  3  8.89619e+06
0  4  1.74723e+07
0  5  2.06157e+07
0  6  1.33466e+07
0  7  1.30063e+07
0  8  1.95405e+07
0  9  1.70472e+07
0  10  1.70484e+07
0  11  1.39181e+07
0  12  1.5484e+07
0  13  1.58704e+07
0  14  2.06485e+07
0  15  2.15573e+07
0  16  2.34634e+07
0  17  2.8078e+07
0  18  2.69875e+07
0  19  1.97164e+07
0  20  2.61923e+07
0  21  2.06437e+07
0  22  2.38982e+07
0  23  2.66437e+07
0  24  2.75442e+07
0  25  3.34968e+07
0  26  4.03709e+07
0  27  4.1361e+07
0  28  5.35048e+07
0  29  4.83509e+07
0  30  6.61601e+07
0  31  7.72689e+07
0  32  6.12462e+07
0  33  7.04783e+07
0  34  7.01768e+07
0  35  4.17411e+07
0  36  4.85741e+07
0  37  5.53493e+07
0  38  4.76098e+07
0  39  4.70985e+07
0  40  4.53619e+07
0  41  3.83246e+07
0  42  3.95915e+07
0  43  3.91922e+07
0  44  2.7598e+07
0  45  3.50091e+07
0  46  3.25312e+07
0  47  3.13197e+07
0  48  3.61214e+07
0  49  2.94733e+07
0  50  3.43524e+07
0  51  3.44684e+07
0  52  4.26222e+07
0  53  3.20958e+07
0  54  3.96994e+07
0  55  3.45827e+07
0  56  2.55663e+07
0  57  2.79232e+07
0  58  3.27327e+07
0  59  3.17051e+07
0  60  2.84232e+07
0  61  3.06196e+07
0  62  3.7369e+07
0  63  3.03781e+07
0  64  3.05472e+07
0  65  3.78465e+07
0  66  3.41337e+07
0  67  4.2158e+07
0  68  3.72125e+07
0  69  3.18834e+07
0  70  4.40676e+07
0  71  4.85559e+07
0  72  4.79521e+07
0  73  5.77667e+07
0  74  5.2911e+07
0  75  6.50384e+07
0  76  4.33824e+07
0  77  5.00314e+07
0  78  4.85644e+07
0  79  6.02959e+07
0  80  6.83061e+07
0  81  6.60791e+07
0  82  5.68802e+07
0  83  5.93052e+07
0  84  4.59879e+07
0  85  5.57336e+07
0  86  5.02013e+07
0  87  4.59916e+07
0  88  4.66228e+07
0  89  4.64925e+07
0  90  4.78698e+07
0  91  6.00881e+07
0  92  5.04721e+07
0  93  7.24505e+07
0  94  5.64678e+07
0  95  5.54741e+07
0  96  4.0658e+07
0  97  4.62886e+07
0  98  4.82075e+07
0  99  4.52312e+07
0  100  5.89739e+07
1  0  1.77191e+07
1  1  1.78873e+07
1  2  1.50344e+07
1  3  1.19939e+07
1  4  1.05761e+07
1  5  1.71419e+07
1  6  9.45188e+06
1  7  1.32314e+07
1  8  1.46735e+07
1  9  9.70789e+06
1  10  1.54252e+07
1  11  1.99531e+07
1  12  1.29102e+07
1  13  1.26287e+07
1  14  1.41391e+07
1  15  1.45857e+07
1  16  1.92414e+07
1  17  1.83831e+07
1  18  2.43436e+07
1  19  2.22068e+07
1  20  2.23374e+07
1  21  2.60362e+07
1  22  2.30357e+07
1  23  2.16244e+07
1  24  2.66769e+07
1  25  4.08546e+07
1  26  4.10774e+07
1  27  3.38033e+07
1  28  3.79217e+07
1  29  4.72345e+07
1  30  6.70651e+07
1  31  7.60179e+07
1  32  6.67693e+07
1  33  7.28314e+07
1  34  5.68672e+07
1  35  4.29748e+07
1  36  4.87522e+07
1  37  5.29724e+07
1  38  5.13508e+07
1  39  4.65038e+07
1  40  4.37891e+07
1  41  4.19833e+07
1  42  3.58513e+07
1  43  3.81497e+07
1  44  3.7395e+07
1  45  3.46289e+07
1  46  3.23681e+07
1  47  3.27129e+07
1  48  2.62322e+07
1  49  3.16631e+07
1  50  2.9013e+07
1  51  3.34263e+07
1  52  3.35276e+07
1  53  3.14463e+07
1  54  3.73772e+07
1  55  2.96637e+07
1  56  3.53002e+07
1  57  2.51314e+07
1  58  2.81454e+07
1  59  3.48539e+07
1  60  2.91326e+07
1  61  2.78237e+07
1  62  3.125e+07
1  63  3.03211e+07
1  64  3.0894e+07
1  65  3.42019e+07
1  66  2.83014e+07
1  67  3.37353e+07
1  68  3.81831e+07
1  69  3.94189e+07
1  70  3.94605e+07
1  71  4.69871e+07
1  72  4.98314e+07
1  73  5.21887e+07
1  74  5.71324e+07
1  75  4.57891e+07
1  76  4.88152e+07
1  77  4.61339e+07
1  78  5.74902e+07
1  79  5.4452e+07
1  80  5.17365e+07
1  81  5.22738e+07
1  82  5.084e+07
1  83  7.36442e+07
1  84  5.57819e+07
1  85  5.7532e+07
1  86  5.85034e+07
1  87  5.63613e+07
1  88  4.96669e+07
1  89  5.45758e+07
1  90  4.91459e+07
1  91  4.43361e+07
1  92  5.76578e+07
1  93  5.60119e+07
1  94  5.14396e+07
1  95  5.39831e+07
1  96  3.99354e+07
1  97  3.83794e+07
1  98  4.3739e+07
1  99  6.18388e+07
1  100  6.41327e+07
2  0  1.06756e+07
2  1  9.78133e+06
2  2  1.35426e+07
2  3  1.71157e+07
2  4  1.27945e+07
2  5  1.8203e+07
2  6  1.03607e+07
2  7  1.40113e+07
2  8  1.67615e+07
2  9  1.05912e+07
2  10  2.2848e+07
2  11  1.78736e+07
2  12  1.7271e+07
2  13  1.00084e+07
2  14  1.89122e+07
2  15  1.72487e+07
2  16  1.83865e+07
2  17  1.87637e+07
2  18  1.90011e+07
2  19  2.01001e+07
2  20  2.2187e+07
2  21  2.56873e+07
2  22  2.60022e+07
2  23  3.13759e+07
2  24  2.01951e+07
2  25  3.4678e+07
2  26  3.90664e+07
2  27  3.98437e+07
2  28  3.68788e+07
2  29  4.42709e+07
2  30  5.87922e+07
2  31  9.08573e+07
2  32  9.06283e+07
2  33  6.97002e+07
2  34  6.45463e+07
2  35  5.97878e+07
2  36  4.37046e+07
2  37  4.67542e+07
2  38  4.87908e+07
2  39  4.8778e+07
2  40  4.27571e+07
2  41  4.22865e+07
2  42  4.04582e+07
2  43  3.41968e+07
2  44  3.85474e+07
2  45  3.31362e+07
2  46  3.56876e+07
2  47  3.46298e+07
2  48  3.9479e+07
2  49  2.8214e+07
2  50  3.04904e+07
2  51  3.00346e+07
2  52  3.08871e+07
2  53  3.01976e+07
2  54  3.57156e+07
2  55  4.18447e+07
