row  column  (images_10_7176.edf Zn_K*images_10_7176.edf Ar_K**2.3)
2  82  7.01535e+07
2  83  8.52063e+07
2  84  6.53232e+07
2  85  5.91636e+07
2  86  5.03624e+07
2  87  6.8186e+07
2  88  4.24117e+07
2  89  4.21506e+07
2  90  7.01208e+07
2  91  7.58265e+07
2  92  6.88066e+07
2  93  5.96456e+07
2  94  5.77338e+07
2  95  3.8274e+07
2  96  3.37276e+07
2  97  3.07145e+07
2  98  3.44061e+07
2  99  4.4609e+07
2  100  7.12388e+07
3  0  0
3  1  0
3  2  2.98643e+06
3  3  0
3  4  0
3  5  2.28727e+06
3  6  0
3  7  0
3  8  908399
3  9  1.94661e+06
3  10  1.7314e+06
3  11  198094
3  12  2.2776e+06
3  13  0
3  14  0
3  15  0
3  16  0
3  17  5.05135e+06
3  18  5.09276e+06
3  19  956575
3  20  0
3  21  3.16339e+06
3  22  0
3  23  7.22389e+06
3  24  4.4121e+06
3  25  1.18242e+07
3  26  1.30665e+07
3  27  2.42474e+07
3  28  1.64615e+07
3  29  2.47031e+07
3  30  4.68261e+07
3  31  8.67761e+07
3  32  8.08708e+07
3  33  9.83707e+07
3  34  9.30594e+07
3  35  4.92865e+07
3  36  4.63167e+07
3  37  5.24714e+07
3  38  6.80384e+07
3  39  6.81959e+07
3  40  7.78704e+07
3  41  6.02525e+07
3  42  8.24852e+07
3  43  6.43783e+07
3  44  6.85119e+07
3  45  7.09804e+07
3  46  6.15082e+07
3  47  5.04269e+07
3  48  6.9672e+07
3  49  5.9662e+07
3  50  5.14403e+07
3  51  5.4929e+07
3  52  6.23249e+07
3  53  6.71445e+07
3  54  6.61946e+07
3  55  6.30842e+07
3  56  7.41298e+07
3  57  6.17539e+07
3  58  4.69882e+07
3  59  4.19062e+07
3  60  4.57177e+07
3  61  3.84242e+07
3  62  2.77586e+07
3  63  3.00678e+07
3  64  3.36552e+07
3  65  3.49474e+07
3  66  4.3216e+07
3  67  4.29024e+07
3  68  6.06492e+07
3  69  6.56547e+07
3  70  6.96669e+07
3  71  6.92141e+07
3  72  6.24008e+07
3  73  7.11327e+07
3  74  6.46686e+07
3  75  6.98442e+07
3  76  5.021e+07
3  77  5.17822e+07
3  78  4.03504e+07
3  79  4.10538e+07
3  80  5.00469e+07
3  81  7.70484e+07
3  82  7.81627e+07
3  83  7.05784e+07
3  84  5.76079e+07
3  85  5.11178e+07
3  86  5.77274e+07
3  87  5.5827e+07
3  88  3.45249e+07
3  89  6.5636e+07
3  90  7.65411e+07
3  91  6.10394e+07
3  92  7.70209e+07
3  93  8.70553e+07
3  94  4.78266e+07
3  95  3.49297e+07
3  96  3.18119e+07
3  97  2.58783e+07
3  98  3.95791e+07
3  99  4.3627e+07
3  100  5.86077e+07
4  0  0
4  1  2.18641e+06
4  2  0
4  3  0
4  4  678921
4  5  0
4  6  0
4  7  0
4  8  0
4  9  210304
4  10  0
4  11  1.94844e+06
4  12  0
4  13  2.02624e+06
4  14  1.21187e+06
4  15  2.19793e+06
4  16  0
4  17  5.81344e+06
4  18  269184
4  19  184708
4  20  4.65982e+06
4  21  7.24925e+06
4  22  173663
4  23  5.47877e+06
4  24  4.09569e+06
4  25  7.56858e+06
4  26  6.48019e+06
4  27  1.75243e+07
4  28  1.25713e+07
4  29  1.71516e+07
4  30  3.63689e+07
4  31  6.08591e+07
4  32  7.35436e+07
4  33  1.03519e+08
4  34  9.1922e+07
4  35  5.92145e+07
4  36  4.89345e+07
4  37  5.3576e+07
4  38  6.89748e+07
4  39  6.70828e+07
4  40  6.75159e+07
4  41  6.41008e+07
4  42  6.511e+07
4  43  6.52784e+07
4  44  6.87867e+07
4  45  5.81174e+07
4  46  5.74483e+07
4  47  6.24977e+07
4  48  4.98127e+07
4  49  6.40035e+07
4  50  5.33224e+07
4  51  5.84379e+07
4  52  7.06071e+07
4  53  7.17557e+07
4  54  7.64014e+07
4  55  7.84522e+07
4  56  6.74835e+07
4  57  7.33811e+07
4  58  4.62521e+07
4  59  4.56663e+07
4  60  4.6719e+07
4  61  3.97207e+07
4  62  4.74326e+07
4  63  2.54504e+07
4  64  4.17579e+07
4  65  5.02718e+07
4  66  6.15389e+07
4  67  6.63997e+07
4  68  5.81475e+07
4  69  5.66191e+07
4  70  6.11333e+07
4  71  6.59917e+07
4  72  6.78703e+07
4  73  8.24196e+07
4  74  7.5555e+07
4  75  5.76861e+07
4  76  6.06325e+07
