row  column  (images_10_7176.edf P_K*images_10_7176.edf Ar_K**2.3)
4  3  0
4  4  0
4  5  0
4  6  0
4  7  0
4  8  0
4  9  0
4  10  0
4  11  0
4  12  0
4  13  0
4  14  0
4  15  0
4  16  0
4  17  0
4  18  0
4  19  0
4  20  0
4  21  0
4  22  0
4  23  0
4  24  0
4  25  0
4  26  0
4  27  0
4  28  0
4  29  0
4  30  0
4  31  2.20384e+06
4  32  8.11885e+06
4  33  9.03459e+06
4  34  0
4  35  5.31736e+06
4  36  0
4  37  4.87807e+06
4  38  9.33474e+06
4  39  5.93555e+06
4  40  7.77353e+06
4  41  4.77596e+06
4  42  2.73646e+06
4  43  3.44508e+06
4  44  6.02931e+06
4  45  2.27993e+06
4  46  7.57022e+06
4  47  9.88676e+06
4  48  7.91822e+06
4  49  1.55081e+07
4  50  9.86781e+06
4  51  1.48362e+07
4  52  8.07254e+06
4  53  1.05611e+07
4  54  1.49181e+07
4  55  6.99856e+06
4  56  8.67923e+06
4  57  9.2358e+06
4  58  8.48055e+06
4  59  4.20813e+06
4  60  3.24106e+06
4  61  6.14865e+06
4  62  2.67024e+06
4  63  575463
4  64  7.92404e+06
4  65  7.83925e+06
4  66  4.52181e+06
4  67  7.43012e+06
4  68  5.1403e+06
4  69  421538
4  70  5.60116e+06
4  71  3.98483e+06
4  72  583766
4  73  4.60046e+06
4  74  7.53508e+06
4  75  4.28486e+06
4  76  1.07473e+07
4  77  85464.4
4  78  6.40146e+06
4  79  7.12793e+06
4  80  8.33462e+06
4  81  1.13277e+07
4  82  7.4921e+06
4  83  2.02179e+06
4  84  380225
4  85  3.5827e+06
4  86  0
4  87  0
4  88  1.24891e+06
4  89  0
4  90  0
4  91  0
4  92  0
4  93  0
4  94  0
4  95  0
4  96  0
4  97  0
4  98  0
4  99  0
4  100  0
5  0  0
5  1  0
5  2  0
5  3  0
5  4  0
5  5  0
5  6  0
5  7  0
5  8  0
5  9  0
5  10  0
5  11  0
5  12  0
5  13  0
5  14  0
5  15  0
5  16  0
5  17  0
5  18  0
5  19  0
5  20  0
5  21  0
5  22  0
5  23  0
5  24  0
5  25  0
5  26  0
5  27  0
5  28  0
5  29  0
5  30  2.97116e+06
5  31  7.57033e+06
5  32  1.37687e+06
5  33  4.98956e+06
5  34  2.91683e+06
5  35  0
5  36  6.51115e+06
5  37  0
5  38  9.2452e+06
5  39  5.83755e+06
5  40  8.77939e+06
5  41  7.91704e+06
5  42  6.59039e+06
5  43  7.62559e+06
5  44  4.04158e+06
5  45  4.71816e+06
5  46  8.67092e+06
5  47  1.08695e+07
5  48  1.30321e+07
5  49  4.37802e+06
5  50  4.55695e+06
5  51  1.45546e+07
5  52  1.03972e+07
5  53  1.41482e+07
5  54  5.59828e+06
5  55  7.95598e+06
5  56  1.17975e+07
5  57  3.56603e+06
5  58  7.14983e+06
5  59  6.98341e+06
5  60  1.43157e+06
5  61  1.1509e+06
5  62  4.1551e+06
5  63  0
5  64  1.04009e+07
5  65  2.25447e+06
5  66  3.99523e+06
5  67  1.23991e+07
5  68  8.89492e+06
5  69  1.1044e+07
5  70  1.13978e+07
5  71  2.71876e+06
5  72  3.97527e+06
5  73  5.94468e+06
5  74  416090
5  75  2.67437e+06
5  76  5.85282e+06
5  77  9.34653e+06
5  78  9.81996e+06
5  79  2.24918e+06
5  80  2.75859e+06
5  81  3.54246e+06
5  82  6.93384e+06
5  83  3.94538e+06
5  84  8.21049e+06
5  85  5.75391e+06
5  86  0
5  87  504735
5  88  0
5  89  0
5  90  0
5  91  2.52679e+06
5  92  3.3836e+06
5  93  738264
5  94  0
5  95  0
5  96  0
5  97  0
5  98  0
5  99  0
5  100  0
6  0  0
6  1  0
6  2  0
6  3  0
6  4  0
6  5  0
6  6  0
6  7  0
6  8  0
6  9  0
6  10  0
6  11  0
6  12  0
6  13  0
6  14  0
6  15  0
6  16  0
6  17  0
6  18  0
6  19  0
6  20  0
6  21  0
6  22  0
6  23  0
6  24  0
6  25  0
6  26  0
6  27  0
6  28  0
6  29  0
6  30  492530
6  31  3.62136e+06
6  32  0
6  33  8.61841e+06
6  34  5.46681e+06
6  35  4.34199e+06
6  36  1.70977e+06
6  37  6.81472e+06
6  38  6.13986e+06
6  39  9.01859e+06
6  40  2.8632e+06
6  41  6.49905e+06
6  42  1.25677e+07
6  43  1.53175e+06
6  44  7.20674e+06
6  45  4.50115e+06
6  46  5.86889e+06
6  47  476643
6  48  8.70835e+06
6  49  8.57226e+06
6  50  7.74051e+06
6  51  9.14159e+06
6  52  1.44833e+07
6  53  1.15384e+07
6  54  1.06195e+07
6  55  4.8397e+06
6  56  5.4434e+06
6  57  8.91764e+06
6  58  4.28116e+06
6  59  2.87266e+06
6  60  6.63064e+06
6  61  4.00169e+06
6  62  0
6  63  4.66351e+06
6  64  5.60432e+06
6  65  9.36216e+06
6  66  3.17718e+06
6  67  4.80444e+06
6  68  4.39034e+06
6  69  2.79686e+06
6  70  9.20191e+06
6  71  5.84987e+06
6  72  8.58916e+06
6  73  7.2607e+06
6  74  0
6  75  9.29993e+06
6  76  7.52722e+06
6  77  3.60225e+06
6  78  4.20628e+06
6  79  6.71348e+06
6  80  6.05768e+06
6  81  7.45868e+06
6  82  6.8749e+06
6  83  6.04639e+06
6  84  1.04693e+07
6  85  3.01044e+06
6  86  1.55584e+06
6  87  5.45233e+06
6  88  4.90525e+06
6  89  0
6  90  378298
6  91  0
6  92  0
6  93  5.59231e+06
6  94  0
6  95  0
6  96  0
6  97  0
6  98  0
6  99  0
6  100  0
7  0  0
7  1  0
7  2  0
7  3  0
7  4  0
7  5  0
7  6  0
7  7  0
7  8  0
7  9  0
7  10  0
7  11  0
7  12  0
7  13  0
7  14  0
7  15  0
7  16  0
7  17  0
7  18  0
7  19  0
7  20  0
7  21  0
7  22  0
7  23  0
7  24  0
7  25  0
7  26  0
7  27  0
7  28  0
7  29  228950
7  30  0
7  31  0
7  32  0
7  33  8.30512e+06
7  34  5.56774e+06
7  35  1.60749e+06
7  36  9.04266e+06
7  37  2.4621e+06
7  38  4.31781e+06
7  39  6.69765e+06
7  40  5.03271e+06
7  41  4.77472e+06
7  42  5.40588e+06
7  43  4.00681e+06
7  44  3.20126e+06
7  45  6.03775e+06
7  46  6.90426e+06
7  47  6.64849e+06
7  48  7.0398e+06
7  49  9.69194e+06
7  50  5.9955e+06
7  51  1.03496e+07
7  52  1.12565e+07
7  53  1.02662e+07
7  54  9.69151e+06
7  55  7.78547e+06
7  56  6.75589e+06
7  57  5.32505e+06
7  58  2.81921e+06
7  59  7.31757e+06
7  60  5.52815e+06
7  61  5.1049e+06
7  62  2.16658e+06
7  63  5.68482e+06
7  64  5.13536e+06
7  65  5.6911e+06
7  66  2.21576e+06
7  67  8.8564e+06
7  68  2.04822e+06
7  69  6.21705e+06
7  70  2.49224e+06
7  71  5.96347e+06
7  72  5.67393e+06
7  73  1.22246e+07
7  74  228670
7  75  476998
