row  column  (images_10_7176.edf Ca_K*images_10_7176.edf Ar_K**2.3)
0  0  3.11907e+07
0  1  2.72453e+07
0  2  3.83933e+07
0  3  3.42924e+07
0  4  3.42647e+07
0  5  3.26867e+07
0  6  4.64111e+07
0  7  4.31539e+07
0  8  4.29186e+07
0  9  4.14988e+07
0  10  5.61344e+07
0  11  5.36095e+07
0  12  5.97347e+07
0  13  7.11549e+07
0  14  7.42435e+07
0  15  8.23903e+07
0  16  1.31155e+08
0  17  1.34329e+08
0  18  1.37246e+08
0  19  1.41675e+08
0  20  1.31531e+08
0  21  1.68477e+08
0  22  1.94198e+08
0  23  2.18435e+08
0  24  2.67794e+08
0  25  3.54353e+08
0  26  4.16648e+08
0  27  5.58834e+08
0  28  5.79421e+08
0  29  7.03877e+08
0  30  9.06979e+08
0  31  1.12421e+09
0  32  1.00034e+09
0  33  1.28765e+09
0  34  1.09783e+09
0  35  8.4154e+08
0  36  9.01544e+08
0  37  1.07993e+09
0  38  1.0387e+09
0  39  1.24316e+09
0  40  1.30408e+09
0  41  1.19579e+09
0  42  1.31108e+09
0  43  1.28088e+09
0  44  1.10813e+09
0  45  1.21983e+09
0  46  1.12585e+09
0  47  1.20358e+09
0  48  1.42938e+09
0  49  1.11699e+09
0  50  1.26362e+09
0  51  1.32851e+09
0  52  1.31412e+09
0  53  1.33853e+09
0  54  1.47665e+09
0  55  1.24595e+09
0  56  1.12711e+09
0  57  1.23592e+09
0  58  1.05894e+09
0  59  1.14773e+09
0  60  1.13418e+09
0  61  1.15297e+09
0  62  9.99015e+08
0  63  9.24363e+08
0  64  1.11802e+09
0  65  1.12576e+09
0  66  1.31382e+09
0  67  1.16089e+09
0  68  1.19039e+09
0  69  1.13045e+09
0  70  1.21198e+09
0  71  1.29251e+09
0  72  1.36637e+09
0  73  1.57168e+09
0  74  1.34901e+09
0  75  1.49585e+09
0  76  1.21988e+09
0  77  1.21468e+09
0  78  1.27832e+09
0  79  1.14465e+09
0  80  1.38506e+09
0  81  1.31335e+09
0  82  1.3815e+09
0  83  1.23458e+09
0  84  1.15441e+09
0  85  1.14501e+09
0  86  1.14917e+09
0  87  1.08494e+09
0  88  1.09827e+09
0  89  1.22837e+09
0  90  1.20581e+09
0  91  1.33754e+09
0  92  1.15687e+09
0  93  1.25989e+09
0  94  1.16878e+09
0  95  1.08617e+09
0  96  9.32609e+08
0  97  1.01307e+09
0  98  1.00677e+09
0  99  1.06027e+09
0  100  1.37472e+09
1  0  3.97638e+07
1  1  3.41358e+07
1  2  3.91274e+07
1  3  3.87638e+07
1  4  3.55899e+07
1  5  3.3902e+07
1  6  3.78681e+07
1  7  4.19765e+07
1  8  4.46012e+07
1  9  4.71682e+07
1  10  6.28048e+07
1  11  5.01089e+07
1  12  4.84249e+07
1  13  7.27651e+07
1  14  7.39676e+07
1  15  8.35356e+07
1  16  1.19524e+08
1  17  1.08997e+08
1  18  1.21863e+08
1  19  1.41241e+08
1  20  1.41136e+08
1  21  1.64711e+08
1  22  1.80838e+08
1  23  1.85553e+08
1  24  2.38653e+08
1  25  3.10966e+08
1  26  3.69609e+08
1  27  4.11797e+08
1  28  5.26355e+08
1  29  7.40307e+08
1  30  8.97198e+08
1  31  1.04393e+09
1  32  1.06132e+09
1  33  1.21458e+09
1  34  1.07828e+09
1  35  8.46341e+08
1  36  9.80615e+08
1  37  1.02697e+09
1  38  1.14974e+09
1  39  1.26663e+09
1  40  1.1815e+09
1  41  1.18243e+09
1  42  1.24515e+09
1  43  1.20902e+09
1  44  1.32189e+09
1  45  1.25707e+09
1  46  1.16083e+09
1  47  1.24757e+09
1  48  1.35311e+09
1  49  1.29131e+09
1  50  1.33139e+09
1  51  1.17572e+09
1  52  1.25632e+09
1  53  1.3564e+09
1  54  1.40289e+09
1  55  1.22457e+09
1  56  1.40692e+09
1  57  1.17539e+09
1  58  1.16479e+09
1  59  1.12279e+09
1  60  1.09864e+09
1  61  1.0412e+09
1  62  1.06915e+09
1  63  9.50178e+08
1  64  9.10203e+08
1  65  1.23141e+09
1  66  1.19755e+09
1  67  1.25288e+09
1  68  1.33475e+09
1  69  1.20022e+09
1  70  1.1856e+09
1  71  1.14739e+09
1  72  1.41052e+09
1  73  1.44396e+09
1  74  1.31743e+09
1  75  1.31101e+09
1  76  1.27259e+09
1  77  1.20137e+09
1  78  1.19963e+09
1  79  1.14267e+09
1  80  1.13814e+09
1  81  1.3072e+09
1  82  1.34934e+09
1  83  1.41781e+09
1  84  1.27359e+09
1  85  1.17218e+09
1  86  1.1251e+09
1  87  1.05407e+09
1  88  1.06963e+09
1  89  1.0777e+09
1  90  1.23954e+09
1  91  1.25183e+09
1  92  1.23698e+09
1  93  1.12843e+09
1  94  1.06645e+09
1  95  9.92933e+08
1  96  9.10135e+08
1  97  1.01053e+09
1  98  1.03168e+09
1  99  1.27047e+09
1  100  1.45778e+09
2  0  3.38013e+07
2  1  3.15644e+07
2  2  3.22209e+07
2  3  3.59011e+07
2  4  3.81247e+07
2  5  3.49451e+07
2  6  3.29284e+07
2  7  3.17965e+07
2  8  4.25084e+07
2  9  5.33033e+07
2  10  5.4512e+07
2  11  4.52101e+07
2  12  5.47946e+07
2  13  6.31228e+07
2  14  7.49819e+07
2  15  8.02854e+07
2  16  1.25628e+08
2  17  1.25203e+08
2  18  1.486e+08
2  19  1.47248e+08
2  20  1.29644e+08
2  21  1.58135e+08
2  22  1.90405e+08
2  23  1.87083e+08
2  24  2.52164e+08
2  25  3.22117e+08
2  26  4.24688e+08
2  27  4.31014e+08
2  28  4.87942e+08
2  29  6.39302e+08
2  30  9.09834e+08
2  31  1.06753e+09
2  32  1.16637e+09
2  33  1.20153e+09
2  34  1.11304e+09
2  35  9.35449e+08
2  36  9.35622e+08
2  37  9.51825e+08
2  38  1.02432e+09
2  39  1.19984e+09
2  40  1.1955e+09
2  41  1.19596e+09
2  42  1.12815e+09
2  43  1.21782e+09
2  44  1.27666e+09
2  45  1.20734e+09
2  46  1.20453e+09
2  47  1.16212e+09
2  48  1.32068e+09
2  49  1.21683e+09
2  50  1.20275e+09
2  51  1.21675e+09
2  52  1.26764e+09
2  53  1.41983e+09
2  54  1.48284e+09
2  55  1.34793e+09
2  56  1.12848e+09
2  57  1.26922e+09
2  58  1.1484e+09
2  59  1.11456e+09
2  60  9.95949e+08
2  61  1.09795e+09
2  62  1.10295e+09
2  63  1.03417e+09
2  64  1.08297e+09
2  65  1.06949e+09
2  66  1.26975e+09
2  67  1.35143e+09
2  68  1.3061e+09
2  69  1.09852e+09
2  70  1.2099e+09
2  71  1.19678e+09
2  72  1.38952e+09
2  73  1.27093e+09
2  74  1.33171e+09
2  75  1.26698e+09
2  76  1.14082e+09
2  77  1.16486e+09
2  78  1.24003e+09
2  79  1.08932e+09
2  80  1.20003e+09
2  81  1.26237e+09
2  82  1.30525e+09
2  83  1.43331e+09
2  84  1.3669e+09
2  85  1.24429e+09
2  86  1.15779e+09
2  87  1.20158e+09
2  88  1.01308e+09
2  89  1.06547e+09
2  90  1.27213e+09
2  91  1.16045e+09
2  92  1.19651e+09
2  93  1.19464e+09
2  94  1.15024e+09
2  95  9.99604e+08
2  96  9.39913e+08
2  97  1.03694e+09
2  98  1.11835e+09
2  99  1.32843e+09
2  100  1.44628e+09
3  0  3.02908e+07
3  1  3.5895e+07
3  2  3.35914e+07
3  3  3.08169e+07
3  4  2.86183e+07
3  5  3.4819e+07
3  6  3.9494e+07
3  7  4.50592e+07
3  8  3.85475e+07
3  9  4.47283e+07
3  10  4.80605e+07
3  11  4.52233e+07
3  12  5.73751e+07
3  13  5.78009e+07
3  14  6.87744e+07
3  15  7.58544e+07
3  16  8.92154e+07
3  17  1.03248e+08
3  18  1.56069e+08
3  19  1.43807e+08
3  20  1.47091e+08
3  21  1.55138e+08
3  22  1.79184e+08
3  23  1.83888e+08
3  24  2.33744e+08
3  25  2.64861e+08
3  26  3.55004e+08
3  27  4.25467e+08
3  28  4.73861e+08
3  29  5.681e+08
3  30  8.21386e+08
3  31  9.18944e+08
3  32  1.05704e+09
3  33  1.19483e+09
3  34  1.0379e+09
3  35  9.10126e+08
3  36  9.62197e+08
3  37  1.09809e+09
3  38  1.06276e+09
3  39  1.07733e+09
3  40  1.12806e+09
3  41  1.10825e+09
3  42  1.24369e+09
3  43  1.11383e+09
3  44  1.26238e+09
3  45  1.21492e+09
3  46  1.28879e+09
3  47  1.21236e+09
3  48  1.37309e+09
3  49  1.4293e+09
3  50  1.35641e+09
3  51  1.27998e+09
3  52  1.36597e+09
3  53  1.4083e+09
3  54  1.37923e+09
3  55  1.34036e+09
3  56  1.37182e+09
3  57  1.26736e+09
3  58  1.1132e+09
3  59  1.08789e+09
3  60  1.12161e+09
3  61  1.03707e+09
3  62  1.0336e+09
3  63  1.07091e+09
3  64  1.03953e+09
3  65  1.13045e+09
3  66  1.0921e+09
3  67  1.06381e+09
3  68  1.28704e+09
3  69  1.12408e+09
3  70  1.14819e+09
3  71  1.23052e+09
3  72  1.32589e+09
3  73  1.34844e+09
3  74  1.24591e+09
3  75  1.37589e+09
3  76  1.3304e+09
3  77  1.17788e+09
3  78  1.11646e+09
3  79  1.29272e+09
3  80  1.28807e+09
3  81  1.43667e+09
3  82  1.41936e+09
3  83  1.43281e+09
3  84  1.13619e+09
3  85  1.09792e+09
3  86  1.2966e+09
3  87  1.09854e+09
