row  column  (image_36_a.edf Cu-K*image_36_a.edf Ar-K**2.3)
14  0  3.15902e+06
14  1  0
14  2  1.49548e+07
14  3  0
14  4  5.44109e+06
14  5  0
14  6  0
14  7  0
14  8  0
14  9  1.98646e+07
14  10  0
14  11  0
14  12  0
14  13  0
14  14  1.90657e+06
14  15  0
14  16  0
14  17  9.39087e+06
14  18  0
14  19  0
14  20  0
14  21  4.94847e+06
14  22  1.25802e+06
14  23  3.56119e+06
14  24  0
14  25  0
14  26  0
14  27  9.51455e+06
14  28  0
14  29  0
14  30  0
15  0  1.05634e+07
15  1  0
15  2  0
15  3  0
15  4  0
15  5  0
15  6  0
15  7  6.01001e+06
15  8  0
15  9  0
15  10  0
15  11  0
15  12  0
15  13  8.46978e+06
15  14  936363
15  15  2.34182e+06
15  16  0
15  17  8.34296e+06
15  18  0
15  19  0
15  20  1.01497e+07
15  21  1.57789e+07
15  22  0
15  23  3.44643e+07
15  24  0
15  25  0
15  26  0
15  27  0
15  28  0
15  29  7.73858e+06
15  30  0
16  0  3.58564e+06
16  1  1.69107e+07
16  2  4.19969e+06
16  3  8.79523e+06
16  4  0
16  5  1.38864e+07
16  6  4.74948e+07
16  7  0
16  8  0
16  9  7.28483e+06
16  10  0
16  11  70460.4
16  12  0
16  13  3.08832e+06
16  14  6.87203e+06
16  15  0
16  16  0
16  17  0
16  18  0
16  19  0
16  20  0
16  21  0
16  22  5.86725e+07
16  23  1.75678e+07
16  24  0
16  25  0
16  26  0
16  27  0
16  28  8.3334e+06
16  29  0
16  30  2.84499e+07
17  0  0
17  1  0
17  2  0
17  3  1.83516e+07
17  4  0
17  5  0
17  6  0
17  7  0
17  8  0
17  9  3.31092e+07
17  10  0
17  11  0
17  12  0
17  13  2.28732e+07
17  14  0
17  15  0
17  16  0
17  17  0
17  18  0
17  19  3.01655e+07
17  20  0
17  21  0
17  22  0
17  23  2.48973e+07
17  24  0
17  25  0
17  26  0
17  27  2.66178e+07
17  28  0
17  29  0
17  30  0
18  0  5.54918e+06
18  1  0
18  2  0
18  3  886519
18  4  0
18  5  5.07512e+06
18  6  0
18  7  0
18  8  0
18  9  1.63951e+06
18  10  1.76181e+07
18  11  0
18  12  0
18  13  0
18  14  0
18  15  6.05107e+06
18  16  2.49812e+06
18  17  0
18  18  0
18  19  0
18  20  0
18  21  0
18  22  0
18  23  1.84791e+07
18  24  1.69717e+07
18  25  1.28038e+06
18  26  0
18  27  0
18  28  0
18  29  0
18  30  0
19  0  6.74477e+06
19  1  0
19  2  0
19  3  2.48931e+07
19  4  1.91922e+06
19  5  1.33049e+07
19  6  2.81453e+06
19  7  1.89878e+07
19  8  0
19  9  0
19  10  0
19  11  0
19  12  1.47525e+07
19  13  0
19  14  0
19  15  0
19  16  2.597e+07
19  17  0
19  18  2.23592e+07
19  19  1.10257e+07
19  20  0
19  21  0
19  22  0
19  23  2.75345e+06
19  24  1.05378e+07
19  25  1.90384e+07
19  26  0
19  27  0
19  28  0
19  29  0
19  30  0
20  0  4.22747e+06
20  1  0
20  2  0
20  3  1.18497e+07
20  4  2.43532e+07
20  5  4.58256e+07
20  6  0
20  7  0
20  8  1.45065e+07
20  9  0
20  10  0
20  11  0
20  12  0
20  13  0
20  14  0
20  15  0
20  16  2.33465e+07
20  17  0
20  18  0
20  19  1.68332e+07
20  20  0
20  21  0
20  22  0
20  23  2.13321e+07
20  24  0
20  25  1.94383e+07
20  26  0
20  27  0
20  28  0
20  29  0
20  30  0
21  0  0
21  1  3.14284e+07
21  2  0
21  3  0
21  4  0
21  5  0
21  6  0
21  7  0
21  8  0
21  9  2.55564e+07
21  10  0
21  11  0
21  12  1.59217e+06
21  13  0
21  14  600702
21  15  0
21  16  0
21  17  0
21  18  0
21  19  3.95032e+07
21  20  0
21  21  0
21  22  0
21  23  0
21  24  5.87937e+07
21  25  0
21  26  0
21  27  1.47673e+06
21  28  0
21  29  5.80852e+06
21  30  3.41232e+06
22  0  0
22  1  0
22  2  0
22  3  0
22  4  0
22  5  0
22  6  0
22  7  0
22  8  0
22  9  0
22  10  0
22  11  0
22  12  4.19522e+07
22  13  1.28132e+06
22  14  4.10876e+06
22  15  6.30644e+06
22  16  3.22144e+07
22  17  5.17073e+06
22  18  0
22  19  0
22  20  0
22  21  2.01616e+07
22  22  2.83414e+07
22  23  1.67502e+07
22  24  0
22  25  0
22  26  0
22  27  0
22  28  2.23992e+07
22  29  0
22  30  0
23  0  0
23  1  0
23  2  0
23  3  0
23  4  0
23  5  0
23  6  1.56398e+07
23  7  0
23  8  0
23  9  0
23  10  0
23  11  0
23  12  0
23  13  0
23  14  0
23  15  8.18393e+06
23  16  2.17704e+07
23  17  0
23  18  0
23  19  0
23  20  0
23  21  0
23  22  9.79166e+06
23  23  0
23  24  9.10906e+06
23  25  2.75614e+07
23  26  0
23  27  0
23  28  0
23  29  0
23  30  0
24  0  3.63991e+07
24  1  0
24  2  0
24  3  0
24  4  3.6103e+07
24  5  0
24  6  0
24  7  0
24  8  6.37988e+06
24  9  0
24  10  0
24  11  0
24  12  0
24  13  0
24  14  0
24  15  0
24  16  0
24  17  0
24  18  1.88785e+07
24  19  0
24  20  0
24  21  0
24  22  0
24  23  0
24  24  0
24  25  6.1113e+06
24  26  2.31783e+07
24  27  1.09335e+07
24  28  0
24  29  924844
24  30  0
25  0  0
25  1  9.78525e+06
25  2  0
25  3  0
25  4  0
25  5  0
25  6  1.83431e+07
25  7  9.59255e+06
25  8  0
25  9  0
25  10  9.42313e+06
25  11  0
25  12  0
25  13  0
25  14  1.67628e+07
25  15  0
25  16  0
25  17  0
25  18  0
25  19  0
25  20  0
25  21  422345
25  22  0
25  23  0
25  24  0
25  25  0
25  26  0
25  27  93944.7
25  28  1.1563e+07
25  29  0
25  30  0
26  0  0
26  1  1.35537e+07
26  2  0
26  3  1.70303e+06
26  4  0
26  5  0
26  6  0
26  7  0
26  8  1.69593e+07
26  9  5.44444e+06
26  10  0
26  11  2.88755e+07
26  12  0
26  13  0
26  14  0
26  15  0
26  16  0
26  17  0
26  18  6.29386e+06
26  19  2.96317e+07
26  20  0
26  21  7.99486e+06
26  22  9.5428e+06
26  23  1.34636e+07
26  24  2.94706e+07
26  25  0
26  26  0
26  27  2.16153e+07
26  28  0
26  29  2.21101e+07
26  30  775969
27  0  6.52142e+06
27  1  0
27  2  0
27  3  0
27  4  0
27  5  7.99154e+06
27  6  0
27  7  0
27  8  818118
27  9  0
27  10  0
27  11  0
27  12  0
27  13  0
27  14  0
27  15  0
27  16  0
27  17  0
27  18  0
27  19  0
27  20  6.36208e+06
27  21  0
27  22  1.83747e+07
27  23  0
27  24  0
27  25  0
27  26  6.2003e+06
27  27  0
27  28  3.37784e+07
27  29  0
27  30  3.35416e+06
28  0  3.41496e+07
28  1  0
28  2  2.09049e+07
28  3  2.14763e+06
28  4  1.00199e+07
28  5  0
28  6  2.30707e+07
28  7  1.30198e+07
28  8  0
28  9  0
28  10  0
28  11  5.82911e+06
28  12  0
28  13  0
28  14  0
28  15  0
28  16  0
28  17  0
28  18  1.26541e+07
28  19  0
28  20  0
28  21  0
28  22  0
28  23  0
28  24  0
28  25  4.23304e+07
28  26  0
28  27  0
28  28  4.71689e+06
28  29  8.55873e+06
28  30  0
29  0  0
29  1  0
29  2  0
29  3  0
29  4  0
29  5  0
29  6  0
29  7  0
29  8  0
29  9  0
29  10  0
29  11  0
29  12  0
29  13  0
29  14  0
29  15  0
29  16  9.73883e+06
29  17  0
29  18  5.42583e+07
29  19  6.23187e+06
29  20  0
29  21  1.51056e+07
29  22  0
29  23  0
29  24  0
29  25  0
29  26  0
29  27  0
29  28  0
29  29  0
29  30  9.21846e+06
30  0  0
30  1  1.71911e+07
30  2  0
30  3  0
30  4  0
30  5  0
30  6  0
30  7  0
30  8  0
30  9  0
30  10  0
30  11  0
30  12  1.33726e+07
30  13  0
30  14  0
30  15  921702
30  16  2.78426e+07
30  17  0
30  18  1.50166e+07
30  19  0
30  20  0
30  21  0
30  22  0
30  23  0
30  24  0
30  25  0
30  26  0
30  27  0
30  28  0
30  29  1.55407e+07
30  30  3.82433e+06
31  0  0
31  1  0
31  2  9.56662e+06
31  3  0
31  4  0
31  5  0
31  6  0
31  7  0
31  8  0
31  9  1.40409e+07
31  10  0
31  11  0
31  12  0
31  13  0
31  14  0
31  15  3.14274e+06
31  16  0
31  17  0
31  18  0
31  19  0
31  20  0
31  21  4.18419e+06
31  22  0
31  23  0
31  24  9.27539e+06
31  25  0
31  26  0
31  27  0
31  28  0
31  29  9.27814e+06
31  30  4.15339e+06
32  0  0
32  1  0
32  2  0
32  3  0
32  4  0
32  5  0
32  6  0
32  7  0
32  8  6.66496e+06
32  9  0
32  10  0
32  11  0
32  12  0
32  13  3.84929e+07
32  14  0
32  15  0
32  16  0
32  17  4.62383e+06
32  18  0
32  19  0
32  20  0
32  21  0
32  22  8.057e+07
32  23  2.56382e+07
32  24  2.74489e+06
32  25  1.03835e+07
32  26  0
32  27  0
32  28  0
32  29  0
32  30  0
33  0  0
33  1  1.51825e+07
33  2  0
33  3  0
33  4  0
33  5  0
33  6  0
33  7  0
33  8  1.63428e+07
33  9  0
33  10  432359
33  11  0
33  12  0
33  13  0
33  14  0
33  15  0
33  16  0
33  17  0
33  18  0
33  19  9.13054e+06
33  20  0
33  21  0
33  22  1.14804e+07
33  23  1.50403e+06
33  24  0
33  25  0
33  26  0
33  27  0
33  28  0
33  29  0
33  30  0
34  0  0
34  1  1.11117e+07
34  2  0
34  3  0
34  4  0
34  5  5.37957e+06
34  6  0
34  7  0
34  8  0
34  9  0
34  10  0
34  11  0
34  12  0
34  13  253617
34  14  0
34  15  0
34  16  0
34  17  0
34  18  0
34  19  0
34  20  0
34  21  0
34  22  0
34  23  1.44769e+06
34  24  0
34  25  1.20301e+07
34  26  4.25292e+06
34  27  0
34  28  0
34  29  0
34  30  0
35  0  0
35  1  0
35  2  0
35  3  3.41798e+06
35  4  0
35  5  0
35  6  0
35  7  0
35  8  0
35  9  0
35  10  0
35  11  0
35  12  0
35  13  0
