row  column  (image_36_a.edf S-K*image_36_a.edf Ar-K**2.3)
12  21  3.95806e+07
12  22  5.61618e+07
12  23  0
12  24  0
12  25  0
12  26  0
12  27  0
12  28  3.25641e+07
12  29  0
12  30  0
13  0  0
13  1  4.61413e+07
13  2  4.88091e+07
13  3  2.68715e+07
13  4  4.0653e+07
13  5  2.98841e+07
13  6  4.40405e+07
13  7  7.83977e+07
13  8  6.49457e+07
13  9  3.83366e+07
13  10  9.09616e+07
13  11  9.13278e+07
13  12  6.03541e+07
13  13  7.23808e+07
13  14  5.16078e+07
13  15  5.0492e+07
13  16  8.02984e+06
13  17  3.89631e+07
13  18  4.77649e+07
13  19  5.01863e+07
13  20  4.0537e+07
13  21  4.18546e+07
13  22  0
13  23  0
13  24  0
13  25  0
13  26  0
13  27  0
13  28  0
13  29  2.86854e+07
13  30  2.98024e+07
14  0  4.41737e+07
14  1  3.02461e+07
14  2  7.69018e+07
14  3  2.37129e+07
14  4  4.17986e+07
14  5  2.84284e+07
14  6  4.52661e+07
14  7  6.79395e+07
14  8  8.12075e+07
14  9  5.22098e+07
14  10  1.03544e+08
14  11  8.06403e+07
14  12  8.50298e+07
14  13  8.4352e+07
14  14  2.67531e+07
14  15  6.68719e+07
14  16  4.99427e+07
14  17  6.75146e+07
14  18  0
14  19  5.99963e+07
14  20  5.43861e+07
14  21  3.32979e+07
14  22  4.13104e+07
14  23  0
14  24  0
14  25  0
14  26  0
14  27  0
14  28  0
14  29  0
14  30  0
15  0  3.30157e+07
15  1  6.40974e+07
15  2  2.84362e+07
15  3  4.87469e+07
15  4  3.96517e+07
15  5  3.31902e+07
15  6  5.95762e+07
15  7  3.92929e+07
15  8  4.54178e+07
15  9  8.726e+07
15  10  6.65212e+07
15  11  7.57566e+07
15  12  8.06668e+07
15  13  5.82819e+07
15  14  6.35217e+07
15  15  5.90475e+07
15  16  5.04685e+07
15  17  5.8161e+07
15  18  1.08778e+07
15  19  5.39242e+07
15  20  5.29564e+07
15  21  4.09055e+07
15  22  3.17506e+06
15  23  0
15  24  0
15  25  0
15  26  0
15  27  0
15  28  0
15  29  0
15  30  0
16  0  4.93557e+07
16  1  4.78339e+07
16  2  0
16  3  3.53031e+07
16  4  4.43884e+07
16  5  0
16  6  6.02925e+07
16  7  7.02173e+07
16  8  5.83669e+07
16  9  7.27508e+07
16  10  7.97042e+07
16  11  8.2283e+07
16  12  9.93434e+07
16  13  6.07845e+07
16  14  8.23683e+07
16  15  4.86795e+07
16  16  5.6151e+07
16  17  0
16  18  5.13804e+07
16  19  2.6843e+07
16  20  4.65011e+07
16  21  3.3507e+07
16  22  4.23134e+07
16  23  4.08355e+07
16  24  0
16  25  0
16  26  0
16  27  0
16  28  0
16  29  0
16  30  0
17  0  6.12412e+07
17  1  6.3531e+07
17  2  4.47932e+07
17  3  0
17  4  3.76765e+07
17  5  1.85955e+07
17  6  9.3186e+07
17  7  6.52286e+07
17  8  6.55294e+07
17  9  2.29191e+07
17  10  7.64653e+07
17  11  9.70244e+07
17  12  7.99086e+07
17  13  4.84463e+07
17  14  5.88191e+07
17  15  6.11015e+07
17  16  4.63769e+07
17  17  1.18853e+07
17  18  4.62504e+07
17  19  1.0178e+08
17  20  4.85228e+07
17  21  0
17  22  0
17  23  0
17  24  0
17  25  0
17  26  0
17  27  0
17  28  0
17  29  0
17  30  3.0027e+07
18  0  4.74351e+07
18  1  3.32968e+07
18  2  5.0904e+07
18  3  4.7658e+07
18  4  3.72855e+07
18  5  4.8565e+07
18  6  6.28116e+07
18  7  6.48038e+07
18  8  6.33667e+07
18  9  6.98147e+07
18  10  5.80428e+07
18  11  5.05612e+07
18  12  6.75594e+07
18  13  6.43299e+07
18  14  6.11209e+07
18  15  4.79076e+07
18  16  5.3894e+07
18  17  0
18  18  3.58633e+07
18  19  1.00752e+08
18  20  8.85998e+07
18  21  5.80115e+07
18  22  6.10163e+07
18  23  0
18  24  0
18  25  0
18  26  0
18  27  0
18  28  0
18  29  0
