row  column  (image_36_a.edf Mn-K*image_36_a.edf Ar-K**2.3)
8  15  8.48399e+07
8  16  8.95641e+07
8  17  1.03332e+08
8  18  7.41101e+07
8  19  5.56802e+07
8  20  8.66101e+07
8  21  8.36782e+07
8  22  8.40701e+07
8  23  9.08507e+07
8  24  8.08125e+07
8  25  7.05909e+07
8  26  1.09074e+08
8  27  8.48398e+07
8  28  5.89166e+07
8  29  5.94382e+07
8  30  7.43282e+07
9  0  9.66205e+07
9  1  3.37303e+07
9  2  1.02417e+08
9  3  6.21117e+07
9  4  1.12118e+08
9  5  7.76655e+07
9  6  7.33499e+07
9  7  4.50298e+07
9  8  7.13154e+07
9  9  8.05439e+07
9  10  5.21765e+07
9  11  7.88664e+07
9  12  5.12295e+07
9  13  5.0954e+07
9  14  7.10473e+07
9  15  5.91543e+07
9  16  7.37804e+07
9  17  6.29184e+07
9  18  6.59895e+07
9  19  5.23524e+07
9  20  1.06952e+08
9  21  7.97579e+07
9  22  6.21007e+07
9  23  7.43645e+07
9  24  5.19615e+07
9  25  7.49011e+07
9  26  9.99916e+07
9  27  7.98965e+07
9  28  6.3979e+07
9  29  6.74574e+07
9  30  6.07101e+07
10  0  4.89105e+07
10  1  6.66148e+07
10  2  5.55151e+07
10  3  1.08315e+08
10  4  5.9699e+07
10  5  9.07792e+07
10  6  6.67849e+07
10  7  6.22816e+07
10  8  3.76392e+07
10  9  5.21908e+07
10  10  7.95712e+07
10  11  6.35208e+07
10  12  7.01564e+07
10  13  7.37628e+07
10  14  5.71404e+07
10  15  7.16866e+07
10  16  9.48375e+07
10  17  3.06818e+07
10  18  6.68725e+07
10  19  9.4601e+07
10  20  8.40308e+07
10  21  3.65024e+07
10  22  8.6791e+07
10  23  6.83342e+07
10  24  5.63891e+07
10  25  6.71399e+07
10  26  9.35586e+07
10  27  1.17171e+08
10  28  9.76352e+07
10  29  6.49651e+07
10  30  8.68019e+07
11  0  7.28576e+07
11  1  1.21374e+08
11  2  6.35557e+07
11  3  6.62336e+07
11  4  9.24549e+07
11  5  5.92465e+07
11  6  8.25256e+07
11  7  6.67263e+07
11  8  4.31937e+07
11  9  6.6352e+07
11  10  5.47307e+07
11  11  6.77575e+07
11  12  9.90785e+07
11  13  4.98752e+07
11  14  1.06291e+08
11  15  8.07662e+07
11  16  5.84154e+07
11  17  4.1073e+07
11  18  7.82549e+07
11  19  6.03437e+07
11  20  8.46889e+07
