row  column  (image_36_a.edf Zn-K*image_36_a.edf Ar-K**2.3)
9  9  3.03916e+08
9  10  2.37903e+08
9  11  2.30235e+08
9  12  1.84276e+08
9  13  1.84573e+08
9  14  1.88985e+08
9  15  1.63448e+08
9  16  2.71341e+08
9  17  1.77961e+08
9  18  1.93188e+08
9  19  1.87259e+08
9  20  1.77208e+08
9  21  1.51566e+08
9  22  2.27438e+08
9  23  1.84367e+08
9  24  1.94497e+08
9  25  1.87011e+08
9  26  1.53997e+08
9  27  1.19076e+08
9  28  1.56363e+08
9  29  1.48595e+08
9  30  1.56311e+08
10  0  1.93792e+08
10  1  2.09566e+08
10  2  2.42695e+08
10  3  2.43859e+08
10  4  2.32817e+08
10  5  1.75688e+08
10  6  1.59723e+08
10  7  2.31107e+08
10  8  2.65277e+08
10  9  2.58447e+08
10  10  2.64535e+08
10  11  2.00822e+08
10  12  1.78947e+08
10  13  1.95172e+08
10  14  2.48287e+08
10  15  2.44216e+08
10  16  2.48996e+08
10  17  2.20217e+08
10  18  2.0942e+08
10  19  2.05166e+08
10  20  2.00815e+08
10  21  2.39391e+08
10  22  2.32647e+08
10  23  2.06605e+08
10  24  1.89698e+08
10  25  1.85088e+08
10  26  2.78409e+08
10  27  1.45699e+08
10  28  1.54075e+08
10  29  9.34362e+07
10  30  1.63847e+08
11  0  1.70737e+08
11  1  2.03892e+08
11  2  2.79933e+08
11  3  2.00077e+08
11  4  1.66311e+08
11  5  1.93871e+08
11  6  2.21678e+08
11  7  2.34985e+08
11  8  2.52839e+08
11  9  3.04092e+08
11  10  2.6114e+08
11  11  2.10062e+08
11  12  2.82568e+08
11  13  2.34846e+08
11  14  2.36777e+08
11  15  2.5314e+08
11  16  1.95784e+08
11  17  2.05201e+08
11  18  2.30027e+08
11  19  1.65786e+08
11  20  2.68014e+08
11  21  2.17951e+08
11  22  3.29391e+08
11  23  2.5322e+08
11  24  1.86709e+08
11  25  2.12425e+08
11  26  1.37759e+08
11  27  1.74084e+08
11  28  1.57991e+08
11  29  1.22742e+08
11  30  1.42748e+08
12  0  2.21718e+08
12  1  2.48455e+08
12  2  2.18105e+08
12  3  2.05181e+08
12  4  2.09256e+08
12  5  1.69614e+08
12  6  1.70964e+08
12  7  2.67306e+08
12  8  2.65793e+08
12  9  2.61394e+08
12  10  2.84083e+08
12  11  2.26856e+08
12  12  2.77377e+08
12  13  2.88317e+08
12  14  2.31128e+08
12  15  2.95514e+08
12  16  1.78825e+08
12  17  2.28453e+08
12  18  2.30558e+08
12  19  1.92906e+08
12  20  2.44603e+08
12  21  2.74941e+08
12  22  2.86683e+08
12  23  2.29601e+08
12  24  2.61931e+08
12  25  2.43666e+08
12  26  2.1971e+08
12  27  1.94236e+08
12  28  1.36235e+08
12  29  1.38609e+08
12  30  1.99729e+08
13  0  1.96926e+08
13  1  2.15225e+08
13  2  2.19864e+08
13  3  1.96953e+08
13  4  1.7028e+08
13  5  1.6966e+08
13  6  1.45228e+08
13  7  2.57599e+08
13  8  2.50617e+08
13  9  2.75493e+08
13  10  2.15185e+08
13  11  2.52807e+08
13  12  2.97759e+08
13  13  3.51349e+08
13  14  2.30618e+08
13  15  2.42234e+08
13  16  2.10748e+08
13  17  1.91951e+08
13  18  1.90472e+08
13  19  1.7767e+08
13  20  2.82583e+08
13  21  3.81895e+08
13  22  2.71409e+08
13  23  2.37163e+08
13  24  2.61171e+08
13  25  2.72102e+08
13  26  2.27785e+08
13  27  2.12001e+08
13  28  1.139e+08
13  29  1.60317e+08
13  30  1.69402e+08
14  0  1.82511e+08
14  1  2.32197e+08
14  2  2.64745e+08
14  3  1.52537e+08
14  4  1.40127e+08
14  5  1.11447e+08
14  6  1.82994e+08
14  7  2.23384e+08
14  8  2.45611e+08
14  9  1.90376e+08
14  10  2.19198e+08
14  11  2.40717e+08
14  12  2.94323e+08
14  13  2.96327e+08
14  14  2.60321e+08
14  15  2.11426e+08
14  16  2.33071e+08
14  17  1.95789e+08
14  18  1.56455e+08
14  19  2.61573e+08
14  20  2.46136e+08
14  21  3.38764e+08
14  22  2.41505e+08
14  23  2.93892e+08
14  24  2.82288e+08
14  25  2.36047e+08
14  26  2.31109e+08
14  27  1.59752e+08
14  28  1.06638e+08
14  29  1.47181e+08
14  30  1.48744e+08
15  0  2.04091e+08
15  1  2.0096e+08
15  2  1.43415e+08
15  3  1.75784e+08
15  4  1.5799e+08
15  5  2.03705e+08
15  6  2.27698e+08
15  7  2.12357e+08
15  8  1.78107e+08
15  9  1.92341e+08
15  10  2.05078e+08
15  11  2.49599e+08
15  12  2.10215e+08
15  13  2.73393e+08
15  14  2.41676e+08
15  15  2.64484e+08
15  16  2.71339e+08
15  17  1.93453e+08
15  18  1.72642e+08
15  19  2.41067e+08
15  20  2.76919e+08
15  21  3.00625e+08
15  22  2.5734e+08
15  23  2.40533e+08
15  24  2.76475e+08
15  25  2.49794e+08
15  26  2.05053e+08
15  27  1.8789e+08
15  28  1.81888e+08
15  29  2.26453e+08
15  30  2.04972e+08
16  0  2.25508e+08
16  1  2.20574e+08
16  2  2.08992e+08
16  3  1.84193e+08
16  4  1.74197e+08
16  5  1.43273e+08
16  6  2.93528e+08
16  7  2.54034e+08
16  8  1.96488e+08
16  9  2.20044e+08
16  10  2.21267e+08
16  11  2.40206e+08
16  12  2.75369e+08
16  13  2.70451e+08
16  14  2.25425e+08
16  15  2.82392e+08
16  16  2.22779e+08
16  17  1.27642e+08
16  18  2.09978e+08
16  19  3.15989e+08
16  20  2.36897e+08
16  21  2.69353e+08
16  22  2.95508e+08
16  23  3.14854e+08
16  24  2.85558e+08
16  25  3.17038e+08
16  26  2.36043e+08
16  27  9.18327e+07
16  28  2.0189e+08
16  29  1.92261e+08
16  30  2.25859e+08
17  0  1.69816e+08
17  1  1.29957e+08
17  2  2.23e+08
17  3  1.33752e+08
17  4  1.42241e+08
17  5  1.53857e+08
17  6  2.38957e+08
17  7  2.40388e+08
17  8  1.69809e+08
17  9  2.20027e+08
17  10  1.8008e+08
17  11  1.89458e+08
17  12  2.31414e+08
17  13  2.46252e+08
17  14  2.47673e+08
17  15  1.76634e+08
17  16  1.97737e+08
17  17  1.28416e+08
17  18  2.19061e+08
17  19  3.50985e+08
17  20  2.74641e+08
17  21  2.31924e+08
17  22  2.70917e+08
17  23  2.94316e+08
17  24  2.18865e+08
17  25  2.20379e+08
17  26  1.63061e+08
17  27  9.92175e+07
17  28  2.38623e+08
17  29  2.27375e+08
17  30  2.24383e+08
18  0  2.04985e+08
18  1  2.03896e+08
18  2  1.99714e+08
18  3  2.06962e+08
18  4  1.57197e+08
18  5  1.80868e+08
18  6  1.85895e+08
18  7  1.65628e+08
18  8  1.45644e+08
18  9  1.85132e+08
18  10  1.97232e+08
18  11  1.77537e+08
18  12  1.89543e+08
18  13  2.67991e+08
18  14  2.14785e+08
18  15  2.36527e+08
18  16  1.5052e+08
18  17  1.63734e+08
18  18  2.50021e+08
18  19  3.02961e+08
18  20  2.81661e+08
18  21  2.2733e+08
18  22  2.16692e+08
18  23  2.80429e+08
18  24  2.4926e+08
18  25  2.38401e+08
18  26  1.12109e+08
18  27  1.15495e+08
18  28  1.76138e+08
18  29  2.37927e+08
18  30  2.1688e+08
19  0  2.18793e+08
19  1  1.29533e+08
19  2  1.77646e+08
19  3  1.7393e+08
19  4  1.76899e+08
