row  column  (images_2.edf Cu-K*images_2.edf Ar-K**2.3)
3  50  6.85153e+06
3  51  1.47238e+07
3  52  1.73057e+07
3  53  2.91935e+07
3  54  2.68818e+07
3  55  3.02129e+07
3  56  3.42518e+07
3  57  2.58139e+07
3  58  2.60172e+07
3  59  2.33096e+07
3  60  2.57256e+07
3  61  9.42327e+06
3  62  4.23733e+06
3  63  2.27616e+07
3  64  1.54733e+07
3  65  2.37927e+07
3  66  1.30834e+07
3  67  2.70967e+07
3  68  1.98605e+07
3  69  2.24594e+07
3  70  2.03097e+07
3  71  2.19437e+07
3  72  6.46146e+06
3  73  4.10433e+06
3  74  1.35785e+07
3  75  1.39581e+07
3  76  835516
3  77  7.69537e+06
3  78  5.78925e+06
3  79  8.59822e+06
3  80  7.83103e+06
3  81  8.76068e+06
3  82  1.85724e+07
3  83  0
3  84  1.47917e+07
3  85  1.30845e+07
3  86  6.87306e+06
3  87  1.36927e+07
3  88  1.31967e+07
3  89  9.03694e+06
3  90  2.11266e+06
3  91  1.82009e+06
3  92  1.15409e+07
3  93  1.06608e+07
3  94  0
3  95  9.38413e+06
3  96  0
3  97  4.14303e+06
3  98  0
3  99  1.13384e+07
3  100  6.37145e+06
4  0  2.30021e+06
4  1  4.9636e+06
4  2  0
4  3  3.02061e+06
4  4  0
4  5  1.0325e+07
4  6  1.91525e+06
4  7  0
4  8  9.99933e+06
4  9  0
4  10  5.03253e+06
4  11  5.73944e+06
4  12  0
4  13  0
4  14  0
4  15  0
4  16  0
4  17  0
4  18  0
4  19  0
4  20  4.37423e+06
4  21  6.80953e+06
4  22  6.71564e+06
4  23  1.10184e+06
4  24  8.86461e+06
4  25  1.0322e+06
4  26  0
4  27  0
4  28  0
4  29  183306
4  30  0
4  31  0
4  32  0
4  33  1.05447e+07
4  34  0
4  35  0
4  36  0
4  37  0
4  38  0
4  39  0
4  40  0
4  41  0
4  42  0
4  43  0
4  44  0
4  45  0
4  46  0
4  47  0
4  48  1.04025e+07
4  49  1.43587e+07
4  50  1.49993e+06
4  51  3.32407e+06
4  52  1.93061e+07
4  53  1.48267e+07
4  54  2.02445e+07
4  55  1.71179e+07
4  56  2.3265e+07
4  57  2.89169e+07
4  58  2.79706e+07
4  59  2.75294e+07
4  60  2.7336e+07
4  61  1.73003e+07
4  62  6.93729e+06
4  63  1.63145e+07
4  64  1.94434e+07
4  65  2.34554e+07
4  66  3.18677e+07
4  67  2.0492e+07
4  68  1.73886e+07
4  69  1.39767e+07
4  70  2.84124e+07
4  71  2.69546e+07
4  72  1.50505e+07
4  73  1.35946e+07
4  74  1.3252e+07
4  75  3.90155e+06
4  76  4.77897e+06
4  77  1.90438e+07
4  78  1.45727e+07
4  79  8.57498e+06
4  80  3.24692e+06
4  81  1.46809e+07
4  82  8.89483e+06
4  83  1.37556e+07
4  84  1.43876e+07
4  85  2.76785e+07
4  86  2.03602e+06
4  87  2.21927e+07
4  88  1.06899e+07
4  89  7.34332e+06
4  90  962802
4  91  0
4  92  1.13922e+07
4  93  9.80738e+06
4  94  1.82203e+07
4  95  3.0382e+06
4  96  0
4  97  1.26253e+06
4  98  0
4  99  9.28093e+06
4  100  2.52052e+06
5  0  5.66246e+06
5  1  0
5  2  0
5  3  0
5  4  0
5  5  2.5014e+06
5  6  0
5  7  0
5  8  0
5  9  3.06928e+06
5  10  1.76099e+06
5  11  0
5  12  711712
5  13  0
5  14  0
5  15  1.11696e+07
5  16  6.81425e+06
5  17  2.41834e+06
5  18  0
5  19  0
5  20  2.34094e+06
5  21  4.26255e+06
5  22  125822
5  23  0
5  24  0
5  25  0
5  26  0
5  27  0
5  28  0
5  29  0
5  30  0
5  31  0
5  32  0
5  33  0
5  34  0
5  35  0
5  36  0
5  37  0
5  38  0
5  39  0
5  40  0
5  41  0
5  42  0
5  43  0
5  44  0
5  45  0
5  46  0
5  47  3.15243e+06
5  48  6.40302e+06
5  49  6.16786e+06
5  50  2.72696e+06
5  51  5.87014e+06
5  52  2.45996e+06
5  53  2.46205e+07
5  54  1.701e+07
5  55  2.71976e+07
5  56  2.86292e+07
5  57  3.18506e+07
5  58  1.83129e+07
5  59  3.56807e+07
5  60  2.68762e+07
5  61  2.07299e+07
5  62  1.46733e+07
